State,County,ViolentCrime,MurderNonnegligentManslaughter,Rape1,Robbery,AggravatedAssault,PropertyCrime,Burglary,LarcenyTheft,MotorVehicleTheft,Arson2,Area,StateAbbrev
Arkansas,Craighead,29,0,7,1,21,244,89,147,8,3.0, Metropolitan Counties,AR
Arkansas,Crawford,52,0,6,0,46,367,91,242,34,2.0, Metropolitan Counties,AR
Arkansas,Crittenden,102,2,8,6,86,348,101,218,29,2.0, Metropolitan Counties,AR
Arkansas,Faulkner,116,2,25,4,85,1234,312,752,170,5.0, Metropolitan Counties,AR
Arkansas,Garland,387,0,45,18,324,2021,890,983,148,0.0, Metropolitan Counties,AR
Arkansas,Grant,18,0,4,0,14,179,45,117,17,0.0, Metropolitan Counties,AR
Arkansas,Lincoln,2,0,0,0,2,87,33,48,6,1.0, Metropolitan Counties,AR
Arkansas,Lonoke,80,0,11,2,67,435,76,277,82,4.0, Metropolitan Counties,AR
Arkansas,Madison,37,0,8,0,29,146,55,84,7,0.0, Metropolitan Counties,AR
Arkansas,Miller,35,0,3,1,31,282,137,117,28,1.0, Metropolitan Counties,AR
Arkansas,Perry,53,0,6,0,47,218,85,124,9,0.0, Metropolitan Counties,AR
Arkansas,Poinsett,3,0,2,0,1,8,5,3,0,2.0, Metropolitan Counties,AR
Arkansas,Pulaski,357,4,23,35,295,2014,629,1204,181,9.0, Metropolitan Counties,AR
Arkansas,Saline,213,0,18,8,187,727,194,456,77,3.0, Metropolitan Counties,AR
Arkansas,Sebastian,62,0,10,1,51,253,64,177,12,2.0, Metropolitan Counties,AR
Arkansas,Washington,163,2,11,4,146,483,172,264,47,4.0, Metropolitan Counties,AR
Arkansas,Arkansas,7,1,0,1,5,133,22,90,21,0.0, Nonmetropolitan Counties,AR
Arkansas,Ashley,31,1,4,1,25,273,106,159,8,2.0, Nonmetropolitan Counties,AR
Arkansas,Baxter,38,0,14,2,22,651,174,441,36,4.0, Nonmetropolitan Counties,AR
Arkansas,Boone,50,1,21,0,28,361,114,220,27,7.0, Nonmetropolitan Counties,AR
Arkansas,Calhoun,2,0,0,0,2,33,11,18,4,1.0, Nonmetropolitan Counties,AR
Arkansas,Carroll,43,0,7,1,35,178,34,126,18,6.0, Nonmetropolitan Counties,AR
Arkansas,Chicot,4,0,1,0,3,142,62,80,0,0.0, Nonmetropolitan Counties,AR
Arkansas,Clark,10,0,2,1,7,94,19,65,10,0.0, Nonmetropolitan Counties,AR
Arkansas,Cleburne,39,0,9,2,28,437,146,235,56,7.0, Nonmetropolitan Counties,AR
Arkansas,Columbia,29,0,1,0,28,105,38,51,16,2.0, Nonmetropolitan Counties,AR
Arkansas,Conway,28,0,5,2,21,292,49,216,27,5.0, Nonmetropolitan Counties,AR
Arkansas,Cross,31,0,5,1,25,161,29,114,18,0.0, Nonmetropolitan Counties,AR
Arkansas,Dallas,5,0,0,0,5,30,12,15,3,0.0, Nonmetropolitan Counties,AR
Arkansas,Drew,52,0,11,0,41,140,50,79,11,4.0, Nonmetropolitan Counties,AR
Arkansas,Franklin,38,1,11,1,25,186,66,111,9,2.0, Nonmetropolitan Counties,AR
Arkansas,Fulton,11,1,1,1,8,90,0,79,11,3.0, Nonmetropolitan Counties,AR
Arkansas,Greene,18,1,1,0,16,171,57,99,15,0.0, Nonmetropolitan Counties,AR
Arkansas,Hempstead,56,0,14,0,42,246,34,196,16,6.0, Nonmetropolitan Counties,AR
Arkansas,Howard,4,0,0,0,4,78,45,33,0,0.0, Nonmetropolitan Counties,AR
Arkansas,Independence,176,1,42,10,123,1298,384,829,85,16.0, Nonmetropolitan Counties,AR
Arkansas,Izard,24,0,5,0,19,329,77,241,11,3.0, Nonmetropolitan Counties,AR
Arkansas,Jackson,39,1,1,0,37,197,45,133,19,6.0, Nonmetropolitan Counties,AR
Arkansas,Johnson,40,1,11,1,27,170,98,65,7,3.0, Nonmetropolitan Counties,AR
Arkansas,Lafayette,7,0,0,0,7,56,15,40,1,0.0, Nonmetropolitan Counties,AR
Arkansas,Lawrence,11,0,1,1,9,57,19,35,3,0.0, Nonmetropolitan Counties,AR
Arkansas,Lee,2,0,0,1,1,10,3,7,0,0.0, Nonmetropolitan Counties,AR
Arkansas,Marion,42,0,5,1,36,241,74,163,4,3.0, Nonmetropolitan Counties,AR
Arkansas,Mississippi,28,0,3,2,23,373,83,265,25,1.0, Nonmetropolitan Counties,AR
Arkansas,Monroe,2,1,0,1,0,17,1,16,0,0.0, Nonmetropolitan Counties,AR
Arkansas,Montgomery,20,1,8,0,11,110,46,59,5,0.0, Nonmetropolitan Counties,AR
Arkansas,Nevada,5,0,2,0,3,33,18,14,1,0.0, Nonmetropolitan Counties,AR
Arkansas,Newton,17,0,6,0,11,60,34,25,1,0.0, Nonmetropolitan Counties,AR
Arkansas,Pike,13,1,5,0,7,68,19,45,4,2.0, Nonmetropolitan Counties,AR
Arkansas,Polk,35,0,9,0,26,185,54,115,16,2.0, Nonmetropolitan Counties,AR
Arkansas,Pope,60,1,15,0,44,414,138,247,29,2.0, Nonmetropolitan Counties,AR
Arkansas,Prairie,11,0,3,0,8,62,21,30,11,3.0, Nonmetropolitan Counties,AR
Arkansas,Randolph,33,4,5,0,24,235,91,136,8,3.0, Nonmetropolitan Counties,AR
Arkansas,Scott,20,1,3,1,15,104,45,57,2,4.0, Nonmetropolitan Counties,AR
Arkansas,Searcy,9,0,2,0,7,22,6,12,4,1.0, Nonmetropolitan Counties,AR
Arkansas,Sevier,9,0,2,0,7,226,79,130,17,1.0, Nonmetropolitan Counties,AR
Arkansas,St. Francis,19,0,0,3,16,294,76,217,1,2.0, Nonmetropolitan Counties,AR
Arkansas,Stone,13,0,4,0,9,140,57,75,8,2.0, Nonmetropolitan Counties,AR
Arkansas,Union,48,0,2,3,43,388,103,258,27,2.0, Nonmetropolitan Counties,AR
Arkansas,Van Buren,34,0,1,0,33,287,43,215,29,5.0, Nonmetropolitan Counties,AR
Arkansas,White,86,4,41,3,38,905,336,474,95,4.0, Nonmetropolitan Counties,AR
Arkansas,Woodruff,1,0,0,0,1,56,7,42,7,0.0, Nonmetropolitan Counties,AR
Arkansas,Yell,39,1,13,2,23,228,72,140,16,4.0, Nonmetropolitan Counties,AR
California,Alameda4,588,2,26,182,378,2111,540,887,684,8.0, Metropolitan Counties,CA
California,Butte,82,9,26,16,54,1119,581,525,13,0.0, Metropolitan Counties,CA
California,Contra Costa,412,10,26,107,258,2145,784,1341,20,14.0, Metropolitan Counties,CA
California,El Dorado,240,3,26,23,184,1969,625,1288,56,11.0, Metropolitan Counties,CA
California,Fresno,735,10,26,91,612,3368,1108,1702,558,150.0, Metropolitan Counties,CA
California,Imperial,214,1,26,9,198,584,247,316,21,5.0, Metropolitan Counties,CA
California,Kern4,1982,26,109,327,1520,9061,3127,4413,1521,199.0, Metropolitan Counties,CA
California,Kings,144,5,109,11,116,427,160,236,31,1.0, Metropolitan Counties,CA
California,Los Angeles,5091,71,109,1280,3539,15402,3949,7992,3461,198.0, Metropolitan Counties,CA
California,Madera,383,3,109,18,340,1162,504,621,37,7.0, Metropolitan Counties,CA
California,Marin,91,2,109,19,65,617,201,404,12,1.0, Metropolitan Counties,CA
California,Merced,465,15,109,32,409,1536,490,1003,43,12.0, Metropolitan Counties,CA
California,Monterey,256,7,38,32,179,1341,439,872,30,9.0, Metropolitan Counties,CA
California,Napa,42,3,38,2,30,272,121,147,4,3.0, Metropolitan Counties,CA
California,Orange4,252,5,27,23,197,1161,248,789,124,8.0, Metropolitan Counties,CA
California,Placer,289,0,27,26,237,1600,514,1049,37,8.0, Metropolitan Counties,CA
California,Riverside,749,17,27,144,532,6718,1972,3705,1041,22.0, Metropolitan Counties,CA
California,Sacramento4,2978,44,181,916,1837,11283,3820,7314,149,63.0, Metropolitan Counties,CA
California,San Benito,60,1,181,5,50,221,81,126,14,1.0, Metropolitan Counties,CA
California,San Bernardino,972,18,65,154,735,5206,1778,2311,1117,70.0, Metropolitan Counties,CA
California,San Diego4,1315,13,78,194,1030,4726,1335,2674,717,34.0, Metropolitan Counties,CA
California,San Joaquin4,698,10,16,147,525,3802,1254,2410,138,30.0, Metropolitan Counties,CA
California,San Luis Obispo,265,2,16,12,241,1226,521,696,9,3.0, Metropolitan Counties,CA
California,San Mateo,264,1,16,65,160,2427,491,1653,283,6.0, Metropolitan Counties,CA
California,Santa Barbara,302,11,16,32,218,1539,487,1047,5,13.0, Metropolitan Counties,CA
California,Santa Clara,255,1,31,20,203,1274,282,801,191,5.0, Metropolitan Counties,CA
California,Santa Cruz,286,0,31,29,237,1701,657,1035,9,15.0, Metropolitan Counties,CA
California,Shasta4,569,3,49,18,499,851,429,387,35,29.0, Metropolitan Counties,CA
California,Solano,102,0,49,16,85,390,192,168,30,9.0, Metropolitan Counties,CA
California,Sonoma,613,2,49,42,528,1365,525,829,11,11.0, Metropolitan Counties,CA
California,Stanislaus,365,12,49,103,236,2088,835,1200,53,15.0, Metropolitan Counties,CA
California,Sutter,93,0,49,13,77,630,217,385,28,7.0, Metropolitan Counties,CA
California,"Tulare4, 5",446,12,22,74,338,1938,747,1191,0,0.0, Metropolitan Counties,CA
California,Ventura4,119,2,25,7,85,880,256,563,61,8.0, Metropolitan Counties,CA
California,Yolo,74,0,25,1,65,289,89,186,14,8.0, Metropolitan Counties,CA
California,Yuba,205,1,25,40,147,1298,425,861,12,14.0, Metropolitan Counties,CA
California,Alpine,4,0,25,0,3,24,10,14,0,0.0, Nonmetropolitan Counties,CA
California,Amador,55,1,25,6,45,383,134,246,3,3.0, Nonmetropolitan Counties,CA
California,Calaveras,106,0,25,9,85,833,275,555,3,0.0, Nonmetropolitan Counties,CA
California,Colusa,25,0,25,0,24,163,59,104,0,2.0, Nonmetropolitan Counties,CA
California,Del Norte,102,1,25,9,69,350,207,142,1,4.0, Nonmetropolitan Counties,CA
California,Glenn,81,0,25,5,55,203,88,113,2,2.0, Nonmetropolitan Counties,CA
California,Humboldt,202,6,25,34,148,872,406,447,19,11.0, Nonmetropolitan Counties,CA
California,Inyo,79,0,25,3,65,156,61,94,1,2.0, Nonmetropolitan Counties,CA
California,Lake,193,4,25,9,159,665,307,352,6,13.0, Nonmetropolitan Counties,CA
California,Lassen,33,1,25,3,27,184,79,105,0,2.0, Nonmetropolitan Counties,CA
California,Mariposa,71,0,25,3,62,267,81,186,0,0.0, Nonmetropolitan Counties,CA
California,Mendocino,310,5,25,25,266,532,235,293,4,12.0, Nonmetropolitan Counties,CA
California,Modoc,20,0,25,0,20,73,30,42,1,0.0, Nonmetropolitan Counties,CA
California,Mono,8,0,25,1,6,69,22,45,2,0.0, Nonmetropolitan Counties,CA
California,Nevada,145,3,25,6,133,585,296,278,11,2.0, Nonmetropolitan Counties,CA
California,Plumas,90,1,25,0,82,279,113,165,1,1.0, Nonmetropolitan Counties,CA
California,Sierra,11,0,25,0,11,29,12,16,1,0.0, Nonmetropolitan Counties,CA
California,Siskiyou4,31,1,2,2,26,169,72,92,5,1.0, Nonmetropolitan Counties,CA
California,Tehama,156,5,2,11,137,222,120,101,1,0.0, Nonmetropolitan Counties,CA
California,Trinity,34,3,2,6,22,149,56,93,0,2.0, Nonmetropolitan Counties,CA
California,Tuolumne,129,0,2,6,96,647,290,352,5,6.0, Nonmetropolitan Counties,CA
Colorado,Adams,462,6,80,58,318,2319,442,1401,476,37.0, Metropolitan Counties,CO
Colorado,Arapahoe,215,1,40,21,153,1292,345,796,151,12.0, Metropolitan Counties,CO
Colorado,Clear Creek,28,0,5,0,23,77,20,50,7,0.0, Metropolitan Counties,CO
Colorado,Douglas,151,1,62,6,82,1440,301,1034,105,8.0, Metropolitan Counties,CO
Colorado,Elbert,0,0,0,0,0,2,0,2,0,0.0, Metropolitan Counties,CO
Colorado,El Paso,438,3,71,24,340,2202,610,1406,186,31.0, Metropolitan Counties,CO
Colorado,Gilpin,10,0,0,0,10,59,14,36,9,0.0, Metropolitan Counties,CO
Colorado,Jefferson,167,4,47,15,101,2161,366,1656,139,14.0, Metropolitan Counties,CO
Colorado,Larimer,109,2,26,2,79,838,223,536,79,13.0, Metropolitan Counties,CO
Colorado,Mesa,203,2,42,13,146,1083,222,757,104,19.0, Metropolitan Counties,CO
Colorado,Park,18,0,2,0,16,48,21,24,3,0.0, Metropolitan Counties,CO
Colorado,Pueblo,51,0,4,6,41,1231,243,896,92,2.0, Metropolitan Counties,CO
Colorado,Teller,34,0,7,1,26,64,24,36,4,3.0, Metropolitan Counties,CO
Colorado,Weld,154,2,19,6,127,765,218,489,58,7.0, Metropolitan Counties,CO
Colorado,Alamosa,0,0,0,0,0,39,3,36,0,1.0, Nonmetropolitan Counties,CO
Colorado,Baca,1,0,1,0,0,5,1,1,3,0.0, Nonmetropolitan Counties,CO
Colorado,Bent,8,0,1,1,6,69,26,37,6,0.0, Nonmetropolitan Counties,CO
Colorado,Chaffee,4,0,2,0,2,63,18,35,10,0.0, Nonmetropolitan Counties,CO
Colorado,Cheyenne,2,0,0,0,2,0,0,0,0,0.0, Nonmetropolitan Counties,CO
Colorado,Conejos,1,0,1,0,0,13,5,8,0,0.0, Nonmetropolitan Counties,CO
Colorado,Costilla,8,0,0,0,8,18,8,7,3,0.0, Nonmetropolitan Counties,CO
Colorado,Crowley,3,0,0,0,3,4,4,0,0,0.0, Nonmetropolitan Counties,CO
Colorado,Custer,4,0,0,0,4,35,6,25,4,0.0, Nonmetropolitan Counties,CO
Colorado,Delta,4,0,4,0,0,111,24,77,10,0.0, Nonmetropolitan Counties,CO
Colorado,Dolores,2,0,1,0,1,18,14,2,2,0.0, Nonmetropolitan Counties,CO
Colorado,Eagle,45,3,8,2,32,300,52,233,15,4.0, Nonmetropolitan Counties,CO
Colorado,Fremont,42,1,6,1,34,186,49,117,20,2.0, Nonmetropolitan Counties,CO
Colorado,Garfield,27,1,16,0,10,185,47,126,12,4.0, Nonmetropolitan Counties,CO
Colorado,Grand,8,0,4,0,4,46,8,37,1,0.0, Nonmetropolitan Counties,CO
Colorado,Gunnison,1,0,0,0,1,19,2,17,0,3.0, Nonmetropolitan Counties,CO
Colorado,Hinsdale,0,0,0,0,0,4,1,3,0,0.0, Nonmetropolitan Counties,CO
Colorado,Huerfano,8,0,2,0,6,16,1,11,4,0.0, Nonmetropolitan Counties,CO
Colorado,Jackson,0,0,0,0,0,2,0,2,0,0.0, Nonmetropolitan Counties,CO
Colorado,Kit Carson,4,0,1,0,3,40,10,24,6,0.0, Nonmetropolitan Counties,CO
Colorado,Lake,5,0,2,1,2,49,11,30,8,0.0, Nonmetropolitan Counties,CO
Colorado,La Plata,37,0,18,0,19,183,59,109,15,1.0, Nonmetropolitan Counties,CO
Colorado,Las Animas,1,0,0,0,1,1,0,0,1,1.0, Nonmetropolitan Counties,CO
Colorado,Lincoln,4,0,0,0,4,12,2,7,3,0.0, Nonmetropolitan Counties,CO
Colorado,Logan,11,0,1,0,10,89,22,64,3,1.0, Nonmetropolitan Counties,CO
Colorado,Moffat,0,0,0,0,0,6,4,2,0,0.0, Nonmetropolitan Counties,CO
Colorado,Montezuma,34,0,4,1,29,156,48,96,12,2.0, Nonmetropolitan Counties,CO
Colorado,Montrose,33,0,9,3,21,253,94,139,20,1.0, Nonmetropolitan Counties,CO
Colorado,Morgan,11,0,3,0,8,95,15,67,13,2.0, Nonmetropolitan Counties,CO
Colorado,Ouray,0,0,0,0,0,0,0,0,0,0.0, Nonmetropolitan Counties,CO
Colorado,Phillips,3,0,2,0,1,4,1,2,1,0.0, Nonmetropolitan Counties,CO
Colorado,Pitkin,4,1,0,0,3,29,2,26,1,0.0, Nonmetropolitan Counties,CO
Colorado,Prowers,2,0,0,0,2,17,6,10,1,0.0, Nonmetropolitan Counties,CO
Colorado,Rio Blanco,0,0,0,0,0,37,0,36,1,0.0, Nonmetropolitan Counties,CO
Colorado,Rio Grande,2,0,0,0,2,14,11,3,0,0.0, Nonmetropolitan Counties,CO
Colorado,Routt,6,0,1,0,5,45,11,33,1,1.0, Nonmetropolitan Counties,CO
Colorado,Saguache,3,0,0,0,3,36,11,22,3,0.0, Nonmetropolitan Counties,CO
Colorado,San Juan,1,1,0,0,0,17,4,13,0,0.0, Nonmetropolitan Counties,CO
Colorado,San Miguel,0,0,0,0,0,0,0,0,0,0.0, Nonmetropolitan Counties,CO
Colorado,Sedgwick,8,0,1,0,7,22,6,16,0,0.0, Nonmetropolitan Counties,CO
Colorado,Summit,21,0,14,0,7,200,43,146,11,2.0, Nonmetropolitan Counties,CO
Delaware,New Castle County Police Department,875,9,70,195,601,5083,1536,3226,321,2.0, Metropolitan Counties,DE
Florida,Alachua,572,1,50,78,443,2086,634,1356,96,16.0, Metropolitan Counties,FL
Florida,Baker,136,0,1,6,129,316,70,237,9,5.0, Metropolitan Counties,FL
Florida,Bay,321,6,41,23,251,2523,515,1850,158,7.0, Metropolitan Counties,FL
Florida,Brevard,735,7,83,85,560,4515,933,3399,183,15.0, Metropolitan Counties,FL
Florida,Broward,268,2,32,64,170,839,154,635,50,4.0, Metropolitan Counties,FL
Florida,Charlotte,286,2,25,25,234,2626,521,2007,98,11.0, Metropolitan Counties,FL
Florida,Citrus,486,4,50,50,382,2382,528,1709,145,12.0, Metropolitan Counties,FL
Florida,Clay,437,5,38,91,303,3704,690,2909,105,18.0, Metropolitan Counties,FL
Florida,Collier,877,4,82,155,636,4423,798,3366,259,18.0, Metropolitan Counties,FL
Florida,Escambia,1761,18,148,306,1289,9819,2357,6908,554,30.0, Metropolitan Counties,FL
Florida,Flagler,216,0,13,29,174,1572,286,1221,65,8.0, Metropolitan Counties,FL
Florida,Gadsden,115,0,10,5,100,469,236,212,21,8.0, Metropolitan Counties,FL
Florida,Gilchrist,50,7,2,1,40,131,57,64,10,0.0, Metropolitan Counties,FL
Florida,Gulf,42,1,1,1,39,228,63,156,9,0.0, Metropolitan Counties,FL
Florida,Hernando,405,5,46,46,308,3691,787,2697,207,19.0, Metropolitan Counties,FL
Florida,Highlands,220,9,17,34,160,2015,644,1296,75,9.0, Metropolitan Counties,FL
Florida,Hillsborough,1937,22,154,444,1317,16149,3504,11592,1053,37.0, Metropolitan Counties,FL
Florida,Indian River,285,4,14,25,242,1996,485,1448,63,2.0, Metropolitan Counties,FL
Florida,Jefferson,123,0,6,1,116,155,86,54,15,2.0, Metropolitan Counties,FL
Florida,Lake,409,3,65,26,315,2751,930,1641,180,8.0, Metropolitan Counties,FL
Florida,Lee,1275,19,111,343,802,7830,2034,5234,562,35.0, Metropolitan Counties,FL
Florida,Leon,344,3,25,19,297,2393,595,1682,116,9.0, Metropolitan Counties,FL
Florida,Manatee,1511,9,180,216,1106,7188,1597,5258,333,13.0, Metropolitan Counties,FL
Florida,Marion,1038,12,96,79,851,3702,1101,2419,182,6.0, Metropolitan Counties,FL
Florida,Martin,311,5,40,63,203,1958,475,1418,65,8.0, Metropolitan Counties,FL
Florida,Miami-Dade,6571,84,421,1835,4231,38791,6440,29213,3138,28.0, Metropolitan Counties,FL
Florida,Nassau,55,1,0,14,40,958,238,651,69,4.0, Metropolitan Counties,FL
Florida,Okaloosa,558,2,54,62,440,3100,633,2355,112,3.0, Metropolitan Counties,FL
Florida,Orange,5551,71,517,1438,3525,26111,6760,17333,2018,0.0, Metropolitan Counties,FL
Florida,Osceola,686,3,69,64,550,4539,1299,3079,161,4.0, Metropolitan Counties,FL
Florida,Palm Beach,2034,24,214,494,1302,12935,3195,8719,1021,59.0, Metropolitan Counties,FL
Florida,Pasco,1116,18,124,165,809,9365,2234,6502,629,50.0, Metropolitan Counties,FL
Florida,Pinellas,872,6,111,124,631,5454,1330,3832,292,11.0, Metropolitan Counties,FL
Florida,Polk,1237,4,70,159,1004,7308,2466,4266,576,51.0, Metropolitan Counties,FL
Florida,Santa Rosa,219,5,28,15,171,1435,379,962,94,2.0, Metropolitan Counties,FL
Florida,Sarasota,522,6,33,99,384,5068,1096,3792,180,3.0, Metropolitan Counties,FL
Florida,Seminole,556,6,58,53,439,3034,834,2069,131,1.0, Metropolitan Counties,FL
Florida,St. Johns,429,3,13,36,377,3019,607,2279,133,1.0, Metropolitan Counties,FL
Florida,St. Lucie,239,2,22,23,192,1426,313,1031,82,8.0, Metropolitan Counties,FL
Florida,Sumter,155,2,22,12,119,908,279,583,46,10.0, Metropolitan Counties,FL
Florida,Volusia,697,4,82,89,522,4310,1125,2918,267,26.0, Metropolitan Counties,FL
Florida,Wakulla,86,1,11,2,72,611,102,481,28,1.0, Metropolitan Counties,FL
Florida,Walton,198,0,23,6,169,1188,338,787,63,1.0, Metropolitan Counties,FL
Florida,Bradford,85,0,14,4,67,147,67,71,9,0.0, Nonmetropolitan Counties,FL
Florida,Calhoun,17,0,3,0,14,76,30,44,2,1.0, Nonmetropolitan Counties,FL
Florida,Columbia,238,0,22,10,206,1152,561,562,29,5.0, Nonmetropolitan Counties,FL
Florida,DeSoto,108,2,10,13,83,764,242,503,19,2.0, Nonmetropolitan Counties,FL
Florida,Dixie,67,2,10,1,54,354,161,183,10,7.0, Nonmetropolitan Counties,FL
Florida,Franklin,26,1,3,1,21,76,24,48,4,0.0, Nonmetropolitan Counties,FL
Florida,Glades,35,0,0,3,32,130,39,80,11,0.0, Nonmetropolitan Counties,FL
Florida,Hamilton,44,1,7,4,32,215,99,109,7,3.0, Nonmetropolitan Counties,FL
Florida,Hardee,49,0,8,5,36,385,94,272,19,1.0, Nonmetropolitan Counties,FL
