zcta,population,poverty,poverty_under18,poverty_18to65,poverty_over65,education,work_experience,working_fulltime,working_fulltime_poverty
45735,1794,55,10,39,6,1454,1576,154,0
45740,581,142,60,74,8,350,442,35,4
45741,973,226,65,136,25,688,734,18,0
45742,3109,311,143,123,45,2261,2375,128,0
45743,1364,124,8,78,38,888,1072,39,0
45744,2507,201,57,119,25,1810,2002,92,0
45745,1387,274,50,158,66,1066,1152,94,0
45746,312,76,24,39,13,257,272,39,0
45750,25887,4573,1308,2787,478,18160,21189,1803,69
45760,3773,1035,221,692,122,2725,3118,192,20
45761,1973,342,131,171,40,1329,1528,54,0
45764,7540,2075,482,1474,119,4894,6129,423,23
45766,1247,281,108,173,0,857,922,46,0
45767,2657,599,154,346,99,2004,2242,45,0
45768,1635,120,0,44,76,1192,1346,175,0
45769,6439,1768,717,960,91,4485,4977,313,0
45770,500,102,58,37,7,307,353,25,0
45771,3435,623,242,287,94,2425,2787,203,0
45772,1919,582,124,376,82,1459,1682,83,0
45773,213,78,0,65,13,116,174,13,0
45775,1252,151,18,118,15,836,1071,29,0
45776,610,174,64,100,10,482,535,43,0
45778,645,77,15,62,0,507,563,46,0
45779,694,86,25,53,8,448,553,46,2
45780,3238,965,361,434,170,2177,2520,248,22
45782,407,132,35,85,12,259,325,7,0
45784,3244,655,237,390,28,2267,2606,185,0
45786,3499,303,67,170,66,2393,2891,138,0
45787,0,0,0,0,0,0,0,0,0
45788,1213,191,104,69,18,822,950,74,0
45789,159,12,0,12,0,127,127,0,0
45801,22955,5902,1991,3607,304,14013,17501,1416,47
45804,14658,5926,2649,2949,328,9119,11065,655,19
45805,23095,3655,1213,2235,207,15096,18080,1456,35
45806,10451,815,264,487,64,7570,8615,610,0
45807,11560,715,196,425,94,8201,9650,588,38
45808,380,43,18,21,4,265,306,16,0
45809,75,0,0,0,0,48,48,7,0
45810,6307,1058,115,921,22,3759,5089,412,25
45812,1574,203,35,130,38,1095,1226,80,0
45813,3582,410,130,224,56,2499,2816,56,0
45814,2636,130,41,75,14,1681,2077,114,0
45816,401,52,24,28,0,270,316,47,0
45817,6023,424,142,198,84,4206,4878,427,9
45819,259,34,14,16,4,156,175,12,0
45820,417,29,1,16,12,300,344,17,0
45821,1516,218,57,145,16,1155,1287,86,9
45822,19020,2618,898,1563,157,13253,15446,1078,56
45826,361,27,10,15,2,264,302,56,0
45827,2083,179,96,76,7,1319,1509,100,0
45828,6038,283,18,125,140,3946,4688,178,3
45830,6442,440,93,298,49,4114,5123,377,5
