zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,naics_title
2719,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2719,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2740,114111,37,27,9,1,0,0,0,0,0,0,"Finfish Fishing"
2740,114111,37,27,9,1,0,0,0,0,0,0,"Finfish Fishing"
2740,114112,33,27,6,0,0,0,0,0,0,0,"Shellfish Fishing"
2740,114112,33,27,6,0,0,0,0,0,0,0,"Shellfish Fishing"
2740,114119,4,3,1,0,0,0,0,0,0,0,"Other Marine Fishing"
2740,114119,4,3,1,0,0,0,0,0,0,0,"Other Marine Fishing"
2744,114119,1,1,0,0,0,0,0,0,0,0,"Other Marine Fishing"
2744,114119,1,1,0,0,0,0,0,0,0,0,"Other Marine Fishing"
2747,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
2747,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
2747,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2747,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2748,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2748,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2777,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2777,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2790,114112,2,1,1,0,0,0,0,0,0,0,"Shellfish Fishing"
2790,114112,2,1,1,0,0,0,0,0,0,0,"Shellfish Fishing"
2807,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2807,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2809,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2809,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2837,114111,3,3,0,0,0,0,0,0,0,0,"Finfish Fishing"
2837,114111,3,3,0,0,0,0,0,0,0,0,"Finfish Fishing"
2837,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2837,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2840,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2840,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2842,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2842,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2852,114111,1,0,0,1,0,0,0,0,0,0,"Finfish Fishing"
2852,114111,1,0,0,1,0,0,0,0,0,0,"Finfish Fishing"
2852,114112,1,0,0,0,1,0,0,0,0,0,"Shellfish Fishing"
2852,114112,1,0,0,0,1,0,0,0,0,0,"Shellfish Fishing"
2871,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2871,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2874,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2874,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2878,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2878,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2879,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2879,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2882,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
2882,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
2882,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2882,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2886,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2886,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2889,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2889,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2892,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2892,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2919,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2919,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
3261,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
3261,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
3802,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
3802,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
3820,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
3820,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
3870,114119,1,1,0,0,0,0,0,0,0,0,"Other Marine Fishing"
3870,114119,1,1,0,0,0,0,0,0,0,0,"Other Marine Fishing"
3904,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
3904,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
3904,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
3904,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
3907,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
3907,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
3909,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
3909,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4003,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4003,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4011,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4011,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4011,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4011,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4017,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4017,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4017,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4017,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4021,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4021,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4032,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4032,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4032,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4032,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4038,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4038,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4046,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4046,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4062,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4062,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4074,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
4074,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
4079,114111,7,7,0,0,0,0,0,0,0,0,"Finfish Fishing"
4079,114111,7,7,0,0,0,0,0,0,0,0,"Finfish Fishing"
4079,114112,22,22,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4079,114112,22,22,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4092,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
4092,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
4096,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4096,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4097,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4097,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4101,114111,3,2,1,0,0,0,0,0,0,0,"Finfish Fishing"
4101,114111,3,2,1,0,0,0,0,0,0,0,"Finfish Fishing"
4101,114112,2,1,1,0,0,0,0,0,0,0,"Shellfish Fishing"
4101,114112,2,1,1,0,0,0,0,0,0,0,"Shellfish Fishing"
4103,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
4103,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
4103,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4103,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4104,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4104,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4106,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
4106,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
4106,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4106,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4107,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4107,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4112,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4112,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4287,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4287,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4348,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4348,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4444,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4444,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4530,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4530,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4537,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
4537,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
4537,114112,9,9,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4537,114112,9,9,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4538,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
4538,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
4538,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4538,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4539,114112,4,4,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4539,114112,4,4,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4543,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4543,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4543,114112,3,2,0,1,0,0,0,0,0,0,"Shellfish Fishing"
4543,114112,3,2,0,1,0,0,0,0,0,0,"Shellfish Fishing"
4544,114112,4,4,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4544,114112,4,4,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4547,114111,3,3,0,0,0,0,0,0,0,0,"Finfish Fishing"
4547,114111,3,3,0,0,0,0,0,0,0,0,"Finfish Fishing"
4547,114112,21,21,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4547,114112,21,21,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4548,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4548,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4551,114112,4,4,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4551,114112,4,4,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4551,114119,1,1,0,0,0,0,0,0,0,0,"Other Marine Fishing"
4551,114119,1,1,0,0,0,0,0,0,0,0,"Other Marine Fishing"
4554,114112,4,4,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4554,114112,4,4,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4555,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4555,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4556,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4556,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4558,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4558,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4562,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4562,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4562,114119,1,1,0,0,0,0,0,0,0,0,"Other Marine Fishing"
4562,114119,1,1,0,0,0,0,0,0,0,0,"Other Marine Fishing"
4563,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4563,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4568,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4568,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4571,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4571,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4572,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
4572,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
4572,114112,8,8,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4572,114112,8,8,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4573,114112,4,4,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4573,114112,4,4,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4573,114119,1,1,0,0,0,0,0,0,0,0,"Other Marine Fishing"
4573,114119,1,1,0,0,0,0,0,0,0,0,"Other Marine Fishing"
4576,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4576,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4578,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4578,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4605,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4605,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4605,114112,5,5,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4605,114112,5,5,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4606,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4606,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4606,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4606,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4607,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4607,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4609,114112,6,6,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4609,114112,6,6,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4611,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4611,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4611,114112,6,6,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4611,114112,6,6,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4612,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4612,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4613,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4613,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4614,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4614,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4616,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4616,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4617,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4617,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4624,114112,5,5,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4624,114112,5,5,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4626,114112,4,4,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4626,114112,4,4,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4627,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
4627,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
4627,114112,11,11,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4627,114112,11,11,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4631,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
4631,114111,2,2,0,0,0,0,0,0,0,0,"Finfish Fishing"
4640,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4640,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4643,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4643,114112,3,3,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4646,114112,10,9,1,0,0,0,0,0,0,0,"Shellfish Fishing"
4646,114112,10,9,1,0,0,0,0,0,0,0,"Shellfish Fishing"
4649,114112,8,8,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4649,114112,8,8,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4652,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4652,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4652,114119,1,1,0,0,0,0,0,0,0,0,"Other Marine Fishing"
4652,114119,1,1,0,0,0,0,0,0,0,0,"Other Marine Fishing"
4653,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4653,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4655,114111,1,0,0,0,0,1,0,0,0,0,"Finfish Fishing"
4655,114111,1,0,0,0,0,1,0,0,0,0,"Finfish Fishing"
4655,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4655,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4658,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4658,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4658,114112,4,4,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4658,114112,4,4,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4660,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4660,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4662,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4662,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4669,114112,5,5,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4669,114112,5,5,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4674,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4674,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
4674,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4674,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4675,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
4675,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
