"storm","city","city_radius","wind_mph","wind_kmph","label","cityimpactday","year","norm_count_total","impact_count_total","change_count_percent","norm_displacement_total_km","impact_displacement_total_km","change_displacement_total_km","change_displacement_total_degree","change_displacement_total_degree_abs","change_displacement_percent","change_displacement_percent_abs","change_step_displacement_percent","change_step_displacement_percent_abs","step_type","norm_step_count","norm_step_avg_km","norm_step_displacement_km","impact_step_count","impact_step_avg_km","change_step_avg_km","change_step_avg_km_abs","norm_step_avg_degrees","impact_step_avg_degrees","change_step_avg_degrees","change_step_avg_degrees_abs","impact_step_displacement_km","change_displacement_km","change_displacement_km_abs","change_displacement_degrees","change_displacement_degrees_abs","norm_step_count_percent","impact_step_count_percent","change_step_count_percent","change_step_count_percent_abs","norm_step_distance_proportionality","impact_step_distance_proportionality","change_step_distance_proportionality","change_step_distance_proportionality_abs"
"Lan","Tokyo","50","55","88.51","55 - Lan - Tokyo","2017-10-23","2017","10892.20000000000000000000","10626","-2.4440","90847.5715","90500.8000","-346.771500","-3.134814","3.1348","-0.3817","0.3817","-0.3935","0.3935",5,"2955","4.4505","65756.0241","2998","21.8470","-17.396500","17.396500","0.040233","0.197497","-0.157264","0.157264","65497.3000","-258.7241","258.724100","-2.338900","2.338900","0.27129506","0.28213815","-0.01084310","0.01084310","0.72380607","0.72372067","0.00008540","0.00008540"
"Lan","Tokyo","50","55","88.51","55 - Lan - Tokyo","2017-10-23","2017","10892.20000000000000000000","10626","-2.4440","90847.5715","90500.8000","-346.771500","-3.134814","3.1348","-0.3817","0.3817","-11.4492","11.4492",6,"76","11.6475","4449.3353","70","56.2845","-44.637000","44.637000","0.105293","0.508812","-0.403518","0.403518","3939.9200","-509.4153","509.415300","-4.605100","4.605100","0.00697747","0.00658762","0.00038985","0.00038985","0.04897583","0.04353464","0.00544119","0.00544119"
"Florence","Wilmington","20","60","96.56","60 - Florence - Wilmington","2018-09-14","2018","41.40000000000000000000","75","81.1594","359.7940","641.7150","281.921000","2.548566","2.5486","78.3562","78.3562","-67.5164","67.5164",1,"1","0.0518","0.2589","2","0.0420","0.009800","0.009800","0.000468","0.000380","0.000089","0.000089","0.0841","-0.1748","0.174800","-0.001600","0.001600","0.02415459","0.02666667","-0.00251208","0.00251208","0.00071958","0.00013106","0.00058852","0.00058852"
"Florence","Wilmington","20","60","96.56","60 - Florence - Wilmington","2018-09-14","2018","41.40000000000000000000","75","81.1594","359.7940","641.7150","281.921000","2.548566","2.5486","78.3562","78.3562","-33.3944","33.3944",2,"4","0.1315","2.8936","3","0.6424","-0.510900","0.510900","0.001189","0.005807","-0.004619","0.004619","1.9273","-0.9663","0.966300","-0.008700","0.008700","0.09661836","0.04000000","0.05661836","0.05661836","0.00804238","0.00300336","0.00503902","0.00503902"
"Florence","Wilmington","20","60","96.56","60 - Florence - Wilmington","2018-09-14","2018","41.40000000000000000000","75","81.1594","359.7940","641.7150","281.921000","2.548566","2.5486","78.3562","78.3562","161.3439","161.3439",3,"6","0.7000","22.3998","16","3.6588","-2.958800","2.958800","0.006328","0.033076","-0.026748","0.026748","58.5405","36.1407","36.140700","0.326700","0.326700","0.14492754","0.21333333","-0.06840580","0.06840580","0.06225729","0.09122508","-0.02896778","0.02896778"
"Florence","Wilmington","20","60","96.56","60 - Florence - Wilmington","2018-09-14","2018","41.40000000000000000000","75","81.1594","359.7940","641.7150","281.921000","2.548566","2.5486","78.3562","78.3562","99.5636","99.5636",4,"9","1.6371","70.3971","19","7.3941","-5.757000","5.757000","0.014799","0.066843","-0.052043","0.052043","140.4870","70.0899","70.089900","0.633600","0.633600","0.21739130","0.25333333","-0.03594203","0.03594203","0.19565946","0.21892429","-0.02326483","0.02326483"
"Florence","Wilmington","20","60","96.56","60 - Florence - Wilmington","2018-09-14","2018","41.40000000000000000000","75","81.1594","359.7940","641.7150","281.921000","2.548566","2.5486","78.3562","78.3562","67.0210","67.0210",5,"21","2.5128","263.8446","35","12.5907","-10.077900","10.077900","0.022716","0.113820","-0.091104","0.091104","440.6760","176.8314","176.831400","1.598600","1.598600","0.50724638","0.46666667","0.04057971","0.04057971","0.73332129","0.68671607","0.04660522","0.04660522"
"Irma","Tampa","40","70","112.65","70 - Irma - Tampa","2017-09-11","2017","330.80000000000000000000","362","9.4317","5610.1317","5538.7900","-71.341700","-0.644929","0.6449","-1.2717","1.2717","39.5884","39.5884",1,"13","0.0376","2.5169","20","0.1757","-0.138100","0.138100","0.000340","0.001588","-0.001248","0.001248","3.5133","0.9964","0.996400","0.009000","0.009000","0.03929867","0.05524862","-0.01594995","0.01594995","0.00044863","0.00063431","-0.00018567","0.00018567"
"Irma","Tampa","40","70","112.65","70 - Irma - Tampa","2017-09-11","2017","330.80000000000000000000","362","9.4317","5610.1317","5538.7900","-71.341700","-0.644929","0.6449","-1.2717","1.2717","116.7055","116.7055",2,"7","0.1240","4.4656","13","0.7444","-0.620400","0.620400","0.001121","0.006729","-0.005608","0.005608","9.6772","5.2116","5.211600","0.047100","0.047100","0.02116082","0.03591160","-0.01475078","0.01475078","0.00079599","0.00174717","-0.00095118","0.00095118"
"Irma","Tampa","40","70","112.65","70 - Irma - Tampa","2017-09-11","2017","330.80000000000000000000","362","9.4317","5610.1317","5538.7900","-71.341700","-0.644929","0.6449","-1.2717","1.2717","6.0862","6.0862",3,"51","0.6214","157.8235","55","3.0442","-2.422800","2.422800","0.005617","0.027520","-0.021902","0.021902","167.4290","9.6055","9.605500","0.086800","0.086800","0.15417170","0.15193370","0.00223800","0.00223800","0.02813187","0.03022844","-0.00209657","0.00209657"
