	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS2012_TTL	NAICS_Sector	estab	emp	payann	estimate
373	13009	13	9	Baldwin County, Georgia	4541	Electronic shopping and mail-order houses	45	4.6	30.8	910.8	
375	13009	13	9	Baldwin County, Georgia	4543	Direct selling establishments	45	3.4	12.8	713.8	
376	13009	13	9	Baldwin County, Georgia	4841	General freight trucking	48	7.2	8.4	442.8	
377	13009	13	9	Baldwin County, Georgia	4842	Specialized freight trucking	48	4.8	15.2	891.0	
393	13009	13	9	Baldwin County, Georgia	5221	Depository credit intermediation	52	12.2	214.0	9647.0	
394	13009	13	9	Baldwin County, Georgia	5222	Nondepository credit intermediation	52	18.6	67.4	2711.8	
396	13009	13	9	Baldwin County, Georgia	5231	Securities and commodity contracts intermediation and brokerage	52	3.6	2.8	459.0	
397	13009	13	9	Baldwin County, Georgia	5239	Other financial investment activities	52	8.2	10.4	814.4	
399	13009	13	9	Baldwin County, Georgia	5242	Agencies, brokerages, and other insurance related activities	52	14.4	59.6	1969.8	
400	13009	13	9	Baldwin County, Georgia	5311	Lessors of real estate	53	12.0	35.0	609.6	
401	13009	13	9	Baldwin County, Georgia	5312	Offices of real estate agents and brokers	53	4.4	4.0	192.2	
402	13009	13	9	Baldwin County, Georgia	5313	Activities related to real estate	53	4.8	6.2	214.4	
403	13009	13	9	Baldwin County, Georgia	5321	Automotive equipment rental and leasing	53	2.4	2.4	52.8	
404	13009	13	9	Baldwin County, Georgia	5322	Consumer goods rental	53	6.8	27.2	623.6	
406	13009	13	9	Baldwin County, Georgia	5411	Legal services	54	20.8	29.2	1622.4	
407	13009	13	9	Baldwin County, Georgia	5412	Accounting, tax preparation, bookkeeping, and payroll services	54	15.0	62.0	1068.6	
408	13009	13	9	Baldwin County, Georgia	5413	Architectural, engineering, and related services	54	5.8	7.4	507.2	
410	13009	13	9	Baldwin County, Georgia	5415	Computer systems design and related services	54	2.8	2.0	88.6	
411	13009	13	9	Baldwin County, Georgia	5416	Management, scientific, and technical consulting services	54	4.8	3.2	133.4	
413	13009	13	9	Baldwin County, Georgia	5419	Other professional, scientific, and technical services	54	5.6	37.4	1262.0	
415	13009	13	9	Baldwin County, Georgia	5611	Office administrative services	56	2.6	1.8	51.2	
417	13009	13	9	Baldwin County, Georgia	5613	Employment services	56	5.8	171.0	3203.4	
420	13009	13	9	Baldwin County, Georgia	5616	Investigation and security services	56	1.6	0.0	82.2	
421	13009	13	9	Baldwin County, Georgia	5617	Services to buildings and dwellings	56	20.4	135.6	3104.2	
425	13009	13	9	Baldwin County, Georgia	6111	Elementary and secondary schools	61	4.0	20.8	543.8	
427	13009	13	9	Baldwin County, Georgia	6211	Offices of physicians	62	39.4	262.2	17256.6	
428	13009	13	9	Baldwin County, Georgia	6212	Offices of dentists	62	12.2	77.0	3213.2	
429	13009	13	9	Baldwin County, Georgia	6213	Offices of other health practitioners	62	10.2	34.8	1658.8	
430	13009	13	9	Baldwin County, Georgia	6214	Outpatient care centers	62	9.2	31.0	2172.4	
432	13009	13	9	Baldwin County, Georgia	6216	Home health care services	62	6.2	107.4	4030.2	
436	13009	13	9	Baldwin County, Georgia	6231	Nursing care facilities (skilled nursing facilities)	62	3.6	118.8	2846.6	
439	13009	13	9	Baldwin County, Georgia	6241	Individual and family services	62	5.0	218.0	6381.0	
441	13009	13	9	Baldwin County, Georgia	6244	Child day care services	62	11.8	165.2	2227.6	
443	13009	13	9	Baldwin County, Georgia	7139	Other amusement and recreation industries	71	10.2	58.2	2075.4	
444	13009	13	9	Baldwin County, Georgia	7211	Traveler accommodation	72	9.4	86.2	1135.6	
