,ZCTA5,STATE,COUNTY,GEOID,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,COPOP,COHU,COAREA,COAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,COPOPPCT,COHUPCT,COAREAPCT,COAREALANDPCT,ZCTA5CE10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,lat,lon,OBJECTID,STATEFP10,GEOID10,NAME10,NAMELSAD10,totpop10,Reg_Comm,Acres,Sq_Miles,Label
33,30030,13,89,13089,26473,13327,16879009,16865049,26473,13327,16879009,16865049,691893,304968,702254121,693033963,100,100,100,100,3.83,4.37,2.4,2.43,30030,B5,G6350,S,16893842,13960,33.7719468,-84.2902702,33.7719468,-84.2902702,138,13,13089,DeKalb,DeKalb County,691893,Atlanta Regional Commission,173496,271.0870056,DEKALB
34,30032,13,89,13089,47222,20467,35384253,35305648,47222,20467,35384253,35305648,691893,304968,702254121,693033963,100,100,100,100,6.83,6.71,5.04,5.09,30032,B5,G6350,S,35322534,78604,33.7406681,-84.2644659,33.7406681,-84.2644659,138,13,13089,DeKalb,DeKalb County,691893,Atlanta Regional Commission,173496,271.0870056,DEKALB
35,30033,13,89,13089,30763,14786,24020067,23921835,30763,14786,24020067,23921835,691893,304968,702254121,693033963,100,100,100,100,4.45,4.85,3.42,3.45,30033,B5,G6350,S,23920595,98234,33.8116586,-84.2832302,33.8116586,-84.2832302,138,13,13089,DeKalb,DeKalb County,691893,Atlanta Regional Commission,173496,271.0870056,DEKALB
36,30034,13,89,13089,43113,18209,44509550,43902603,43113,18209,44509550,43902603,691893,304968,702254121,693033963,100,100,100,100,6.23,5.97,6.34,6.33,30034,B5,G6350,S,43913617,594898,33.6908673,-84.2486217,33.6908673,-84.2486217,138,13,13089,DeKalb,DeKalb County,691893,Atlanta Regional Commission,173496,271.0870056,DEKALB
37,30035,13,89,13089,20396,8694,22291855,22151468,20396,8694,22291855,22151468,691893,304968,702254121,693033963,100,100,100,100,2.95,2.85,3.17,3.2,30035,B5,G6350,S,22151544,140386,33.7244521,-84.2042436,33.7244521,-84.2042436,138,13,13089,DeKalb,DeKalb County,691893,Atlanta Regional Commission,173496,271.0870056,DEKALB
38,30038,13,89,13089,37233,16343,76251763,75254108,37233,16343,76251763,75254108,691893,304968,702254121,693033963,100,100,100,100,5.38,5.36,10.86,10.86,30038,B5,G6350,S,75254264,997197,33.6664598,-84.1398552,33.6664598,-84.1398552,138,13,13089,DeKalb,DeKalb County,691893,Atlanta Regional Commission,173496,271.0870056,DEKALB
39,30039,13,89,13089,511,206,2767013,2595101,41517,14700,66056378,64847001,691893,304968,702254121,693033963,1.23,1.4,4.19,4,0.07,0.07,0.39,0.37,30039,B5,G6350,S,64859764,1207093,33.7998508,-84.0356779,33.7998508,-84.0356779,138,13,13089,DeKalb,DeKalb County,691893,Atlanta Regional Commission,173496,271.0870056,DEKALB
40,30039,13,135,13135,41006,14494,63289365,62251900,41517,14700,66056378,64847001,805321,291547,1131242872,1114687261,98.77,98.6,95.81,96,5.09,4.97,5.59,5.58,30039,B5,G6350,S,64859764,1207093,33.7998508,-84.0356779,33.7998508,-84.0356779,72,13,13135,Gwinnett,Gwinnett County,805321,Atlanta Regional Commission,279481,436.6889954,GWINNETT
41,30040,13,57,13057,326,152,5072603,5047461,54653,19873,153638390,151970506,214346,82360,1125104307,1092129613,0.6,0.76,3.3,3.32,0.15,0.18,0.45,0.46,30040,B5,G6350,S,152117051,1644243,34.2103486,-84.1877939,34.2103486,-84.1877939,146,13,13057,Cherokee,Cherokee County,214346,Atlanta Regional Commission,277969,434.3259888,CHEROKEE
42,30040,13,117,13117,54327,19721,148565787,146923045,54653,19873,153638390,151970506,175511,64052,640157353,580210822,99.4,99.24,96.7,96.68,30.95,30.79,23.21,25.32,30040,B5,G6350,S,152117051,1644243,34.2103486,-84.1877939,34.2103486,-84.1877939,26,13,13117,Forsyth,Forsyth County,175511,Georgia Mountains,158154,247.1159973,FORSYTH
43,30041,13,117,13117,52749,19731,175585571,152373584,52749,19731,175585571,152373584,175511,64052,640157353,580210822,100,100,100,100,30.05,30.8,27.43,26.26,30041,B5,G6350,S,152302461,23067062,34.1987205,-84.1019625,34.1987205,-84.1019625,26,13,13117,Forsyth,Forsyth County,175511,Georgia Mountains,158154,247.1159973,FORSYTH
44,30043,13,135,13135,80241,27767,85257130,84251106,80241,27767,85257130,84251106,805321,291547,1131242872,1114687261,100,100,100,100,9.96,9.52,7.54,7.56,30043,B5,G6350,S,84243231,1003573,33.9992762,-84.0095123,33.9992762,-84.0095123,72,13,13135,Gwinnett,Gwinnett County,805321,Atlanta Regional Commission,279481,436.6889954,GWINNETT
45,30044,13,135,13135,79701,27851,63929635,63418406,79701,27851,63929635,63418406,805321,291547,1131242872,1114687261,100,100,100,100,9.9,9.55,5.65,5.69,30044,B5,G6350,S,63456240,469271,33.9220457,-84.065671,33.9220457,-84.065671,72,13,13135,Gwinnett,Gwinnett County,805321,Atlanta Regional Commission,279481,436.6889954,GWINNETT
46,30045,13,135,13135,34402,11232,57175330,56297395,34402,11232,57175330,56297395,805321,291547,1131242872,1114687261,100,100,100,100,4.27,3.85,5.05,5.05,30045,B5,G6350,S,56333269,848190,33.9365175,-83.927669,33.9365175,-83.927669,72,13,13135,Gwinnett,Gwinnett County,805321,Atlanta Regional Commission,279481,436.6889954,GWINNETT
47,30046,13,135,13135,34523,13171,40884543,40571712,34523,13171,40884543,40571712,805321,291547,1131242872,1114687261,100,100,100,100,4.29,4.52,3.61,3.64,30046,B5,G6350,S,40570895,304267,33.9486322,-83.9957657,33.9486322,-83.9957657,72,13,13135,Gwinnett,Gwinnett County,805321,Atlanta Regional Commission,279481,436.6889954,GWINNETT
48,30047,13,135,13135,59660,21153,72708993,71773626,59660,21153,72708993,71773626,805321,291547,1131242872,1114687261,100,100,100,100,7.41,7.26,6.43,6.44,30047,B5,G6350,S,71851664,853556,33.8718673,-84.112585,33.8718673,-84.112585,72,13,13135,Gwinnett,Gwinnett County,805321,Atlanta Regional Commission,279481,436.6889954,GWINNETT
49,30052,13,135,13135,28231,9821,62079236,61322248,59451,21387,228509596,226522023,805321,291547,1131242872,1114687261,47.49,45.92,27.17,27.07,3.51,3.37,5.49,5.5,30052,B5,G6350,S,226523563,1987569,33.8151508,-83.8935613,33.8151508,-83.8935613,72,13,13135,Gwinnett,Gwinnett County,805321,Atlanta Regional Commission,279481,436.6889954,GWINNETT
50,30052,13,217,13217,122,49,2821091,2767599,59451,21387,228509596,226522023,99958,38342,723119276,704894510,0.21,0.23,1.23,1.22,0.12,0.13,0.39,0.39,30052,B5,G6350,S,226523563,1987569,33.8151508,-83.8935613,33.8151508,-83.8935613,70,13,13217,Newton,Newton County,99958,Northeast Georgia,178654,279.1470032,NEWTON
51,30052,13,247,13247,297,124,7605105,7549518,59451,21387,228509596,226522023,85215,33272,342131629,336161686,0.5,0.58,3.33,3.33,0.35,0.37,2.22,2.25,30052,B5,G6350,S,226523563,1987569,33.8151508,-83.8935613,33.8151508,-83.8935613,21,13,13247,Rockdale,Rockdale County,85215,Atlanta Regional Commission,84525.70313,132.0709992,ROCKDALE
52,30052,13,297,13297,30801,11393,156004164,154882658,59451,21387,228509596,226522023,83768,32435,854695735,843508113,51.81,53.27,68.27,68.37,36.77,35.13,18.25,18.36,30052,B5,G6350,S,226523563,1987569,33.8151508,-83.8935613,33.8151508,-83.8935613,149,13,13297,Walton,Walton County,83768,Northeast Georgia,211166,329.9460144,WALTON
53,30054,13,217,13217,9887,3677,93520948,91765521,11985,4431,108998971,107113672,99958,38342,723119276,704894510,82.49,82.98,85.8,85.67,9.89,9.59,12.93,13.02,30054,B5,G6350,S,107112942,1885947,33.6732503,-83.8718057,33.6732503,-83.8718057,70,13,13217,Newton,Newton County,99958,Northeast Georgia,178654,279.1470032,NEWTON
54,30054,13,297,13297,2098,754,15478023,15348151,11985,4431,108998971,107113672,83768,32435,854695735,843508113,17.51,17.02,14.2,14.33,2.5,2.32,1.81,1.82,30054,B5,G6350,S,107112942,1885947,33.6732503,-83.8718057,33.6732503,-83.8718057,149,13,13297,Walton,Walton County,83768,Northeast Georgia,211166,329.9460144,WALTON
55,30055,13,159,13159,1533,705,55988055,54070424,3018,1312,135900819,132983323,13900,6153,967268653,953542690,50.8,53.73,41.2,40.66,11.03,11.46,5.79,5.67,30055,B5,G6350,S,132993566,2917529,33.4974112,-83.7497845,33.4974112,-83.7497845,129,13,13159,Jasper,Jasper County,13900,Northeast Georgia,238981,373.4070129,JASPER
56,30055,13,211,13211,271,110,17321988,17196517,3018,1312,135900819,132983323,17868,7472,918463309,899630975,8.98,8.38,12.75,12.93,1.52,1.47,1.89,1.91,30055,B5,G6350,S,132993566,2917529,33.4974112,-83.7497845,33.4974112,-83.7497845,12,13,13211,Morgan,Morgan County,17868,Northeast Georgia,226933,354.5830078,MORGAN
57,30055,13,217,13217,1214,497,62590776,61716382,3018,1312,135900819,132983323,99958,38342,723119276,704894510,40.23,37.88,46.06,46.41,1.21,1.3,8.66,8.76,30055,B5,G6350,S,132993566,2917529,33.4974112,-83.7497845,33.4974112,-83.7497845,70,13,13217,Newton,Newton County,99958,Northeast Georgia,178654,279.1470032,NEWTON
58,30056,13,159,13159,1222,475,51658967,51288242,2500,948,100033489,99073235,13900,6153,967268653,953542690,48.88,50.11,51.64,51.77,8.79,7.72,5.34,5.38,30056,B5,G6350,S,99073274,960225,33.5002501,-83.6595842,33.5002501,-83.6595842,129,13,13159,Jasper,Jasper County,13900,Northeast Georgia,238981,373.4070129,JASPER
59,30056,13,211,13211,158,58,30723687,30241079,2500,948,100033489,99073235,17868,7472,918463309,899630975,6.32,6.12,30.71,30.52,0.88,0.78,3.35,3.36,30056,B5,G6350,S,99073274,960225,33.5002501,-83.6595842,33.5002501,-83.6595842,12,13,13211,Morgan,Morgan County,17868,Northeast Georgia,226933,354.5830078,MORGAN
60,30056,13,217,13217,1120,415,17650835,17543914,2500,948,100033489,99073235,99958,38342,723119276,704894510,44.8,43.78,17.64,17.71,1.12,1.08,2.44,2.49,30056,B5,G6350,S,99073274,960225,33.5002501,-83.6595842,33.5002501,-83.6595842,70,13,13217,Newton,Newton County,99958,Northeast Georgia,178654,279.1470032,NEWTON
61,30058,13,89,13089,52804,21208,80279932,78651242,52945,21269,81358887,79708450,691893,304968,702254121,693033963,99.73,99.71,98.67,98.67,7.63,6.95,11.43,11.35,30058,B5,G6350,S,79714556,1644779,33.7383504,-84.1073763,33.7383504,-84.1073763,138,13,13089,DeKalb,DeKalb County,691893,Atlanta Regional Commission,173496,271.0870056,DEKALB
62,30058,13,247,13247,141,61,1078955,1057208,52945,21269,81358887,79708450,85215,33272,342131629,336161686,0.27,0.29,1.33,1.33,0.17,0.18,0.32,0.31,30058,B5,G6350,S,79714556,1644779,33.7383504,-84.1073763,33.7383504,-84.1073763,21,13,13247,Rockdale,Rockdale County,85215,Atlanta Regional Commission,84525.70313,132.0709992,ROCKDALE
63,30060,13,67,13067,34562,14338,42675759,42337178,34562,14338,42675759,42337178,688078,286490,892296837,879428364,100,100,100,100,5.02,5,4.78,4.81,30060,B5,G6350,S,42463724,162638,33.9257111,-84.541608,33.9257111,-84.541608,24,13,13067,Cobb,Cobb County,688078,Atlanta Regional Commission,220455,344.4599915,COBB
64,30062,13,67,13067,62136,24275,67584615,66841137,62136,24275,67584615,66841137,688078,286490,892296837,879428364,100,100,100,100,9.03,8.47,7.57,7.6,30062,B5,G6350,S,66899952,684056,34.005578,-84.4689447,34.005578,-84.4689447,24,13,13067,Cobb,Cobb County,688078,Atlanta Regional Commission,220455,344.4599915,COBB
65,30064,13,67,13067,46076,18704,83011810,82513745,46076,18704,83011810,82513745,688078,286490,892296837,879428364,100,100,100,100,6.7,6.53,9.3,9.38,30064,B5,G6350,S,82529489,477762,33.9404553,-84.6097078,33.9404553,-84.6097078,24,13,13067,Cobb,Cobb County,688078,Atlanta Regional Commission,220455,344.4599915,COBB
66,30066,13,67,13067,52936,20730,71260783,70562915,52936,20730,71260783,70562915,688078,286490,892296837,879428364,100,100,100,100,7.69,7.24,7.99,8.02,30066,B5,G6350,S,70584109,676116,34.0323882,-84.5051537,34.0323882,-84.5051537,24,13,13067,Cobb,Cobb County,688078,Atlanta Regional Commission,220455,344.4599915,COBB
67,30067,13,67,13067,45182,22586,39053545,38344887,45182,22586,39053545,38344887,688078,286490,892296837,879428364,100,100,100,100,6.57,7.88,4.38,4.36,30067,B5,G6350,S,38350391,704446,33.934278,-84.4621855,33.934278,-84.4621855,24,13,13067,Cobb,Cobb County,688078,Atlanta Regional Commission,220455,344.4599915,COBB
68,30068,13,67,13067,31595,12628,38189041,37119955,31595,12628,38189041,37119955,688078,286490,892296837,879428364,100,100,100,100,4.59,4.41,4.28,4.22,30068,B5,G6350,S,37139238,1047387,33.9681158,-84.4317035,33.9681158,-84.4317035,24,13,13067,Cobb,Cobb County,688078,Atlanta Regional Commission,220455,344.4599915,COBB
69,30070,13,217,13217,342,181,160149,160149,342,181,160149,160149,99958,38342,723119276,704894510,100,100,100,100,0.34,0.47,0.02,0.02,30070,B5,G6350,S,160146,0,33.574432,-83.8947015,33.574432,-83.8947015,70,13,13217,Newton,Newton County,99958,Northeast Georgia,178654,279.1470032,NEWTON
70,30071,13,135,13135,23005,8121,31065459,30949118,23005,8121,31065459,30949118,805321,291547,1131242872,1114687261,100,100,100,100,2.86,2.79,2.75,2.78,30071,B5,G6350,S,30943833,116341,33.940652,-84.2067337,33.940652,-84.2067337,72,13,13135,Gwinnett,Gwinnett County,805321,Atlanta Regional Commission,279481,436.6889954,GWINNETT
71,30072,13,89,13089,730,425,572869,529078,730,425,572869,529078,691893,304968,702254121,693033963,100,100,100,100,0.11,0.14,0.08,0.08,30072,B5,G6350,S,509730,43791,33.7914096,-84.2048436,33.7914096,-84.2048436,138,13,13089,DeKalb,DeKalb County,691893,Atlanta Regional Commission,173496,271.0870056,DEKALB
72,30075,13,57,13057,502,176,1211610,1194478,52573,20753,79408585,77240837,214346,82360,1125104307,1092129613,0.95,0.85,1.53,1.55,0.23,0.21,0.11,0.11,30075,B5,G6350,S,77254001,2158645,34.0526905,-84.3915821,34.0526905,-84.3915821,146,13,13057,Cherokee,Cherokee County,214346,Atlanta Regional Commission,277969,434.3259888,CHEROKEE
73,30075,13,67,13067,11223,3937,11532345,11190881,52573,20753,79408585,77240837,688078,286490,892296837,879428364,21.35,18.97,14.52,14.49,1.63,1.37,1.29,1.27,30075,B5,G6350,S,77254001,2158645,34.0526905,-84.3915821,34.0526905,-84.3915821,24,13,13067,Cobb,Cobb County,688078,Atlanta Regional Commission,220455,344.4599915,COBB
74,30075,13,121,13121,40848,16640,66664630,64855478,52573,20753,79408585,77240837,920581,437105,1383894532,1363977166,77.7,80.18,83.95,83.97,4.44,3.81,4.82,4.75,30075,B5,G6350,S,77254001,2158645,34.0526905,-84.3915821,34.0526905,-84.3915821,90,13,13121,Fulton,Fulton County,920581,Atlanta Regional Commission,341906,534.2290039,FULTON
