,OBJECTID,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,totpop10,Reg_Comm,Acres,Sq_Miles,Label,lat,lon
104,109,13,87,13087,Decatur,Decatur County,27842,Southwest Georgia,398763,623.0670166,DECATUR,-84.57907427,30.87834993
105,110,13,187,13187,Lumpkin,Lumpkin County,29966,Georgia Mountains,181850,284.1409912,LUMPKIN,-84.00265435,34.57219253
106,111,13,47,13047,Catoosa,Catoosa County,63942,Northwest Georgia,103974,162.4589996,CATOOSA,-85.13825143,34.90366404
107,112,13,31,13031,Bulloch,Bulloch County,70217,Coastal Regional Commission,441197,689.3709717,BULLOCH,-81.74318518,32.39682021
108,113,13,165,13165,Jenkins,Jenkins County,8340,Central Savannah River Area,225774,352.7720032,JENKINS,-81.96353554,32.79247737
109,114,13,141,13141,Hancock,Hancock County,9429,Central Savannah River Area,306383,478.7229919,HANCOCK,-83.00100181,33.27025029
110,115,13,293,13293,Upson,Upson County,27153,Three Rivers,209593,327.4890137,UPSON,-84.29934767,32.88127631
111,116,13,95,13095,Dougherty,Dougherty County,94565,Southwest Georgia,214122,334.5660095,DOUGHERTY,-84.21626022,31.53339633
112,117,13,215,13215,Muscogee,Muscogee County,189885,River Valley,141431,220.9859924,MUSCOGEE,-84.87704534,32.50996764
113,118,13,61,13061,Clay,Clay County,3183,River Valley,139024,217.2250061,CLAY,-84.98010721,31.6262815
114,119,13,197,13197,Marion,Marion County,8742,River Valley,235146,367.4159851,MARION,-84.52464205,32.35338431
115,120,13,97,13097,Douglas,Douglas County,132403,Atlanta Regional Commission,128641,201.0010071,DOUGLAS,-84.76793082,33.70182791
116,121,13,77,13077,Coweta,Coweta County,127317,Three Rivers,285287,445.7609863,COWETA,-84.76337023,33.35346272
117,122,13,259,13259,Stewart,Stewart County,6058,River Valley,296681,463.5650024,STEWART,-84.83520675,32.07846835
118,123,13,149,13149,Heard,Heard County,11834,Three Rivers,192700,301.0929871,HEARD,-85.12827476,33.29703469
119,124,13,319,13319,Wilkinson,Wilkinson County,9563,Middle Georgia,289252,451.9559937,WILKINSON,-83.17125286,32.80241179
120,125,13,309,13309,Wheeler,Wheeler County,7421,Heart of Georgia Altamaha,192221,300.3450012,WHEELER,-82.72459692,32.11707139
121,126,13,191,13191,McIntosh,McIntosh County,14333,Coastal Regional Commission,367856,574.7750244,MCINTOSH,-81.37556959,31.48381224
122,127,13,321,13321,Worth,Worth County,21679,Southwest Georgia,367777,574.6519775,WORTH,-83.85087962,31.55151765
123,128,13,35,13035,Butts,Butts County,23655,Three Rivers,120323,188.0050049,BUTTS,-83.95717353,33.28785709
124,129,13,159,13159,Jasper,Jasper County,13900,Northeast Georgia,238981,373.4070129,JASPER,-83.68809354,33.31643997
125,130,13,193,13193,Macon,Macon County,14740,River Valley,259783,405.9110107,MACON,-84.04248366,32.35839541
126,131,13,145,13145,Harris,Harris County,32024,River Valley,302667,472.9179993,HARRIS,-84.90899238,32.73601038
127,132,13,277,13277,Tift,Tift County,40118,Southern Georgia,172006,268.7590027,TIFT,-83.52659815,31.45744381
128,133,13,161,13161,Jeff Davis,Jeff Davis County,15068,Heart of Georgia Altamaha,214723,335.5039978,JEFF DAVIS,-82.63694449,31.80560184
129,134,13,257,13257,Stephens,Stephens County,26175,Georgia Mountains,117881,184.1900024,STEPHENS,-83.29343707,34.5539505
130,135,13,71,13071,Colquitt,Colquitt County,45498,Southwest Georgia,356190,556.5479736,COLQUITT,-83.76885217,31.18839637
131,136,13,283,13283,Treutlen,Treutlen County,6885,Heart of Georgia Altamaha,129614,202.5220032,TREUTLEN,-82.56728438,32.40388767
132,137,13,189,13189,McDuffie,McDuffie County,21875,Central Savannah River Area,170557,266.4949951,MCDUFFIE,-82.48137123,33.48285883
133,138,13,89,13089,DeKalb,DeKalb County,691893,Atlanta Regional Commission,173496,271.0870056,DEKALB,-84.22641196,33.771535
134,139,13,115,13115,Floyd,Floyd County,96317,Northwest Georgia,331827,518.4799805,FLOYD,-85.21428313,34.26316921
135,140,13,237,13237,Putnam,Putnam County,21218,Middle Georgia,230824,360.6619873,PUTNAM,-83.37284524,33.32177374
136,141,13,273,13273,Terrell,Terrell County,9315,Southwest Georgia,216090,337.6400147,TERRELL,-84.43692634,31.77688694
137,142,13,267,13267,Tattnall,Tattnall County,25520,Heart of Georgia Altamaha,312786,488.7279968,TATTNALL,-82.05817937,32.04575457
138,143,13,79,13079,Crawford,Crawford County,12630,Middle Georgia,208890,326.3900147,CRAWFORD,-83.98634639,32.71450789
139,144,13,183,13183,Long,Long County,14464,Coastal Regional Commission,258724,404.256012,LONG,-81.74577053,31.75259074
140,145,13,147,13147,Hart,Hart County,25213,Georgia Mountains,164463,256.9729919,HART,-82.96425142,34.35090495
141,146,13,57,13057,Cherokee,Cherokee County,214346,Atlanta Regional Commission,277969,434.3259888,CHEROKEE,-84.47620428,34.24393963
142,147,13,53,13053,Chattahoochee,Chattahoochee County,11267,River Valley,160727,251.1360016,CHATTAHOOCHEE,-84.78705382,32.34697774
143,148,13,209,13209,Montgomery,Montgomery County,9123,Heart of Georgia Altamaha,156663,244.7859955,MONTGOMERY,-82.5348211,32.1733697
144,151,13,17,13017,Ben Hill,Ben Hill County,17634,Southern Georgia,162500,253.9060059,BEN HILL,-83.22046274,31.759788
145,153,13,11,13011,Banks,Banks County,18395,Georgia Mountains,149671,233.8609924,BANKS,-83.49737571,34.35414012
146,154,13,223,13223,Paulding,Paulding County,142324,Northwest Georgia,201159,314.3110046,PAULDING,-84.86729283,33.92055201
147,155,13,131,13131,Grady,Grady County,25011,Southwest Georgia,294510,460.17099,GRADY,-84.23443036,30.87467866
148,156,13,129,13129,Gordon,Gordon County,55186,Northwest Georgia,229125,358.0079956,GORDON,-84.87575728,34.5033656
149,157,13,157,13157,Jackson,Jackson County,60485,Northeast Georgia,219556,343.0559998,JACKSON,-83.56635203,34.13388928
150,158,13,313,13313,Whitfield,Whitfield County,102599,Northwest Georgia,186262,291.0339966,WHITFIELD,-84.96722506,34.80561819
151,159,13,137,13137,Habersham,Habersham County,43041,Georgia Mountains,178555,278.9920044,HABERSHAM,-83.53111989,34.63102788
152,20,13,45,13045,Carroll,Carroll County,110527,Three Rivers,322447,503.8240051,CARROLL,-85.07974691,33.58282288
153,57,13,85,13085,Dawson,Dawson County,22330,Georgia Mountains,137194,214.3650055,DAWSON,-84.17063998,34.4443047
154,59,13,15,13015,Bartow,Bartow County,100157,Northwest Georgia,300840,470.0629883,BARTOW,-84.84050332,34.23786156
155,101,13,139,13139,Hall,Hall County,179684,Georgia Mountains,274700,429.2189941,HALL,-83.81968515,34.31689559
156,106,13,255,13255,Spalding,Spalding County,64073,Three Rivers,127712,199.5509949,SPALDING,-84.28416371,33.26087482
157,149,13,297,13297,Walton,Walton County,83768,Northeast Georgia,211166,329.9460144,WALTON,-83.73385064,33.7815636
158,150,13,231,13231,Pike,Pike County,17869,Three Rivers,140392,219.3630066,PIKE,-84.38923882,33.09227156
159,152,13,13,13013,Barrow,Barrow County,69367,Northeast Georgia,104266,162.9149933,BARROW,-83.71276662,33.99320241
