,state,county,id,abvr
158,Arkansas,Monroe County,05095,AR
159,Arkansas,Montgomery County,05097,AR
160,Arkansas,Nevada County,05099,AR
161,Arkansas,Newton County,05101,AR
162,Arkansas,Ouachita County,05103,AR
163,Arkansas,Perry County,05105,AR
164,Arkansas,Phillips County,05107,AR
165,Arkansas,Pike County,05109,AR
166,Arkansas,Poinsett County,05111,AR
167,Arkansas,Polk County,05113,AR
168,Arkansas,Pope County,05115,AR
169,Arkansas,Prairie County,05117,AR
170,Arkansas,Pulaski County,05119,AR
171,Arkansas,Randolph County,05121,AR
172,Arkansas,St. Francis County,05123,AR
173,Arkansas,Saline County,05125,AR
174,Arkansas,Scott County,05127,AR
175,Arkansas,Searcy County,05129,AR
176,Arkansas,Sebastian County,05131,AR
177,Arkansas,Sevier County,05133,AR
178,Arkansas,Sharp County,05135,AR
179,Arkansas,Stone County,05137,AR
180,Arkansas,Union County,05139,AR
181,Arkansas,Van Buren County,05141,AR
182,Arkansas,Washington County,05143,AR
183,Arkansas,White County,05145,AR
184,Arkansas,Woodruff County,05147,AR
185,Arkansas,Yell County,05149,AR
186,California,Alameda County,06001,CA
187,California,Alpine County,06003,CA
188,California,Amador County,06005,CA
189,California,Butte County,06007,CA
190,California,Calaveras County,06009,CA
191,California,Colusa County,06011,CA
192,California,Contra Costa County,06013,CA
193,California,Del Norte County,06015,CA
194,California,El Dorado County,06017,CA
195,California,Fresno County,06019,CA
196,California,Glenn County,06021,CA
197,California,Humboldt County,06023,CA
198,California,Imperial County,06025,CA
199,California,Inyo County,06027,CA
200,California,Kern County,06029,CA
201,California,Kings County,06031,CA
202,California,Lake County,06033,CA
203,California,Lassen County,06035,CA
204,California,Los Angeles County,06037,CA
205,California,Madera County,06039,CA
206,California,Marin County,06041,CA
207,California,Mariposa County,06043,CA
208,California,Mendocino County,06045,CA
209,California,Merced County,06047,CA
210,California,Modoc County,06049,CA
211,California,Mono County,06051,CA
212,California,Monterey County,06053,CA
213,California,Napa County,06055,CA
214,California,Nevada County,06057,CA
215,California,Orange County,06059,CA
216,California,Placer County,06061,CA
217,California,Plumas County,06063,CA
218,California,Riverside County,06065,CA
219,California,Sacramento County,06067,CA
220,California,San Benito County,06069,CA
221,California,San Bernardino County,06071,CA
222,California,San Diego County,06073,CA
223,California,San Francisco County,06075,CA
224,California,San Joaquin County,06077,CA
225,California,San Luis Obispo County,06079,CA
226,California,San Mateo County,06081,CA
227,California,Santa Barbara County,06083,CA
228,California,Santa Clara County,06085,CA
229,California,Santa Cruz County,06087,CA
230,California,Shasta County,06089,CA
231,California,Sierra County,06091,CA
232,California,Siskiyou County,06093,CA
233,California,Solano County,06095,CA
234,California,Sonoma County,06097,CA
235,California,Stanislaus County,06099,CA
236,California,Sutter County,06101,CA
237,California,Tehama County,06103,CA
238,California,Trinity County,06105,CA
239,California,Tulare County,06107,CA
240,California,Tuolumne County,06109,CA
241,California,Ventura County,06111,CA
242,California,Yolo County,06113,CA
243,California,Yuba County,06115,CA
244,Colorado,Adams County,08001,CO
245,Colorado,Alamosa County,08003,CO
246,Colorado,Arapahoe County,08005,CO
247,Colorado,Archuleta County,08007,CO
248,Colorado,Baca County,08009,CO
249,Colorado,Bent County,08011,CO
250,Colorado,Boulder County,08013,CO
251,Colorado,Broomfield County,08014,CO
252,Colorado,Chaffee County,08015,CO
253,Colorado,Cheyenne County,08017,CO
254,Colorado,Clear Creek County,08019,CO
255,Colorado,Conejos County,08021,CO
256,Colorado,Costilla County,08023,CO
257,Colorado,Crowley County,08025,CO
258,Colorado,Custer County,08027,CO
259,Colorado,Delta County,08029,CO
260,Colorado,Denver County,08031,CO
261,Colorado,Dolores County,08033,CO
262,Colorado,Douglas County,08035,CO
263,Colorado,Eagle County,08037,CO
264,Colorado,Elbert County,08039,CO
265,Colorado,El Paso County,08041,CO
266,Colorado,Fremont County,08043,CO
267,Colorado,Garfield County,08045,CO
268,Colorado,Gilpin County,08047,CO
269,Colorado,Grand County,08049,CO
270,Colorado,Gunnison County,08051,CO
271,Colorado,Hinsdale County,08053,CO
272,Colorado,Huerfano County,08055,CO
273,Colorado,Jackson County,08057,CO
274,Colorado,Jefferson County,08059,CO
275,Colorado,Kiowa County,08061,CO
276,Colorado,Kit Carson County,08063,CO
277,Colorado,Lake County,08065,CO
278,Colorado,La Plata County,08067,CO
279,Colorado,Larimer County,08069,CO
280,Colorado,Las Animas County,08071,CO
281,Colorado,Lincoln County,08073,CO
282,Colorado,Logan County,08075,CO
283,Colorado,Mesa County,08077,CO
284,Colorado,Mineral County,08079,CO
285,Colorado,Moffat County,08081,CO
286,Colorado,Montezuma County,08083,CO
287,Colorado,Montrose County,08085,CO
288,Colorado,Morgan County,08087,CO
289,Colorado,Otero County,08089,CO
290,Colorado,Ouray County,08091,CO
291,Colorado,Park County,08093,CO
292,Colorado,Phillips County,08095,CO
293,Colorado,Pitkin County,08097,CO
294,Colorado,Prowers County,08099,CO
295,Colorado,Pueblo County,08101,CO
296,Colorado,Rio Blanco County,08103,CO
297,Colorado,Rio Grande County,08105,CO
298,Colorado,Routt County,08107,CO
299,Colorado,Saguache County,08109,CO
300,Colorado,San Juan County,08111,CO
301,Colorado,San Miguel County,08113,CO
302,Colorado,Sedgwick County,08115,CO
303,Colorado,Summit County,08117,CO
304,Colorado,Teller County,08119,CO
305,Colorado,Washington County,08121,CO
306,Colorado,Weld County,08123,CO
307,Colorado,Yuma County,08125,CO
308,Connecticut,Fairfield County,09001,CT
309,Connecticut,Hartford County,09003,CT
310,Connecticut,Litchfield County,09005,CT
311,Connecticut,Middlesex County,09007,CT
312,Connecticut,New Haven County,09009,CT
313,Connecticut,New London County,09011,CT
314,Connecticut,Tolland County,09013,CT
315,Connecticut,Windham County,09015,CT
316,Delaware,Kent County,10001,DE
317,Delaware,New Castle County,10003,DE
318,Delaware,Sussex County,10005,DE
319,Florida,Alachua County,12001,FL
320,Florida,Baker County,12003,FL
321,Florida,Bay County,12005,FL
322,Florida,Bradford County,12007,FL
323,Florida,Brevard County,12009,FL
324,Florida,Broward County,12011,FL
325,Florida,Calhoun County,12013,FL
326,Florida,Charlotte County,12015,FL
327,Florida,Citrus County,12017,FL
328,Florida,Clay County,12019,FL
329,Florida,Collier County,12021,FL
330,Florida,Columbia County,12023,FL
331,Florida,DeSoto County,12027,FL
332,Florida,Dixie County,12029,FL
333,Florida,Duval County,12031,FL
334,Florida,Escambia County,12033,FL
335,Florida,Flagler County,12035,FL
336,Florida,Franklin County,12037,FL
337,Florida,Gadsden County,12039,FL
338,Florida,Gilchrist County,12041,FL
339,Florida,Glades County,12043,FL
340,Florida,Gulf County,12045,FL
341,Florida,Hamilton County,12047,FL
342,Florida,Hardee County,12049,FL
343,Florida,Hendry County,12051,FL
344,Florida,Hernando County,12053,FL
345,Florida,Highlands County,12055,FL
346,Florida,Hillsborough County,12057,FL
347,Florida,Holmes County,12059,FL
348,Florida,Indian River County,12061,FL
349,Florida,Jackson County,12063,FL
350,Florida,Jefferson County,12065,FL
351,Florida,Lafayette County,12067,FL
352,Florida,Lake County,12069,FL
353,Florida,Lee County,12071,FL
354,Florida,Leon County,12073,FL
355,Florida,Levy County,12075,FL
356,Florida,Liberty County,12077,FL
357,Florida,Madison County,12079,FL
358,Florida,Manatee County,12081,FL
359,Florida,Marion County,12083,FL
360,Florida,Martin County,12085,FL
361,Florida,Miami-Dade County,12086,FL
362,Florida,Monroe County,12087,FL
363,Florida,Nassau County,12089,FL
364,Florida,Okaloosa County,12091,FL
365,Florida,Okeechobee County,12093,FL
366,Florida,Orange County,12095,FL
367,Florida,Osceola County,12097,FL
368,Florida,Palm Beach County,12099,FL
369,Florida,Pasco County,12101,FL
370,Florida,Pinellas County,12103,FL
371,Florida,Polk County,12105,FL
372,Florida,Putnam County,12107,FL
373,Florida,St. Johns County,12109,FL
374,Florida,St. Lucie County,12111,FL
375,Florida,Santa Rosa County,12113,FL
376,Florida,Sarasota County,12115,FL
377,Florida,Seminole County,12117,FL
378,Florida,Sumter County,12119,FL
379,Florida,Suwannee County,12121,FL
380,Florida,Taylor County,12123,FL
381,Florida,Union County,12125,FL
382,Florida,Volusia County,12127,FL
383,Florida,Wakulla County,12129,FL
384,Florida,Walton County,12131,FL
385,Florida,Washington County,12133,FL
386,Georgia,Appling County,13001,GA
387,Georgia,Atkinson County,13003,GA
388,Georgia,Bacon County,13005,GA
389,Georgia,Baker County,13007,GA
390,Georgia,Baldwin County,13009,GA
391,Georgia,Banks County,13011,GA
392,Georgia,Barrow County,13013,GA
393,Georgia,Bartow County,13015,GA
394,Georgia,Ben Hill County,13017,GA
395,Georgia,Berrien County,13019,GA
396,Georgia,Bibb County,13021,GA
397,Georgia,Bleckley County,13023,GA
398,Georgia,Brantley County,13025,GA
399,Georgia,Brooks County,13027,GA
400,Georgia,Bryan County,13029,GA
401,Georgia,Bulloch County,13031,GA
402,Georgia,Burke County,13033,GA
403,Georgia,Butts County,13035,GA
404,Georgia,Calhoun County,13037,GA
405,Georgia,Camden County,13039,GA
406,Georgia,Candler County,13043,GA
407,Georgia,Carroll County,13045,GA
408,Georgia,Catoosa County,13047,GA
409,Georgia,Charlton County,13049,GA
410,Georgia,Chatham County,13051,GA
411,Georgia,Chattahoochee County,13053,GA
412,Georgia,Chattooga County,13055,GA
413,Georgia,Cherokee County,13057,GA
414,Georgia,Clarke County,13059,GA
415,Georgia,Clay County,13061,GA
416,Georgia,Clayton County,13063,GA
417,Georgia,Clinch County,13065,GA
418,Georgia,Cobb County,13067,GA
419,Georgia,Coffee County,13069,GA
420,Georgia,Colquitt County,13071,GA
421,Georgia,Columbia County,13073,GA
422,Georgia,Cook County,13075,GA
423,Georgia,Coweta County,13077,GA
424,Georgia,Crawford County,13079,GA
425,Georgia,Crisp County,13081,GA
426,Georgia,Dade County,13083,GA
427,Georgia,Dawson County,13085,GA
428,Georgia,Decatur County,13087,GA
429,Georgia,DeKalb County,13089,GA
430,Georgia,Dodge County,13091,GA
431,Georgia,Dooly County,13093,GA
432,Georgia,Dougherty County,13095,GA
433,Georgia,Douglas County,13097,GA
434,Georgia,Early County,13099,GA
435,Georgia,Echols County,13101,GA
436,Georgia,Effingham County,13103,GA
437,Georgia,Elbert County,13105,GA
438,Georgia,Emanuel County,13107,GA
439,Georgia,Evans County,13109,GA
440,Georgia,Fannin County,13111,GA
441,Georgia,Fayette County,13113,GA
442,Georgia,Floyd County,13115,GA
443,Georgia,Forsyth County,13117,GA
444,Georgia,Franklin County,13119,GA
445,Georgia,Fulton County,13121,GA
446,Georgia,Gilmer County,13123,GA
447,Georgia,Glascock County,13125,GA
448,Georgia,Glynn County,13127,GA
449,Georgia,Gordon County,13129,GA
450,Georgia,Grady County,13131,GA
451,Georgia,Greene County,13133,GA
452,Georgia,Gwinnett County,13135,GA
453,Georgia,Habersham County,13137,GA
454,Georgia,Hall County,13139,GA
455,Georgia,Hancock County,13141,GA
456,Georgia,Haralson County,13143,GA
457,Georgia,Harris County,13145,GA
458,Georgia,Hart County,13147,GA
459,Georgia,Heard County,13149,GA
460,Georgia,Henry County,13151,GA
461,Georgia,Houston County,13153,GA
462,Georgia,Irwin County,13155,GA
463,Georgia,Jackson County,13157,GA
464,Georgia,Jasper County,13159,GA
465,Georgia,Jeff Davis County,13161,GA
466,Georgia,Jefferson County,13163,GA
467,Georgia,Jenkins County,13165,GA
468,Georgia,Johnson County,13167,GA
469,Georgia,Jones County,13169,GA
470,Georgia,Lamar County,13171,GA
471,Georgia,Lanier County,13173,GA
472,Georgia,Laurens County,13175,GA
473,Georgia,Lee County,13177,GA
474,Georgia,Liberty County,13179,GA
475,Georgia,Lincoln County,13181,GA
476,Georgia,Long County,13183,GA
477,Georgia,Lowndes County,13185,GA
478,Georgia,Lumpkin County,13187,GA
479,Georgia,McDuffie County,13189,GA
480,Georgia,McIntosh County,13191,GA
481,Georgia,Macon County,13193,GA
482,Georgia,Madison County,13195,GA
483,Georgia,Marion County,13197,GA
484,Georgia,Meriwether County,13199,GA
485,Georgia,Miller County,13201,GA
486,Georgia,Mitchell County,13205,GA
487,Georgia,Monroe County,13207,GA
488,Georgia,Montgomery County,13209,GA
489,Georgia,Morgan County,13211,GA
490,Georgia,Murray County,13213,GA
491,Georgia,Muscogee County,13215,GA
492,Georgia,Newton County,13217,GA
493,Georgia,Oconee County,13219,GA
494,Georgia,Oglethorpe County,13221,GA
495,Georgia,Paulding County,13223,GA
496,Georgia,Peach County,13225,GA
497,Georgia,Pickens County,13227,GA
498,Georgia,Pierce County,13229,GA
499,Georgia,Pike County,13231,GA
500,Georgia,Polk County,13233,GA
501,Georgia,Pulaski County,13235,GA
502,Georgia,Putnam County,13237,GA
503,Georgia,Quitman County,13239,GA
504,Georgia,Rabun County,13241,GA
505,Georgia,Randolph County,13243,GA
506,Georgia,Richmond County,13245,GA
507,Georgia,Rockdale County,13247,GA
508,Georgia,Schley County,13249,GA
509,Georgia,Screven County,13251,GA
510,Georgia,Seminole County,13253,GA
511,Georgia,Spalding County,13255,GA
512,Georgia,Stephens County,13257,GA
513,Georgia,Stewart County,13259,GA
514,Georgia,Sumter County,13261,GA
515,Georgia,Talbot County,13263,GA
516,Georgia,Taliaferro County,13265,GA
517,Georgia,Tattnall County,13267,GA
518,Georgia,Taylor County,13269,GA
519,Georgia,Telfair County,13271,GA
520,Georgia,Terrell County,13273,GA
521,Georgia,Thomas County,13275,GA
522,Georgia,Tift County,13277,GA
523,Georgia,Toombs County,13279,GA
524,Georgia,Towns County,13281,GA
525,Georgia,Treutlen County,13283,GA
526,Georgia,Troup County,13285,GA
527,Georgia,Turner County,13287,GA
528,Georgia,Twiggs County,13289,GA
529,Georgia,Union County,13291,GA
530,Georgia,Upson County,13293,GA
531,Georgia,Walker County,13295,GA
532,Georgia,Walton County,13297,GA
533,Georgia,Ware County,13299,GA
534,Georgia,Warren County,13301,GA
535,Georgia,Washington County,13303,GA
536,Georgia,Wayne County,13305,GA
537,Georgia,Webster County,13307,GA
538,Georgia,Wheeler County,13309,GA
539,Georgia,White County,13311,GA
540,Georgia,Whitfield County,13313,GA
541,Georgia,Wilcox County,13315,GA
542,Georgia,Wilkes County,13317,GA
543,Georgia,Wilkinson County,13319,GA
544,Georgia,Worth County,13321,GA
545,Hawaii,Hawaii County,15001,HI
546,Hawaii,Honolulu County,15003,HI
547,Hawaii,Kalawao County,15005,HI
548,Hawaii,Kauai County,15007,HI
549,Hawaii,Maui County,15009,HI
550,Idaho,Ada County,16001,ID
551,Idaho,Adams County,16003,ID
552,Idaho,Bannock County,16005,ID
553,Idaho,Bear Lake County,16007,ID
554,Idaho,Benewah County,16009,ID
555,Idaho,Bingham County,16011,ID
556,Idaho,Blaine County,16013,ID
557,Idaho,Boise County,16015,ID
558,Idaho,Bonner County,16017,ID
559,Idaho,Bonneville County,16019,ID
560,Idaho,Boundary County,16021,ID
561,Idaho,Butte County,16023,ID
562,Idaho,Camas County,16025,ID
563,Idaho,Canyon County,16027,ID
564,Idaho,Caribou County,16029,ID
565,Idaho,Cassia County,16031,ID
566,Idaho,Clark County,16033,ID
567,Idaho,Clearwater County,16035,ID
568,Idaho,Custer County,16037,ID
569,Idaho,Elmore County,16039,ID
570,Idaho,Franklin County,16041,ID
571,Idaho,Fremont County,16043,ID
572,Idaho,Gem County,16045,ID
573,Idaho,Gooding County,16047,ID
574,Idaho,Idaho County,16049,ID
575,Idaho,Jefferson County,16051,ID
576,Idaho,Jerome County,16053,ID
577,Idaho,Kootenai County,16055,ID
578,Idaho,Latah County,16057,ID
579,Idaho,Lemhi County,16059,ID
580,Idaho,Lewis County,16061,ID
581,Idaho,Lincoln County,16063,ID
582,Idaho,Madison County,16065,ID
583,Idaho,Minidoka County,16067,ID
584,Idaho,Nez Perce County,16069,ID
585,Idaho,Oneida County,16071,ID
586,Idaho,Owyhee County,16073,ID
587,Idaho,Payette County,16075,ID
588,Idaho,Power County,16077,ID
589,Idaho,Shoshone County,16079,ID
590,Idaho,Teton County,16081,ID
591,Idaho,Twin Falls County,16083,ID
592,Idaho,Valley County,16085,ID
593,Idaho,Washington County,16087,ID
594,Illinois,Adams County,17001,IL
595,Illinois,Alexander County,17003,IL
596,Illinois,Bond County,17005,IL
597,Illinois,Boone County,17007,IL
598,Illinois,Brown County,17009,IL
599,Illinois,Bureau County,17011,IL
600,Illinois,Calhoun County,17013,IL
601,Illinois,Carroll County,17015,IL
602,Illinois,Cass County,17017,IL
603,Illinois,Champaign County,17019,IL
604,Illinois,Christian County,17021,IL
605,Illinois,Clark County,17023,IL
606,Illinois,Clay County,17025,IL
607,Illinois,Clinton County,17027,IL
608,Illinois,Coles County,17029,IL
609,Illinois,Cook County,17031,IL
610,Illinois,Crawford County,17033,IL
611,Illinois,Cumberland County,17035,IL
612,Illinois,DeKalb County,17037,IL
613,Illinois,De Witt County,17039,IL
614,Illinois,Douglas County,17041,IL
615,Illinois,DuPage County,17043,IL
616,Illinois,Edgar County,17045,IL
617,Illinois,Edwards County,17047,IL
618,Illinois,Effingham County,17049,IL
619,Illinois,Fayette County,17051,IL
620,Illinois,Ford County,17053,IL
621,Illinois,Franklin County,17055,IL
622,Illinois,Fulton County,17057,IL
623,Illinois,Gallatin County,17059,IL
624,Illinois,Greene County,17061,IL
625,Illinois,Grundy County,17063,IL
626,Illinois,Hamilton County,17065,IL
627,Illinois,Hancock County,17067,IL
628,Illinois,Hardin County,17069,IL
629,Illinois,Henderson County,17071,IL
630,Illinois,Henry County,17073,IL
631,Illinois,Iroquois County,17075,IL
632,Illinois,Jackson County,17077,IL
633,Illinois,Jasper County,17079,IL
634,Illinois,Jefferson County,17081,IL
635,Illinois,Jersey County,17083,IL
636,Illinois,Jo Daviess County,17085,IL
637,Illinois,Johnson County,17087,IL
638,Illinois,Kane County,17089,IL
639,Illinois,Kankakee County,17091,IL
640,Illinois,Kendall County,17093,IL
641,Illinois,Knox County,17095,IL
642,Illinois,Lake County,17097,IL
643,Illinois,LaSalle County,17099,IL
644,Illinois,Lawrence County,17101,IL
645,Illinois,Lee County,17103,IL
646,Illinois,Livingston County,17105,IL
647,Illinois,Logan County,17107,IL
648,Illinois,McDonough County,17109,IL
649,Illinois,McHenry County,17111,IL
650,Illinois,McLean County,17113,IL
651,Illinois,Macon County,17115,IL
652,Illinois,Macoupin County,17117,IL
653,Illinois,Madison County,17119,IL
654,Illinois,Marion County,17121,IL
655,Illinois,Marshall County,17123,IL
656,Illinois,Mason County,17125,IL
657,Illinois,Massac County,17127,IL
658,Illinois,Menard County,17129,IL
659,Illinois,Mercer County,17131,IL
660,Illinois,Monroe County,17133,IL
661,Illinois,Montgomery County,17135,IL
662,Illinois,Morgan County,17137,IL
663,Illinois,Moultrie County,17139,IL
664,Illinois,Ogle County,17141,IL
665,Illinois,Peoria County,17143,IL
666,Illinois,Perry County,17145,IL
667,Illinois,Piatt County,17147,IL
668,Illinois,Pike County,17149,IL
669,Illinois,Pope County,17151,IL
670,Illinois,Pulaski County,17153,IL
671,Illinois,Putnam County,17155,IL
672,Illinois,Randolph County,17157,IL
673,Illinois,Richland County,17159,IL
674,Illinois,Rock Island County,17161,IL
675,Illinois,St. Clair County,17163,IL
676,Illinois,Saline County,17165,IL
677,Illinois,Sangamon County,17167,IL
678,Illinois,Schuyler County,17169,IL
679,Illinois,Scott County,17171,IL
680,Illinois,Shelby County,17173,IL
681,Illinois,Stark County,17175,IL
682,Illinois,Stephenson County,17177,IL
683,Illinois,Tazewell County,17179,IL
684,Illinois,Union County,17181,IL
685,Illinois,Vermilion County,17183,IL
686,Illinois,Wabash County,17185,IL
687,Illinois,Warren County,17187,IL
688,Illinois,Washington County,17189,IL
689,Illinois,Wayne County,17191,IL
690,Illinois,White County,17193,IL
691,Illinois,Whiteside County,17195,IL
692,Illinois,Will County,17197,IL
693,Illinois,Williamson County,17199,IL
694,Illinois,Winnebago County,17201,IL
695,Illinois,Woodford County,17203,IL
696,Indiana,Adams County,18001,IN
697,Indiana,Allen County,18003,IN
698,Indiana,Bartholomew County,18005,IN
699,Indiana,Benton County,18007,IN
700,Indiana,Blackford County,18009,IN
701,Indiana,Boone County,18011,IN
702,Indiana,Brown County,18013,IN
703,Indiana,Carroll County,18015,IN
704,Indiana,Cass County,18017,IN
705,Indiana,Clark County,18019,IN
706,Indiana,Clay County,18021,IN
707,Indiana,Clinton County,18023,IN
708,Indiana,Crawford County,18025,IN
709,Indiana,Daviess County,18027,IN
710,Indiana,Dearborn County,18029,IN
711,Indiana,Decatur County,18031,IN
712,Indiana,DeKalb County,18033,IN
713,Indiana,Delaware County,18035,IN
714,Indiana,Dubois County,18037,IN
715,Indiana,Elkhart County,18039,IN
716,Indiana,Fayette County,18041,IN
717,Indiana,Floyd County,18043,IN
718,Indiana,Fountain County,18045,IN
719,Indiana,Franklin County,18047,IN
720,Indiana,Fulton County,18049,IN
721,Indiana,Gibson County,18051,IN
722,Indiana,Grant County,18053,IN
723,Indiana,Greene County,18055,IN
724,Indiana,Hamilton County,18057,IN
725,Indiana,Hancock County,18059,IN
726,Indiana,Harrison County,18061,IN
727,Indiana,Hendricks County,18063,IN
728,Indiana,Henry County,18065,IN
729,Indiana,Howard County,18067,IN
730,Indiana,Huntington County,18069,IN
731,Indiana,Jackson County,18071,IN
732,Indiana,Jasper County,18073,IN
