zip,latitude,longitude,StateAbbrev,County,PropertyCrime,ViolentCrime
36436,31.785367,-87.649528,AL,Clarke,91,40
36446,31.792459,-87.719956,AL,Clarke,91,40
36451,31.700517,-87.803568,AL,Clarke,91,40
36482,31.639318,-87.6369,AL,Clarke,91,40
36524,31.802618,-88.010863,AL,Clarke,91,40
36540,31.448949,-87.675843,AL,Clarke,91,40
36545,31.488511,-87.871704,AL,Clarke,91,40
36727,31.910985,-88.03391,AL,Clarke,91,40
36751,31.824299,-87.545748,AL,Clarke,91,40
36784,31.926927,-87.787887,AL,Clarke,91,40
36207,33.689088,-85.718863,AL,Cleburne,136,6
36258,33.477734,-85.717338,AL,Cleburne,136,6
36262,33.806237,-85.479824,AL,Cleburne,136,6
36264,33.596783,-85.551483,AL,Cleburne,136,6
36268,33.494805,-85.929469,AL,Cleburne,136,6
36269,33.739797,-85.383876,AL,Cleburne,136,6
36272,33.942381,-85.595417,AL,Cleburne,136,6
36273,33.545031,-85.378048,AL,Cleburne,136,6
36009,31.594781,-86.301377,AL,Coffee,138,23
36010,31.659784,-85.798444,AL,Coffee,138,23
36034,31.621045,-86.111209,AL,Coffee,138,23
36079,31.766709,-85.998035,AL,Coffee,138,23
36311,31.609777,-85.685655,AL,Coffee,138,23
36316,31.175691,-85.863975,AL,Coffee,138,23
36318,31.169524,-85.950531,AL,Coffee,138,23
36322,31.257605,-85.735807,AL,Coffee,138,23
36323,31.428104,-86.072471,AL,Coffee,138,23
36330,31.305932,-85.864054,AL,Coffee,138,23
36346,31.560574,-85.930086,AL,Coffee,138,23
36351,31.425502,-85.9066,AL,Coffee,138,23
36360,31.467469,-85.61703,AL,Coffee,138,23
36453,31.191678,-86.149163,AL,Coffee,138,23
36467,31.281017,-86.256945,AL,Coffee,138,23
36477,31.097175,-86.061411,AL,Coffee,138,23
35582,34.4868,-88.112899,AL,Colbert,267,58
35616,34.739504,-88.019381,AL,Colbert,267,58
35646,34.677104,-87.523343,AL,Colbert,267,58
35653,34.518191,-87.871965,AL,Colbert,267,58
35654,34.497789,-87.632269,AL,Colbert,267,58
35660,34.755494,-87.701265,AL,Colbert,267,58
35661,34.768526,-87.562802,AL,Colbert,267,58
35672,34.648533,-87.406487,AL,Colbert,267,58
35674,34.66241,-87.781902,AL,Colbert,267,58
35010,32.916719,-85.940589,AL,Coosa,157,25
35046,32.931141,-86.534157,AL,Coosa,157,25
35072,33.093506,-86.066929,AL,Coosa,157,25
35089,32.945782,-86.081832,AL,Coosa,157,25
35136,32.879247,-86.286795,AL,Coosa,157,25
35150,33.189306,-86.238384,AL,Coosa,157,25
35151,33.081343,-86.392208,AL,Coosa,157,25
35183,33.016108,-86.35201,AL,Coosa,157,25
36026,32.77548,-86.130993,AL,Coosa,157,25
36080,32.711806,-86.284022,AL,Coosa,157,25
36028,31.495482,-86.39281,AL,Covington,46,4
36038,31.435078,-86.491253,AL,Covington,46,4
36401,31.480653,-86.940722,AL,Covington,46,4
36420,31.177149,-86.551502,AL,Covington,46,4
36421,31.324729,-86.506928,AL,Covington,46,4
36442,31.084458,-86.357041,AL,Covington,46,4
36453,31.191678,-86.149163,AL,Covington,46,4
36455,31.013096,-86.351972,AL,Covington,46,4
36456,31.568405,-86.806151,AL,Covington,46,4
36467,31.281017,-86.256945,AL,Covington,46,4
36474,31.42969,-86.626037,AL,Covington,46,4
36476,31.362361,-86.549731,AL,Covington,46,4
36477,31.097175,-86.061411,AL,Covington,46,4
36483,31.047796,-86.674187,AL,Covington,46,4
35016,34.32387,-86.502006,AL,Cullman,954,73
35019,34.302078,-86.634094,AL,Cullman,954,73
35033,33.926475,-87.031801,AL,Cullman,954,73
35053,34.054155,-87.073701,AL,Cullman,954,73
35055,34.151162,-86.758748,AL,Cullman,954,73
35057,33.969944,-86.944303,AL,Cullman,954,73
35058,34.228856,-86.737261,AL,Cullman,954,73
35070,34.00928,-86.757878,AL,Cullman,954,73
35077,34.021165,-86.832668,AL,Cullman,954,73
35083,34.199871,-86.59917,AL,Cullman,954,73
35087,34.306453,-86.584296,AL,Cullman,954,73
35098,34.121193,-87.046809,AL,Cullman,954,73
35179,34.273307,-86.96897,AL,Cullman,954,73
35540,34.234693,-87.20972,AL,Cullman,954,73
35541,34.081325,-87.174349,AL,Cullman,954,73
35619,34.382723,-87.152105,AL,Cullman,954,73
35621,34.348973,-86.729536,AL,Cullman,954,73
35622,34.34659,-86.898961,AL,Cullman,954,73
35670,34.455176,-86.729344,AL,Cullman,954,73
35976,34.345767,-86.330025,AL,Cullman,954,73
36010,31.659784,-85.798444,AL,Dale,194,44
36303,31.266568,-85.401317,AL,Dale,194,44
36311,31.609777,-85.685655,AL,Dale,194,44
36317,31.643557,-85.404255,AL,Dale,194,44
36322,31.257605,-85.735807,AL,Dale,194,44
36330,31.305932,-85.864054,AL,Dale,194,44
36345,31.366306,-85.310372,AL,Dale,194,44
36350,31.350214,-85.495521,AL,Dale,194,44
36352,31.264999,-85.609699,AL,Dale,194,44
36353,31.47853,-85.348626,AL,Dale,194,44
36360,31.467469,-85.61703,AL,Dale,194,44
36362,31.350932,-85.679787,AL,Dale,194,44
36371,31.31242,-85.551996,AL,Dale,194,44
36374,31.578737,-85.49369,AL,Dale,194,44
36701,32.483972,-87.054642,AL,Dallas,501,109
36703,32.427349,-86.912858,AL,Dallas,501,109
36749,32.550967,-86.849827,AL,Dallas,501,109
36758,32.638892,-86.88991,AL,Dallas,501,109
36759,32.416752,-87.277593,AL,Dallas,501,109
36761,32.106169,-86.978039,AL,Dallas,501,109
36767,32.259288,-87.191091,AL,Dallas,501,109
36773,32.258944,-87.357531,AL,Dallas,501,109
36775,32.229409,-87.109852,AL,Dallas,501,109
36785,32.260516,-86.84581,AL,Dallas,501,109
35010,32.916719,-85.940589,AL,Elmore,757,60
35136,32.879247,-86.286795,AL,Elmore,757,60
36020,32.479919,-86.323047,AL,Elmore,757,60
36022,32.623495,-86.405573,AL,Elmore,757,60
36024,32.671798,-86.025021,AL,Elmore,757,60
36025,32.544457,-86.324973,AL,Elmore,757,60
36026,32.77548,-86.130993,AL,Elmore,757,60
36051,32.685457,-86.50002,AL,Elmore,757,60
36054,32.481879,-86.366311,AL,Elmore,757,60
36066,32.4797,-86.42401,AL,Elmore,757,60
36067,32.516518,-86.561483,AL,Elmore,757,60
36078,32.546979,-85.942735,AL,Elmore,757,60
36080,32.711806,-86.284022,AL,Elmore,757,60
36092,32.617657,-86.200531,AL,Elmore,757,60
36093,32.494564,-86.133634,AL,Elmore,757,60
35121,33.941185,-86.455102,AL,Etowah,526,104
35901,34.047586,-85.933265,AL,Etowah,526,104
35903,34.02427,-85.863703,AL,Etowah,526,104
35904,34.07056,-85.990098,AL,Etowah,526,104
35905,33.856532,-85.912603,AL,Etowah,526,104
35906,33.927149,-86.095113,AL,Etowah,526,104
35907,33.890841,-86.01802,AL,Etowah,526,104
35952,34.052385,-86.310738,AL,Etowah,526,104
35954,34.089754,-86.057449,AL,Etowah,526,104
35956,34.146146,-86.146749,AL,Etowah,526,104
35957,34.196159,-86.196898,AL,Etowah,526,104
35961,34.303952,-85.846214,AL,Etowah,526,104
35972,33.993999,-86.24687,AL,Etowah,526,104
35990,34.06778,-86.304688,AL,Etowah,526,104
36271,33.78123,-86.01869,AL,Etowah,526,104
36272,33.942381,-85.595417,AL,Etowah,526,104
35564,34.258833,-87.84526,AL,Franklin,291,30
35565,34.23696,-87.563402,AL,Franklin,291,30
35571,34.368708,-87.944108,AL,Franklin,291,30
35581,34.359912,-87.713097,AL,Franklin,291,30
35582,34.4868,-88.112899,AL,Franklin,291,30
35585,34.420835,-87.832483,AL,Franklin,291,30
35593,34.339101,-88.095624,AL,Franklin,291,30
35616,34.739504,-88.019381,AL,Franklin,291,30
35651,34.469857,-87.495702,AL,Franklin,291,30
35653,34.518191,-87.871965,AL,Franklin,291,30
35654,34.497789,-87.632269,AL,Franklin,291,30
35674,34.66241,-87.781902,AL,Franklin,291,30
36301,31.140065,-85.398289,AL,Geneva,227,58
36305,31.204572,-85.496004,AL,Geneva,227,58
36313,31.178568,-85.793952,AL,Geneva,227,58
36314,31.018937,-85.772824,AL,Geneva,227,58
36316,31.175691,-85.863975,AL,Geneva,227,58
36318,31.169524,-85.950531,AL,Geneva,227,58
36322,31.257605,-85.735807,AL,Geneva,227,58
36340,31.051927,-85.890963,AL,Geneva,227,58
36344,31.09789,-85.708147,AL,Geneva,227,58
36352,31.264999,-85.609699,AL,Geneva,227,58
36375,31.071216,-85.544966,AL,Geneva,227,58
36442,31.084458,-86.357041,AL,Geneva,227,58
36453,31.191678,-86.149163,AL,Geneva,227,58
36467,31.281017,-86.256945,AL,Geneva,227,58
36477,31.097175,-86.061411,AL,Geneva,227,58
35443,32.755282,-88.000805,AL,Greene,99,32
35462,32.920473,-87.967463,AL,Greene,99,32
35463,33.064731,-87.682451,AL,Greene,99,32
35464,32.80613,-88.15459,AL,Greene,99,32
35469,32.973874,-87.781565,AL,Greene,99,32
35480,33.078038,-87.819226,AL,Greene,99,32
36740,32.626783,-87.836571,AL,Greene,99,32
35441,32.852762,-87.750329,AL,Hale,39,17
35474,32.940566,-87.5912,AL,Hale,39,17
36738,32.42097,-87.624965,AL,Hale,39,17
36742,32.467872,-87.729452,AL,Hale,39,17
36744,32.695952,-87.599716,AL,Hale,39,17
36756,32.683866,-87.27589,AL,Hale,39,17
36765,32.588169,-87.522234,AL,Hale,39,17
36776,32.735606,-87.741416,AL,Hale,39,17
36786,32.431068,-87.482163,AL,Hale,39,17
36303,31.266568,-85.401317,AL,Henry,48,14
36310,31.595139,-85.208847,AL,Henry,48,14
36317,31.643557,-85.404255,AL,Henry,48,14
36319,31.331937,-85.148874,AL,Henry,48,14
36345,31.366306,-85.310372,AL,Henry,48,14
36350,31.350214,-85.495521,AL,Henry,48,14
36353,31.47853,-85.348626,AL,Henry,48,14
36373,31.541593,-85.097397,AL,Henry,48,14
36301,31.140065,-85.398289,AL,Houston,580,103
36303,31.266568,-85.401317,AL,Houston,580,103
36305,31.204572,-85.496004,AL,Houston,580,103
36312,31.17084,-85.236837,AL,Houston,580,103
36319,31.331937,-85.148874,AL,Houston,580,103
36320,31.049898,-85.319224,AL,Houston,580,103
36321,31.210866,-85.299218,AL,Houston,580,103
36343,31.060704,-85.120765,AL,Houston,580,103
36345,31.366306,-85.310372,AL,Houston,580,103
36350,31.350214,-85.495521,AL,Houston,580,103
36352,31.264999,-85.609699,AL,Houston,580,103
36370,31.142219,-85.158109,AL,Houston,580,103
36375,31.071216,-85.544966,AL,Houston,580,103
36376,31.250679,-85.269772,AL,Houston,580,103
35004,33.603431,-86.493783,AL,Jefferson,2311,700
35005,33.59595,-87.000649,AL,Jefferson,2311,700
35006,33.422751,-87.209751,AL,Jefferson,2311,700
35020,33.402429,-86.951784,AL,Jefferson,2311,700
35022,33.322849,-86.971458,AL,Jefferson,2311,700
35023,33.467843,-87.088194,AL,Jefferson,2311,700
35036,33.643923,-86.919599,AL,Jefferson,2311,700
35060,33.559629,-86.953465,AL,Jefferson,2311,700
35061,33.47195,-86.955959,AL,Jefferson,2311,700
35062,33.72492,-87.010252,AL,Jefferson,2311,700
35063,33.818224,-87.020631,AL,Jefferson,2311,700
35064,33.476072,-86.920253,AL,Jefferson,2311,700
35068,33.607417,-86.830991,AL,Jefferson,2311,700
35071,33.695133,-86.848962,AL,Jefferson,2311,700
35073,33.651253,-86.986935,AL,Jefferson,2311,700
35079,33.938426,-86.75905,AL,Jefferson,2311,700
35080,33.261378,-86.913298,AL,Jefferson,2311,700
35091,33.779297,-86.789582,AL,Jefferson,2311,700
35094,33.530066,-86.553303,AL,Jefferson,2311,700
35111,33.284628,-87.094558,AL,Jefferson,2311,700
35116,33.731298,-86.769981,AL,Jefferson,2311,700
35117,33.667778,-86.892599,AL,Jefferson,2311,700
35118,33.527419,-87.034686,AL,Jefferson,2311,700
35119,33.646571,-86.77093,AL,Jefferson,2311,700
35126,33.730926,-86.654972,AL,Jefferson,2311,700
35127,33.491671,-86.97637,AL,Jefferson,2311,700
35130,33.633156,-87.136688,AL,Jefferson,2311,700
35133,33.82965,-86.596151,AL,Jefferson,2311,700
35139,33.714101,-86.974033,AL,Jefferson,2311,700
35146,33.79507,-86.453279,AL,Jefferson,2311,700
35148,33.755959,-87.045787,AL,Jefferson,2311,700
35172,33.845155,-86.695313,AL,Jefferson,2311,700
35173,33.655233,-86.56324,AL,Jefferson,2311,700
35180,33.820305,-86.840317,AL,Jefferson,2311,700
35203,33.518601,-86.809807,AL,Jefferson,2311,700
35204,33.522118,-86.839815,AL,Jefferson,2311,700
35205,33.495016,-86.808087,AL,Jefferson,2311,700
35206,33.570264,-86.71314,AL,Jefferson,2311,700
35207,33.564208,-86.824789,AL,Jefferson,2311,700
35208,33.496814,-86.87935,AL,Jefferson,2311,700
35209,33.466348,-86.811516,AL,Jefferson,2311,700
35210,33.541616,-86.669322,AL,Jefferson,2311,700
35211,33.455102,-86.856402,AL,Jefferson,2311,700
35212,33.547385,-86.752908,AL,Jefferson,2311,700
35213,33.506674,-86.744347,AL,Jefferson,2311,700
35214,33.576995,-86.894065,AL,Jefferson,2311,700
35215,33.649002,-86.707425,AL,Jefferson,2311,700
35216,33.419246,-86.789433,AL,Jefferson,2311,700
35217,33.607882,-86.760265,AL,Jefferson,2311,700
35218,33.50773,-86.89396,AL,Jefferson,2311,700
35221,33.449532,-86.899049,AL,Jefferson,2311,700
35222,33.523712,-86.770115,AL,Jefferson,2311,700
35223,33.488141,-86.734834,AL,Jefferson,2311,700
35224,33.517294,-86.943879,AL,Jefferson,2311,700
35226,33.399158,-86.845896,AL,Jefferson,2311,700
35228,33.456191,-86.921172,AL,Jefferson,2311,700
35229,33.46582,-86.788604,AL,Jefferson,2311,700
35233,33.508746,-86.801976,AL,Jefferson,2311,700
35234,33.540811,-86.802758,AL,Jefferson,2311,700
35235,33.625674,-86.649486,AL,Jefferson,2311,700
35242,33.425247,-86.672084,AL,Jefferson,2311,700
35243,33.440918,-86.741508,AL,Jefferson,2311,700
35244,33.352918,-86.825333,AL,Jefferson,2311,700
35254,33.516152,-86.857557,AL,Jefferson,2311,700
35444,33.328718,-87.292882,AL,Jefferson,2311,700
35544,33.959985,-88.017137,AL,Lamar,67,9
35552,34.072278,-88.142203,AL,Lamar,67,9
35555,33.658512,-87.815637,AL,Lamar,67,9
35563,33.977608,-87.903722,AL,Lamar,67,9
35570,34.163756,-87.993159,AL,Lamar,67,9
35574,33.567578,-87.949993,AL,Lamar,67,9
35576,33.575382,-88.143851,AL,Lamar,67,9
35586,33.8779,-88.134075,AL,Lamar,67,9
35592,33.746099,-88.084807,AL,Lamar,67,9
35610,34.954456,-87.245961,AL,Lauderdale,165,37
35614,34.888328,-87.219768,AL,Lauderdale,165,37
35630,34.82298,-87.661652,AL,Lauderdale,165,37
35633,34.875101,-87.798371,AL,Lauderdale,165,37
35634,34.917211,-87.609469,AL,Lauderdale,165,37
35645,34.903048,-87.500965,AL,Lauderdale,165,37
35648,34.95866,-87.387836,AL,Lauderdale,165,37
35652,34.846744,-87.310208,AL,Lauderdale,165,37
35677,34.955707,-88.026555,AL,Lauderdale,165,37
35540,34.234693,-87.20972,AL,Lawrence,356,71
35603,34.535452,-86.971226,AL,Lawrence,356,71
35618,34.641403,-87.304983,AL,Lawrence,356,71
35619,34.382723,-87.152105,AL,Lawrence,356,71
35643,34.672577,-87.201931,AL,Lawrence,356,71
35650,34.447233,-87.308593,AL,Lawrence,356,71
35651,34.469857,-87.495702,AL,Lawrence,356,71
35654,34.497789,-87.632269,AL,Lawrence,356,71
35672,34.648533,-87.406487,AL,Lawrence,356,71
35673,34.576336,-87.137349,AL,Lawrence,356,71
36801,32.694763,-85.395626,AL,Lee,1072,420
36804,32.533973,-85.347519,AL,Lee,1072,420
36830,32.538612,-85.489708,AL,Lee,1072,420
36832,32.582936,-85.585938,AL,Lee,1072,420
36849,32.60242,-85.487341,AL,Lee,1072,420
36850,32.786919,-85.655757,AL,Lee,1072,420
36852,32.757181,-85.292494,AL,Lee,1072,420
36854,32.751613,-85.189484,AL,Lee,1072,420
36865,32.602618,-85.589334,AL,Lee,1072,420
36866,32.565305,-85.712082,AL,Lee,1072,420
36867,32.496045,-85.023773,AL,Lee,1072,420
36870,32.482878,-85.120305,AL,Lee,1072,420
36874,32.564252,-85.198549,AL,Lee,1072,420
36877,32.573153,-85.101369,AL,Lee,1072,420
36879,32.727562,-85.558384,AL,Lee,1072,420
35610,34.954456,-87.245961,AL,Limestone,1015,154
35611,34.773833,-87.084145,AL,Limestone,1015,154
35613,34.820163,-86.882161,AL,Limestone,1015,154
35614,34.888328,-87.219768,AL,Limestone,1015,154
35615,34.662737,-86.875419,AL,Limestone,1015,154
35620,34.930812,-87.020185,AL,Limestone,1015,154
35647,34.967655,-87.117034,AL,Limestone,1015,154
35649,34.617619,-86.869284,AL,Limestone,1015,154
35652,34.846744,-87.310208,AL,Limestone,1015,154
35671,34.685398,-86.93539,AL,Limestone,1015,154
35739,34.968586,-86.791036,AL,Limestone,1015,154
35749,34.822212,-86.757871,AL,Limestone,1015,154
35756,34.643705,-86.818149,AL,Limestone,1015,154
35757,34.784245,-86.745347,AL,Limestone,1015,154
35773,34.891069,-86.707941,AL,Limestone,1015,154
36032,31.99463,-86.568637,AL,Lowndes,236,68
36040,32.173924,-86.684172,AL,Lowndes,236,68
36041,31.9138,-86.319978,AL,Lowndes,236,68
36043,32.201153,-86.420747,AL,Lowndes,236,68
36047,32.075247,-86.517854,AL,Lowndes,236,68
36701,32.483972,-87.054642,AL,Lowndes,236,68
36752,32.298669,-86.631995,AL,Lowndes,236,68
36761,32.106169,-86.978039,AL,Lowndes,236,68
36775,32.229409,-87.109852,AL,Lowndes,236,68
36785,32.260516,-86.84581,AL,Lowndes,236,68
36013,32.284669,-85.985235,AL,Macon,152,23
36029,32.181872,-85.933154,AL,Macon,152,23
36039,32.298948,-85.83756,AL,Macon,152,23
36075,32.378389,-85.9237,AL,Macon,152,23
36078,32.546979,-85.942735,AL,Macon,152,23
36083,32.38673,-85.684361,AL,Macon,152,23
36088,32.415281,-85.720314,AL,Macon,152,23
36089,32.151049,-85.698646,AL,Macon,152,23
36804,32.533973,-85.347519,AL,Macon,152,23
36830,32.538612,-85.489708,AL,Macon,152,23
36832,32.582936,-85.585938,AL,Macon,152,23
36860,32.274537,-85.424439,AL,Macon,152,23
36866,32.565305,-85.712082,AL,Macon,152,23
36879,32.727562,-85.558384,AL,Macon,152,23
35739,34.968586,-86.791036,AL,Madison,2074,380
35741,34.718016,-86.479004,AL,Madison,2074,380
35748,34.721079,-86.389356,AL,Madison,2074,380
35749,34.822212,-86.757871,AL,Madison,2074,380
35750,34.956179,-86.589482,AL,Madison,2074,380
35756,34.643705,-86.818149,AL,Madison,2074,380
35757,34.784245,-86.745347,AL,Madison,2074,380
35758,34.71142,-86.746508,AL,Madison,2074,380
35759,34.868329,-86.545976,AL,Madison,2074,380
35760,34.543906,-86.383856,AL,Madison,2074,380
35761,34.916206,-86.409214,AL,Madison,2074,380
35763,34.622047,-86.461788,AL,Madison,2074,380
35773,34.891069,-86.707941,AL,Madison,2074,380
35776,34.659404,-86.239414,AL,Madison,2074,380
35801,34.725269,-86.560866,AL,Madison,2074,380
35802,34.668212,-86.558882,AL,Madison,2074,380
35803,34.563462,-86.519404,AL,Madison,2074,380
35805,34.709368,-86.62029,AL,Madison,2074,380
35806,34.760798,-86.685745,AL,Madison,2074,380
35808,34.631236,-86.656646,AL,Madison,2074,380
35810,34.803193,-86.601445,AL,Madison,2074,380
35811,34.795354,-86.509948,AL,Madison,2074,380
35816,34.739954,-86.630751,AL,Madison,2074,380
35824,34.644929,-86.752061,AL,Madison,2074,380
35896,34.754672,-86.654634,AL,Madison,2074,380
36722,32.094921,-87.571497,AL,Marengo,211,52
