ACID,CCDD,CMSW,CRHW,ENRG,ETOX,EUTR,GHG,HAPS,HCAN,HNCN,HRSP,HTOX,JOBS,LAND,METL,MNRL,NNRG,OZON,PEST,RNRG,SMOG,VADD,WATR,Sectors,US_2007_Demand_$
29535.19,7004296242.44,1099577547.57,361173.76,773641.17,46880.32,6318.51,37342015.04,4932.99,0.01,0.01,4232.48,0.02,13685.02,2584947.56,543.45,0,0,0.19,0.11,773641.17,916831.76,1246510877.78,2211719.84,233210-health care buildings-us,46077496600.7689
3933892.46,3676421289.02,31498999.49,10826119.55,3496483594.41,3023718.08,1035416.61,1370588618.33,891149.31,0.21,1.11,773268.18,1.32,30778.15,13847980.51,6834.09,0,0,4298.46,106.42,3496483594.41,83250257.32,2969124112.09,20409292.81,233230-manufacturing buildings-us,47570560736.459
76507348.73,71352236277.17,37084973.49,2057916.65,2468805299603.47,54113996.81,7511174.93,34193810237.73,1369370.51,0.83,4.7,21798087.6,5.53,35625.83,621861486.86,22535.27,272850144929.4,2398735884111.25,471.88,1.43,70069415492.21,789933105.15,12304489717.95,2035104449.66,233240-utilities buildings and infrastructure-us,113820541325.32
201993.77,17465746406.41,2739463076.72,864128.92,23574603.91,326880.17,269587.96,272415031.69,31003.79,0.04,0.08,26100.17,0.12,112994.04,17904440.9,4073.8,0,0,2.58,0.78,23574603.91,5181534.95,3830286497.51,17954903.14,233262-schools and vocational buildings-us,114948163531.713
125344.7,297843146561.17,4147440.9,56749211.06,4512634.12,336807.91,39080.34,194124081.9,30519.46,0.04,0.08,19207.6,0.12,17581.69,6622437.09,4210.36,0,0,1.32,0.82,4512634.12,4615302.98,3463128558.57,11945782.54,"233293-highways, streets, and bridges-us",97676063271.3483
62648094.97,25265489813.03,4148179636.56,2184383.76,4236382.85,31170228.72,8864955.68,29977563595.47,3190053.94,13.55,20.17,50775985.27,33.74,1320498.8,111074130.79,1015.69,0,0,96.97,2.54,4236382.85,2271899316.07,108091779375.31,63719373.55,"2332a0-commercial structures, including farm structures-us",173978761802.232
58757233.29,37023178410.25,64742100.47,3059431.23,14422350.11,29235634.47,19461207.03,23769624513.87,2875043.68,11.69,18.92,49671555.83,30.64,1125074.45,3600802509.53,8748.81,0,0,37.34,2.28,14422350.11,2117196111.36,109389899450.43,63950819.39,2332b0-other nonresidential structures-us,172557431304.26
21612.62,56625022953.21,8845652838.34,2535102.56,5332.52,6729.01,608611.85,4486590.93,2134.58,0,0,2217.69,0.01,1652.32,183389.5,3.1,0,0,0.04,0,5332.52,675640.55,25101537080.64,5444.19,233411-single-family homes-us,302622930091.185
10042.38,11053037491.91,1724896090.73,9016733.72,236633.2,25317.35,70670.81,11494650.41,1918.06,0,0,1481.05,0.01,1441.6,733105.82,337.89,0,0,0.11,0.07,236633.2,340294.6,3071278425.48,686224.55,233412-multifamily homes-us,58601583963.1942
54434082.1,38800705389.72,6046736936.57,1440427.5,6196041.23,26879558.43,8019715.37,25189127795.52,2625719.22,11.74,17.57,19855626.66,29.33,81837.85,4773874.73,739.88,0,0,4.58,0.02,6196041.23,1968185700.87,71077223919.31,73370362.63,2334a0-other residential structures-us,188823342129.083
9353533.41,18631565.74,175214561.29,12959969.7,163101892693.5,42208039.73,6999536.82,1105887253.61,3193510.6,5.17,106.67,9140323.84,111.85,128279.76,53152925.49,50431.3,0,0,2642.7,1174.46,163101892693.5,385202381.94,9274981777.45,71360694.34,321100-lumber and treated lumber-us,-5411711667.98131
16472556.72,10915589.99,102663253.59,915038.26,20641926774.33,50778502.96,2075229.02,2454031943.06,5041685.42,13.73,121.8,13749858.66,135.56,79084.47,53985535.68,44400.97,0,0,3389.5,8.57,20641926774.33,564173513.45,6516554709.41,69007676.04,321200-plywood and veneer-us,-7092140165.96079
2159691.35,14286705.11,134359873.52,2347954.81,2520104773.96,5240078.73,293897.01,925575327.18,873728.8,1.13,18.43,2939619.83,19.56,126909.07,84614077.43,7300.1,0,0,2762.73,13.05,2520104773.96,104268357.18,9634557298.37,92512639.31,"321910-wooden windows, door, and flooring-us",-2239278596.16175
2121654.72,13141773.68,123589035.65,921454.81,1914093538.96,315337981.79,391567.55,1888177986.76,875138.35,0.81,21.76,3122405.64,22.57,109068.39,282844025.55,15245.14,0,0,836.22,4357.91,1914093538.96,95650063.55,9410984257.18,128743440,"3219a0-veneer, plywood, and engineered wood-us",7474252161.5432
20267427.33,4041749.44,38012101.24,1606291.72,2880.51,3279936.1,1063105.3,2915640032.78,1575752.96,0.15,0.27,5491062.56,0.42,45304.2,23943497.36,35118.61,0,0,190.88,0.85,2880.51,281224680.74,4705699444.32,34014794.12,327100-clay and ceramic products-us,-3229629370.48019
59059702.25,11573156.63,108650996.81,18930613.22,224819.83,23469173.28,5601980.76,8573758310.79,998079.57,0.52,0.39,10103467.98,0.91,91447.69,88088969.55,58846.6,0,0,1986.46,0.74,224819.83,1516823992.72,10686008003.33,63293202.46,327200-glass and glass products-us,157434708.740379
280767546.94,5338235.68,50196855.14,72167352.93,0,36288199.29,29414573.3,84060471330.91,4743959.03,3.8,1.37,30954554.33,5.18,28551.35,34188348.65,64537.12,0,0,3070.54,89.82,0,5747146694.04,6074537054.23,28210943.78,327310-cement-us,-1465807662.15951
3184806.42,16982098.03,159784421.07,712819.01,0,441487.91,362622.53,3964619553.92,87758.38,0.15,0.14,6608739.66,0.28,131998.55,54961280.61,15168.93,4331074097.74,0,7.02,0.36,0,85523069.5,11083686658.72,104762165.69,327320-ready-mix concrete-us,-312562580.821515
1181825.58,4337496.59,40786280.5,135451.16,0,39030.82,60231.92,751922274.19,139520.91,0.02,0.03,1049718.41,0.04,38644.1,12270536.32,8637.09,0,0,7.44,0,0,17992444.95,4563370563.34,26440884.35,"327330-concrete pipe, bricks, and blocks-us",-107382259.263191
822241.96,6110439.34,57465888.42,332012.75,17201.47,143280.28,79450.92,679737726.06,93763.62,0.02,0.04,1289998.35,0.06,63564.79,20032382.72,4232.73,0,0,0.79,0.1,17201.47,24252257.43,5702490870.62,45894556.96,327390-other concrete products-us,-1137433393.81059
56007575.42,3717317.32,34980593.95,1008502.87,1006938.97,10882322.73,7065168.7,25489713057.08,1265284.74,0.5,0.23,9139198.54,0.73,16392.26,20198651.66,4782.15,8556117082.21,0,30.4,739.56,1006938.97,956672467.23,3070818452.87,15429211.12,327400-lime and gypsum products-us,16269042.8625116
1386379,1970205.25,18529926.89,758741.52,245676.44,704398.82,45255.21,166475759.73,106701.78,0.12,0.08,302218.47,0.2,9567.05,2590726.03,949.58,0,0,2.14,9.64,245676.44,13498730.28,2625055743.4,17293534,327910-abrasive products-us,-1000062600.10678
2051632.88,2111272.99,19910133.55,1508645.4,149161.38,135892.36,128125.74,240604077.93,126063.08,0.03,0.12,1219321.61,0.15,22089.19,9188198.79,4980.62,11861185313.55,0,783.39,0.52,149161.38,25712124.07,2260346091.75,22183181.38,327991-cut stone and stone products-us,-291343250.688705
8650232.77,1551574.63,14599931.82,185394.3,17938.81,133689.22,1050479.82,680663773.22,44265.97,0.02,0.07,1531290.67,0.09,6573,2405214.08,4764.2,72879161.18,0,2.8,2.71,17938.81,71317335.89,1570193108.38,4669714.65,327992-ground or treated minerals and earth-us,46494148.1973549
5859549.33,2869905.16,26986923.54,1337831.88,0,9089399.29,313210.59,1703823240.62,674794.93,2.96,0.08,4015566.59,3.05,20962.75,19270459.02,7296,0,0,0,0,0,58495504.66,3154954014.66,25172876.19,327993-mineral wool-us,8843780.87068789
1157632.62,1642537.95,15433825.67,402400.84,0,402472.19,113646.89,647874262.54,187049.91,0.09,0.03,601412.94,0.11,12754.46,3698318.2,1692.21,0,0,6.15,1.42,0,28638780.74,1565959311.05,9015947.59,327999-other nonmetallic mineral products-us,-140049953.233084
96870670.2,25731998.31,241916871.89,1426473756.6,24712058.84,51089528.37,282333771.41,82513615210.06,1869165.52,0.44,1.35,25042080.2,1.79,147494.65,127646566.52,489479.12,103327947,0,613.07,178.41,24712058.84,1435208435.03,31241370277.9,1519504272.01,"331110-primary iron, steel, and ferroalloy products-us",-23086688051.616
2225029.43,2764218.32,25993681.08,31124418.58,287274.33,1255114.66,83511892.28,1484875153.23,223395.2,0.02,0.1,735605.06,0.12,28937.71,15428854.58,20594.95,0,0,170.09,2.35,287274.33,46763428.6,2852822792,118778304.12,331200-secondary steel products-us,-4167539247.82635
69098329.57,4163986.83,39144689.34,143871031.16,127224.56,79592092.11,19901673.12,15476493975.5,6134980.22,0.18,1.17,14696465.86,1.35,30603.85,20660830.86,71428.32,0,0,1147.04,5.3,127224.56,181697421.92,5148672479.5,375181415.01,33131a-aluminum-us,-5281372643.78211
4038500.18,5646996.18,52739680.59,45116609.99,22649.66,5246870.58,1148198.34,3610428488.9,1157982.18,0.11,0.27,2596882.65,0.38,48823.89,42148974.63,376806.39,0,0,898.36,6.16,22649.66,105025937.52,5183108886.6,413014409.36,33131b-aluminum products-us,-1112875458.17382
52805703.26,2077748.94,19541970.1,102190195.08,0,9161056.59,1600378.8,175694689.72,5088958.41,0.06,0.06,6635386.23,0.12,4858.68,2284086.75,83342.1,0,0,143.8,0,0,169103131.82,2486543626.32,42724703.89,331411-primary copper-us,-4936520910.70003
9945298.17,2788901.71,26228956.58,332155366.78,0,1806267.77,472825.88,3734601320.87,734492.37,0.03,0.61,1446129.41,0.64,17466.8,10582630.77,32925.03,0,0,212.25,639.86,0,39216620.35,4345007496.76,134669298.06,331419-other primary nonferrous metals-us,-13146082610.7776
339664.32,5075619.04,47185022.35,4137348.85,0,750223.48,66050.36,999001641.43,198863.1,0.01,0.06,441793.36,0.08,32118.11,18247959.32,71493.25,0,0,34.67,0.4,0,15596723.74,4821505843.02,347337419.38,331420-secondary copper products-us,-1658727075.31339
12692885.72,2904775.68,26653512.12,449758764.96,11263.06,2089786.5,212640.06,1719597117.59,590070.89,0.03,1.19,1950166.69,1.22,18798.09,8482251.19,54428.95,0,0,297.98,0.29,11263.06,46195240.51,4482873629.49,154625507.6,331490-other secondary nonferrous metal products-us,728465883.44617
3817574.86,3882908.17,36515339.22,16149350.26,0,18637835.85,301842.76,1081080164.25,859777.4,0.35,1.62,10555092.33,1.97,83674.05,35419631.67,121756.67,0,0,32.63,0,0,113234862.59,7953421138.18,628419286.76,331510-cast iron and steel-us,-99801371.1484748
847698.53,2894366.31,27217961.78,10827061.27,4913.18,2978813.03,92195.64,1912581961.88,186327.86,0.05,0.09,1740974.12,0.14,55652.38,29513561.61,96604.99,0,0,17.4,0.01,4913.18,29376600.91,5801657328.01,478557519.97,331520-nonferrous metal casts-us,228212755.304476
1843299.55,6822474.59,64166432.99,50446956.42,1901847933.8,1240670.36,462371.48,1735587082.05,694523.98,0.03,0.11,456834.33,0.14,47203.55,21365555.09,144510.44,0,0,102.6,1.27,1901847933.8,45332280.77,5050022203.94,25230839.11,"33211a-all other forging, stamping, and sintering-us",226611758.469071
39288.51,4096443.3,38523071.53,947858.94,8746.83,19975.73,4919.33,338894141.63,373208.54,0.01,0.04,18532.7,0.05,6824.26,3380753.39,1164.5,0,0,65.76,0,8746.83,5631266.73,2058113572.19,5617378.23,332114-custom metal rolls-us,25096989.6459159
112931.6,6511150.69,61186332,2298064.56,133537.66,596774.33,17931.9,383868240.94,737119.49,0.09,0.12,48963.55,0.21,48855.24,21693100.68,2271.24,0,0,107.63,0.77,133537.66,13096980.2,5244979723.72,11333934.47,"33211b-lids, jars, bottle caps, other metal closures and crowns-us",535094272.827118
151270.31,5317811.19,49885565.92,1727648.45,78012.13,312003.09,458832.95,365664596.36,620283.51,0.12,0.09,195816.19,0.21,42390.66,20133964.65,1799.99,0,0,515.54,0.07,78012.13,12663722.16,5287702301.67,10259271.68,332200-cutlery and handtools-us,1403142223.02265
553551.09,23632742.86,222077687.15,20634094.24,97459613.92,1330593.86,62776.5,915971788.19,2883569.72,0.12,0.82,687445.42,0.93,207434.06,91958190.61,60844.8,0,0,1210.8,7.72,97459613.92,58539121,16250636814.94,34969156.09,332310-metal structural products-us,-2358396707.28601
573133.02,22816272.41,214490388.63,15948948.66,9506007.73,729345.5,73668.69,1148590427.61,2531355.23,0.11,0.96,276051.42,1.08,207248.32,94967026.05,10324.63,0,0,1175.7,2.58,9506007.73,50394016.12,15776039693.9,41142907.53,"332320-metal windows, doors, and architectural products-us",-570168585.508847
39630.51,3081012.68,28977143.28,590936.24,0,41750.08,5418.51,79245454.95,292626.83,0,0.03,35344.25,0.03,22966.32,9885041.46,1367.43,0,0,46.49,0,0,4917540.31,2657195234.93,2996940.87,332410-power boilers and heat exchangers-us,2406897024.98012
40051.88,4577951.07,43053976.88,689438.19,247097.33,51509.84,5025.96,204758498.23,511010.69,0.04,0.2,53674.94,0.24,27320.57,16876355.69,11938.1,0,0,70.89,0.58,247097.33,7993825.88,3523878799.03,7906881.3,332420-heavy gauge metal tanks-us,4153026675.46831
511542.87,9511097.18,89447729.06,3981646.56,5300872.72,5356590.03,74965.06,654525674.47,16332510.07,1.17,0.77,153698.86,1.94,42996.29,18874168.77,2218.78,0,0,1087.31,0,5300872.72,197558950.91,4777554149.23,13434861.8,"332430-light gauge metal cans, boxes, and containers-us",432253639.613956
60477.67,4714910.6,44305650.71,1799972.85,675350.54,570088.29,8217.1,248092585.37,455646.24,0.01,0.06,34595.12,0.07,30667.26,17085276.19,1064.22,0,0,352.88,0.26,675350.54,7673281.19,3725521506.85,11426544,"332500-metal hinges, keys, lock, and other hardware-us",-3939817821.76092
147398.3,3684073.18,34648769.01,4180461.12,103524.17,807871.86,3094168.28,291498189.39,379942.17,0.01,0.08,85571.94,0.09,36537.94,15455125.72,2460.96,0,0,889.67,0.42,103524.17,8897491.33,2978914372.4,10322755.02,332600-springs and wires-us,-857546120.512906
250873.93,19375135.14,182993370.32,3382571.98,803976.83,403487.44,63063.04,858102548.17,1719542.67,0.12,0.72,105657.26,0.84,258653.15,98922852.48,7140.28,0,0,328.55,2.16,803976.83,27217699.34,19420355834.96,48594999.09,332710-machine shops-us,988819121.899921
134837.56,13171596.16,123865269.5,7089021.35,1014565.28,206983.21,16339.97,473812767.88,1365418.16,0.02,0.15,64296.67,0.17,92309.5,36388511.62,1225.62,0,0,199.09,0.48,1014565.28,18000574.64,12672375659.17,21572187.82,"332720-screws, nuts, and bolts-us",-1967591711.99171
2395126.16,14618471.16,137485685.66,230480810.87,5857.73,10565369.8,847831.53,3254798059.91,2727661.47,0.37,2.85,1141273.72,3.22,144437.12,51056026.69,177266.25,0,0,633.92,0.05,5857.73,102444471.76,12875935338.69,57719957.32,"332800-metal coatings, engravings, and heat treatments-us",-61917093.2700712
105935.55,12349243.33,115749168.71,5303060.37,696002.94,98720.75,11337.7,307781269.45,1061502.36,0.01,0.18,86643.05,0.2,67578.07,33151856.24,8433.43,0,0,223.86,0.53,696002.94,14177555.42,11055809262.78,19645713.19,33291a-valve and fittings (except for plumbing)-us,-2970511292.23055
19019.39,2263045.54,21283766.06,1746809.68,17560.72,128495.64,2211.27,52789508.42,209769.37,0.01,0.03,8245.94,0.03,8610,5703826.42,627.35,0,0,47.1,0.07,17560.72,2959979.04,1954596230.72,3806044.06,"332913-metal plumbing drains, faucets, valves, and other fittings-us",-1201457908.76313
92334.31,3964316.52,37281413.63,1036809.51,9730.04,194862.23,71534.07,309786756.32,352087.74,0.01,0.04,68219.36,0.05,28385.97,14202137.72,1247.27,0,0,58,0,9730.04,7578817.72,4016087727.2,5565797.81,332991-ball and roller bearings-us,-873193406.834513
528656.8,5086449.49,47836444.91,8035875.93,263335.96,1071217.09,164409.16,117877888.33,567547.57,0.01,0.07,169268.54,0.08,38785.92,16709177.29,33096.12,0,0,88.87,10.47,263335.96,11403393.07,5398057099.12,6376565.96,"33299a-ammunition, arms, ordnance, and related accessories-us",6474568286.33356
274978.52,4006491.68,37541285,679302.58,88992.69,68042.15,30925.6,160682319.9,966439.85,0.02,0.1,117405.72,0.12,23912.16,13412702.46,18009.83,0,0,298.22,0.69,88992.69,18810429.54,3433723845.33,7416846.53,332996-fabricated pipe and pipe fittings-us,1083668174.92765
665116.58,9911985.24,93178527.85,4149845.03,2330891.67,872888.37,86821.53,520932473.29,1454120.83,0.08,0.37,584828.07,0.46,64430.44,39794734.22,17579.03,0,0,675.72,0.88,2330891.67,45724969.78,7914053522.43,34161898.18,"33299b-metal pipe fittings, ball and roller bearings, industrial patterns, metal bath fixtures, other misc. fabricated metals-us",-500330138.352778
924082.45,8186943.48,77210556.22,10885525.74,28024.89,1285482.36,40693.47,200808313.25,592770.17,0.03,0.07,145984.21,0.1,46708.14,15616688.08,8295.6,0,0,118.61,0.12,28024.89,18073680.7,9377769680.91,7837458.78,333111-farm machinery and equipment-us,19217883538.1522
54935.65,2765145.32,26000777.62,261900.06,490558.11,74626.02,5856.56,101204155.68,80818.35,0,0.02,14096.76,0.02,9597.88,4021854.63,377.42,0,0,42.29,0.02,490558.11,3004917.96,2294740472.05,1228856.27,333112-lawn and garden equipment-us,7324862511.80947
866485.9,12363499.44,116237318.84,2529431.41,0,175886.13,76272.98,920549131.38,421233.96,0.04,0.09,141573.9,0.13,73707.61,33149998.69,3744.5,0,0,169.17,0.19,0,28376404.25,12312098123.61,10721611.47,333120-construction machinery-us,30748137710.6457
132639.1,8846331.04,83133979.48,1113798.41,0,55810.47,45606.21,340214268.05,343880.58,0.02,0.06,51003.25,0.08,76053.89,29679744.14,81807.96,0,0,123.74,0.01,0,8365692.99,9610701681.99,7254056.51,333130-mining and oil-gas field machinery-us,20217393558.9039
364538.89,7513509.94,70627182.6,10091164.89,576421.16,320720.47,146280.71,369930243.52,260326.99,0.02,0.12,186934.71,0.15,74925.91,34140753.34,4774.85,0,0,1014.95,22.48,576421.16,9657271.57,8771686841.69,13700390.48,"33329a-machinery for the paper, textile, food or other industries (except semiconductor machinery)-us",16493291235.7104
6747.25,1248381.87,11739593.59,66617.52,27286.9,3925.04,854.12,59629735.7,33992.7,0,0.02,1479.91,0.02,15344.26,7117717.71,40.72,0,0,20.54,0.06,27286.9,662067.79,1487139840.72,2674500.77,333220-plastics and rubber industry machinery-us,3150530517.93851
14790.41,3892168.93,36573147.04,1610706.25,1936.4,492711.43,1818.18,84728358.83,101043.85,0,0.04,1768.57,0.04,27062.96,16238859.93,15.11,0,0,56.88,0.95,1936.4,1824256.84,4293577626.2,6830609.06,333295-semiconductor machinery-us,9311246409.11342
1402595.78,5247921.03,49680849.9,953094.59,468994.78,396366.18,178077.59,2841777361.58,234145.96,0.17,0.45,125440.26,0.62,33564.72,25323926.22,942,0,0,580.72,2.13,468994.78,52923326.71,6550745297.8,5702858.12,"33331a-vending, commercial laundry, and other commercial and service industry machinery-us",11004469515.3781
224013.21,826097.77,7757335.8,130884.04,9038.05,60024.14,28176.42,271279706.34,28856.36,0.03,0.04,18103.39,0.07,6041.22,5420478.67,7.51,0,0,88.86,0.04,9038.05,8453960.19,1327446478.16,352455.32,333313-office machinery-us,-1365311727.55883
7303.72,1503783.59,13769003.47,753730.92,0,24660.3,1377.52,32929682.55,48081.78,0,0.01,1462.6,0.01,11537.35,7939883.44,418,0,0,336.49,0.08,0,885259.16,2266442653.37,2254297.48,333314-optical instruments and lenses-us,3089411533.53001
166927.94,725030.18,6804773.91,577261.14,3940484.66,1064636.73,44837.31,98548201.07,79542.1,0.01,0.05,21550.86,0.06,6083.88,7010708.63,159.81,0,0,207.44,159.87,3940484.66,4134118.29,1309089493.46,1885553.21,333315-photography and photocopying equipment-us,1939098891.46109
