zcta,JobsTotal,JobsAgriculture,JobsEntertainment,JobsConstruction,JobsHealthcare,JobsManufacturing,JobsProfessional,JobsRealestate,JobsTrade,JobsTransport,Population,Poverty,Poverty_Under18,Poverty_18to65,Poverty_Over65,Education,Work_Experience,Working_Fulltime,Working_Fulltime_Poverty,y
1230,419,1,24,38,48,11,61,12,9,4,7208,86,21,55,9,774,860,123,3,0
1235,46,0,1,19,2,2,2,0,0,2,2904,49,7,36,5,731,809,53,0,0
1236,40,0,1,9,2,4,6,0,1,0,1550,38,12,19,7,703,830,16,5,0
1237,138,1,5,16,7,3,6,4,3,2,2721,14,2,8,3,694,786,47,0,0
1238,280,0,9,28,12,7,24,3,6,3,6136,92,9,70,12,725,854,67,0,0
1240,243,0,10,11,19,7,33,6,8,2,4524,139,17,87,33,772,856,69,3,1
1242,17,0,0,2,1,0,1,2,0,1,192,10,0,10,0,916,927,151,0,0
1243,5,1,0,1,0,1,0,1,0,0,383,41,5,20,15,882,913,83,0,0
1244,5,0,0,2,1,0,1,0,0,0,143,139,0,76,62,881,881,125,0,0
1245,22,0,3,6,2,1,3,0,0,0,801,128,21,103,3,830,887,69,6,0
1247,339,0,16,32,48,16,38,12,6,12,14745,171,49,100,21,739,842,85,0,1
1253,30,0,2,11,1,0,1,2,0,0,683,61,10,23,27,783,843,20,0,1
1254,34,1,0,10,3,1,5,2,2,0,1041,52,4,39,8,799,877,50,0,0
1255,20,2,1,5,1,0,1,0,0,0,844,48,0,33,15,731,841,53,0,0
1256,6,0,0,2,1,2,0,0,0,0,700,47,14,20,12,734,827,105,0,0
1257,112,0,4,21,1,12,11,1,2,2,2139,150,57,77,15,777,862,66,4,0
1258,39,0,3,7,1,1,5,2,2,0,334,41,0,23,17,928,982,161,0,1
1259,24,0,2,9,0,0,2,0,2,0,540,37,14,22,0,850,898,87,0,0
1260,14,0,1,2,0,2,2,1,1,0,246,52,0,0,52,808,878,113,0,0
1262,79,2,10,7,5,1,10,1,1,0,1273,169,10,132,25,802,896,69,0,0
1264,1,0,1,0,0,0,0,0,0,0,150,193,0,73,120,913,953,86,0,1
1266,44,0,1,10,0,2,7,2,0,0,1482,62,0,43,18,759,845,89,0,0
1267,220,1,16,15,22,4,38,2,2,5,5559,64,2,47,14,743,822,81,4,0
1270,7,0,0,5,0,0,0,0,0,0,766,69,18,46,3,728,804,74,0,1
1301,584,0,23,30,102,29,79,17,26,4,17174,147,41,89,16,734,834,114,1,1
1330,32,0,3,4,0,5,3,3,1,0,1586,64,8,49,6,741,834,121,1,0
1331,201,0,6,15,35,8,23,9,6,8,13097,157,50,98,8,704,814,71,0,0
1337,42,0,2,14,3,2,0,1,1,1,2569,56,12,30,13,775,851,70,3,0
1338,16,0,0,4,1,2,1,0,0,2,209,23,0,0,23,827,942,110,0,0
1339,28,0,2,3,1,2,2,0,0,1,1511,135,33,94,7,759,858,97,8,1
1340,15,0,0,2,0,3,1,0,1,0,1683,109,38,59,11,758,833,76,0,1
1341,25,0,3,6,1,2,2,0,0,0,1564,49,5,35,8,765,844,50,6,1
1342,26,0,2,3,1,2,2,0,1,1,1496,19,0,19,0,739,767,201,0,0
1343,1,0,0,1,0,0,0,0,0,0,72,0,0,0,0,833,875,0,0,0
1344,19,0,1,2,1,1,2,1,0,1,1539,98,28,64,5,708,810,79,0,0
1346,5,0,0,1,0,0,0,0,0,0,462,116,34,64,17,783,883,75,0,0
1347,1,0,0,1,0,0,0,0,0,0,128,148,0,148,0,734,812,218,62,1
1349,8,0,0,1,0,2,0,0,0,0,888,55,16,34,3,810,859,108,0,0
1350,3,0,0,0,0,0,1,0,0,1,118,135,8,127,0,771,889,127,0,0
1351,31,0,0,5,2,1,6,2,2,0,2167,95,31,55,7,748,843,68,0,0
1354,22,0,1,8,3,0,1,0,0,2,1570,72,3,61,7,765,882,140,4,0
1355,19,1,3,2,0,2,2,0,0,1,981,80,7,44,28,730,845,99,4,0
1360,51,1,1,10,3,5,4,0,2,2,2994,39,0,28,10,743,807,73,0,0
1364,128,2,4,6,13,17,9,3,6,7,7804,124,27,79,17,707,806,64,0,0
1366,27,1,2,3,1,1,4,1,0,0,1317,65,5,53,6,754,876,52,0,1
1367,7,0,0,1,0,0,1,0,0,0,566,166,51,113,1,708,789,83,1,0
1368,12,0,0,4,0,0,2,0,0,1,1206,130,38,82,9,743,849,82,1,0
1370,125,0,10,9,9,8,23,3,3,2,4081,89,17,67,4,768,870,91,0,0
1373,139,0,3,19,13,8,21,1,10,7,4403,72,9,46,17,744,821,99,0,0
1375,49,0,3,4,1,1,10,3,2,0,3646,215,7,207,0,569,894,157,4,0
1376,99,0,2,3,25,9,8,2,4,0,5340,220,98,114,8,724,808,97,0,1
1378,4,0,0,1,0,0,0,0,0,0,687,101,20,58,23,832,892,104,0,0
1379,12,0,0,2,2,0,2,1,1,1,864,157,19,130,6,817,868,53,3,0
1420,744,0,14,62,111,55,81,27,34,20,38286,197,64,115,17,659,795,84,4,1
1430,95,0,3,22,6,7,13,2,4,3,6015,84,10,65,8,697,800,50,0,0
1431,56,1,1,17,2,4,4,1,1,3,3141,63,13,43,7,724,836,38,0,0
1432,236,0,6,22,24,26,28,10,14,19,7303,113,47,54,11,719,808,107,0,0
1434,73,0,3,1,7,13,14,5,6,3,634,268,34,201,31,509,839,118,0,1
1436,30,0,0,7,6,1,1,0,1,0,3704,89,33,48,8,669,774,18,0,0
1438,18,0,1,1,1,1,2,0,1,2,464,340,228,112,0,724,771,6,0,0
1440,398,0,15,22,68,34,41,8,6,8,19182,176,66,97,12,686,801,77,1,0
1450,222,1,9,37,28,7,35,7,9,3,10931,37,3,22,10,669,775,45,0,0
1451,142,3,8,17,21,4,40,8,5,1,4817,88,43,37,7,678,779,53,0,0
1452,54,2,1,13,5,3,9,2,2,1,4452,65,20,33,10,679,781,48,1,0
1453,1100,0,25,101,120,90,159,39,45,25,40567,116,29,75,11,713,823,89,0,0
1460,304,1,21,49,24,19,60,7,22,3,9037,38,7,26,4,699,799,58,0,0
1462,195,0,8,38,12,3,28,14,9,2,10612,98,30,53,13,720,828,92,3,0
1463,201,0,2,52,15,7,33,5,6,5,11773,49,8,32,8,653,786,63,0,0
1464,114,0,0,21,4,17,18,4,12,3,5640,121,48,67,4,697,796,80,0,0
1467,9,0,0,1,0,2,1,0,0,0,440,131,0,120,11,634,706,2,0,0
1468,54,0,2,10,5,4,8,1,3,2,3682,92,6,64,21,738,874,39,0,1
1469,130,0,6,25,6,3,15,3,4,0,7236,48,5,38,4,676,770,61,5,0
1473,162,6,3,23,15,10,10,5,13,4,7276,29,7,21,0,720,823,87,0,0
1474,23,0,0,9,1,1,0,1,0,1,1855,28,0,22,6,698,835,84,0,1
1475,147,2,3,19,12,13,10,4,10,3,10370,121,44,64,12,718,795,62,0,0
1501,587,2,14,53,59,24,70,21,52,10,16022,42,6,22,12,711,826,54,1,0
1503,77,2,2,20,4,2,5,4,7,2,2917,26,4,15,6,737,824,58,0,0
1504,130,0,1,33,9,2,9,3,7,6,8996,50,16,28,5,690,843,64,3,0
1505,123,0,11,26,3,5,23,6,4,8,4393,30,3,20,7,716,803,42,0,0
1506,47,0,0,10,4,5,3,1,2,1,3366,74,18,41,15,753,825,90,2,0
1507,251,0,10,59,17,12,30,3,10,11,12980,49,9,33,5,682,798,43,1,0
1510,252,0,4,34,17,22,33,10,11,5,13643,88,17,49,21,710,837,107,2,0
1515,45,0,4,4,0,0,6,2,2,2,2263,48,10,27,10,713,845,68,0,0
1516,125,0,4,37,6,8,15,4,2,3,8590,41,8,26,5,641,762,67,0,1
1518,61,0,3,4,2,1,10,0,2,0,2411,82,6,52,24,758,806,19,1,0
1519,96,2,3,17,7,2,17,1,6,2,6513,82,24,42,14,683,771,72,0,0
1520,274,0,5,37,39,8,49,9,9,2,14565,30,4,18,7,687,785,44,1,0
1521,22,1,2,3,0,0,2,1,0,2,2485,94,6,71,16,747,854,80,0,0
1522,31,0,2,7,3,1,5,1,1,1,3038,8,0,8,0,688,821,50,0,0
1523,114,0,6,23,19,4,19,2,10,1,6463,123,52,66,4,700,811,53,0,0
1524,107,0,5,27,11,4,10,0,4,1,6712,64,3,39,21,732,848,69,0,0
1525,23,0,0,3,4,1,3,0,0,0,152,0,0,0,0,868,868,177,0,0
1527,282,0,13,33,15,29,24,2,14,4,13195,60,18,29,12,710,827,72,0,0
1529,30,0,0,5,2,3,4,0,2,0,3205,89,26,53,9,664,770,49,0,1
1531,19,0,0,6,0,1,2,1,1,2,1092,44,18,21,4,702,793,63,0,0
1532,485,0,16,54,43,18,98,11,36,10,14503,28,4,18,4,672,785,49,0,0
1534,58,1,6,12,4,8,3,2,0,0,6156,32,18,10,4,632,735,55,2,0
1535,70,1,4,12,8,3,10,3,2,1,4698,65,14,44,7,657,806,51,2,0
1536,146,0,2,17,16,10,19,4,2,6,7087,75,19,47,8,703,815,89,0,0
1537,64,0,3,5,1,7,7,2,6,8,2292,125,54,70,0,718,779,105,0,0
1540,220,0,6,34,14,20,28,6,17,5,11100,34,5,26,2,698,810,58,0,0
1541,72,2,3,7,6,4,14,4,5,2,3432,67,14,46,6,713,789,71,3,0
1542,29,0,1,6,2,2,1,0,1,0,1681,27,16,11,0,732,813,123,0,1
1543,118,1,4,27,9,3,12,2,4,4,8165,23,4,13,4,669,783,42,0,0
1545,775,0,24,82,69,29,131,41,55,35,35714,45,11,24,9,663,775,61,2,0
1550,332,0,11,24,57,23,28,12,19,5,16489,181,58,105,17,681,791,77,0,0
1560,62,0,1,8,4,5,9,1,5,1,4543,84,39,35,9,609,714,81,1,0
1561,27,0,0,3,2,3,8,0,1,0,92,152,0,152,0,858,858,336,0,0
1562,228,1,8,49,16,17,25,8,3,7,11741,114,27,68,18,701,794,88,0,0
1564,191,1,6,39,14,16,26,3,13,2,7793,47,13,21,12,708,793,34,1,0
1566,236,0,5,17,28,14,43,8,6,6,6945,61,27,32,1,671,755,58,1,0
1568,154,0,5,51,8,8,19,2,6,2,7392,66,18,31,17,672,758,41,0,0
1569,281,1,8,51,9,14,27,7,23,13,13598,53,7,38,8,677,810,55,0,0
1570,372,0,8,44,41,23,37,16,21,8,16446,150,55,84,10,715,825,78,1,0
1571,154,0,4,35,8,13,14,4,5,3,10662,91,31,54,5,672,783,111,3,0
1581,940,1,46,50,88,40,258,35,58,13,18117,44,11,28,3,698,790,81,0,0
1583,236,0,3,37,24,13,32,6,14,4,5661,54,4,41,7,721,837,66,0,0
1585,89,0,3,14,12,12,5,3,3,3,4552,87,18,58,10,707,835,56,0,1
1588,210,1,5,16,29,6,38,10,7,1,9396,78,31,37,10,679,811,88,0,0
1590,154,1,5,25,7,14,23,3,9,3,9013,37,14,19,4,665,778,56,0,0
1602,293,0,10,27,57,3,32,14,10,6,23119,122,35,73,14,686,812,88,1,0
1603,386,0,7,27,40,25,31,13,17,10,19939,234,90,122,22,666,786,71,0,0
1604,690,0,8,60,80,34,59,28,42,19,34186,178,65,99,12,694,808,129,0,0
1605,636,0,18,33,149,20,114,22,30,10,26713,270,103,148,17,620,764,90,0,0
1606,434,0,23,35,46,27,60,15,20,10,18660,98,24,55,18,711,809,108,0,0
1607,143,0,0,14,7,7,13,7,11,9,8968,215,63,137,14,663,810,109,0,0
1608,527,0,16,6,79,4,219,17,18,7,3292,426,144,259,22,612,769,99,0,0
1609,515,0,17,18,112,5,122,23,11,4,16153,245,45,180,19,678,850,97,1,0
1610,343,0,8,24,40,25,22,13,24,12,21116,373,113,242,17,602,777,85,1,1
1611,33,0,0,7,1,3,1,2,2,1,2458,24,0,24,0,734,838,80,0,0
1612,72,0,6,13,8,2,11,2,3,0,4350,35,15,11,8,713,789,46,0,1
1701,1173,0,62,74,116,19,291,59,66,18,31216,56,15,31,8,741,806,67,0,0
1702,842,0,31,77,148,29,118,26,42,11,35428,162,51,99,11,678,797,119,5,0
1718,2,0,0,0,0,1,0,0,1,0,303,0,0,0,0,663,755,66,0,0
1719,136,0,10,17,9,8,39,6,12,3,5102,43,7,27,8,694,807,87,0,0
1720,707,1,39,53,71,27,166,18,36,6,22080,30,2,25,3,674,768,58,0,0
1721,386,0,7,52,26,21,75,10,21,11,16938,40,10,20,9,698,790,77,0,1
1730,547,1,30,48,50,29,143,16,36,11,13337,41,10,22,9,688,772,58,0,0
1731,39,0,0,0,1,0,30,1,0,1,1810,53,35,17,0,455,523,19,0,0
1740,123,2,9,18,7,5,33,7,7,1,5008,26,5,19,1,662,757,40,0,1
1741,106,1,9,14,9,7,37,5,3,2,4967,54,15,33,5,688,771,26,0,1
1742,773,1,49,38,134,22,201,30,34,6,16987,49,12,27,9,705,772,65,0,0
1745,19,0,1,2,3,0,6,0,1,0,309,0,0,0,0,789,886,22,0,0
1746,385,3,10,59,25,38,66,9,30,2,13970,39,9,21,8,675,761,43,1,0
1747,142,0,3,16,24,15,15,3,14,4,5869,24,3,7,12,677,799,75,0,0
1748,429,0,19,56,36,17,116,12,38,9,15502,21,4,16,0,640,732,39,0,0
1749,517,0,15,78,27,63,66,14,42,12,19409,63,15,36,12,736,819,65,0,1
1752,1363,0,63,110,118,67,250,45,89,28,38739,73,16,48,8,716,820,125,0,0
1754,265,0,10,38,15,7,57,13,8,4,10267,93,25,61,6,734,805,103,0,0
1756,144,0,3,29,4,6,18,8,8,3,5879,19,7,9,2,672,772,30,0,0
1757,765,0,26,89,118,25,102,20,34,13,28198,108,37,60,10,689,785,95,4,0
1760,1318,0,58,98,121,29,233,36,57,16,33706,39,8,23,7,711,791,97,0,0
1770,113,2,7,18,8,1,35,1,6,0,4200,20,4,8,6,662,752,23,0,1
1772,351,0,14,27,21,13,106,12,29,10,9452,34,8,21,5,666,758,48,0,0
1773,140,0,10,11,15,3,42,10,5,0,5350,34,3,27,3,713,782,36,0,0
1775,154,3,13,28,7,4,29,4,12,1,6836,30,0,25,4,683,752,32,0,0
1776,520,0,31,41,58,9,141,14,38,4,17988,18,5,9,3,650,741,13,1,0
1778,349,2,23,26,35,4,92,11,15,3,13354,42,9,20,12,691,783,26,0,0
1801,2063,0,79,222,150,136,424,83,227,59,39087,66,21,32,12,736,825,90,0,0
1803,1470,0,123,93,96,36,332,39,82,12,25129,47,11,29,6,724,820,62,1,0
1810,1037,0,63,63,111,25,308,38,66,10,33211,43,10,25,7,664,765,52,0,0
1821,719,0,20,140,36,38,107,24,57,33,31050,61,23,35,2,705,809,67,1,1
1824,800,0,31,90,114,53,146,17,37,12,25481,35,4,27,3,724,809,58,0,0
1826,533,0,12,126,52,15,61,19,17,12,30267,50,11,33,4,698,798,64,1,0
1827,46,1,1,20,2,0,4,0,2,2,3299,13,3,6,4,674,785,33,0,0
1830,518,1,20,45,105,13,74,19,14,6,25697,156,60,79,16,687,795,89,0,0
1832,293,0,6,34,17,24,35,8,12,5,21863,118,34,75,8,693,805,88,1,0
1833,196,1,6,39,17,14,26,4,11,3,8379,26,1,15,9,671,762,39,0,0
1834,127,1,5,29,8,8,18,3,6,3,6805,26,5,11,9,695,810,40,0,0
1835,292,1,15,30,20,46,29,14,21,10,12989,58,18,38,2,687,796,112,1,0
1840,350,0,9,14,67,31,35,12,16,7,4778,357,90,201,65,647,753,69,0,0
1841,371,0,1,19,56,18,19,12,12,12,46453,301,118,159,24,584,747,61,2,0
1843,442,0,16,27,50,38,51,17,26,13,25352,240,96,127,15,599,763,67,1,0
1844,920,0,27,108,118,36,131,34,44,31,47805,90,29,46,14,678,792,59,1,0
1845,871,1,28,77,122,30,224,29,47,9,27918,45,9,30,5,684,782,64,0,0
1850,103,0,1,10,7,2,7,5,1,3,15998,174,59,109,5,642,787,74,0,0
1851,432,0,23,54,30,31,54,18,16,5,30118,175,57,106,12,656,792,73,1,0
1852,742,1,26,39,108,42,112,33,26,15,32106,184,59,111,13,694,807,104,0,0
1854,295,0,5,16,64,2,25,14,11,2,25996,227,75,137,15,648,792,73,3,0
1860,85,0,1,17,7,3,13,3,2,3,6515,46,17,25,4,694,808,58,0,0
1862,370,0,8,57,19,45,39,5,57,16,9968,35,6,24,4,691,796,70,0,0
1863,222,0,8,21,31,15,34,7,12,6,8879,33,0,20,12,740,820,73,0,0
1864,495,0,23,84,33,6,103,12,25,17,15119,44,3,28,11,713,806,46,0,1
1867,516,0,19,71,70,8,96,22,10,11,24519,24,4,10,9,685,775,55,0,0
1876,706,1,13,117,73,31,91,25,41,21,28649,40,8,23,8,715,820,57,0,0
1879,311,0,15,71,11,13,44,12,21,4,11815,71,16,44,10,690,804,60,0,0
1880,898,0,32,111,94,27,208,27,38,14,25116,45,2,29,12,722,813,90,0,0
1886,588,0,24,67,48,25,134,16,36,13,22771,27,9,11,5,644,746,33,0,0
1887,797,1,24,135,52,72,104,22,95,35,22597,22,7,11,3,678,785,42,0,0
1890,562,0,28,45,99,10,148,31,10,4,21648,30,8,18,3,660,735,34,0,0
1901,281,0,16,5,58,9,44,10,10,4,1803,312,43,133,135,764,844,172,0,1
1902,387,0,6,47,72,7,33,21,8,13,45656,236,86,124,25,620,775,82,2,0
1904,273,0,6,28,46,6,33,3,7,6,17999,62,23,32,6,709,821,77,2,0
1905,298,0,8,36,19,12,14,13,17,13,25111,256,104,129,22,628,756,85,1,1
1906,750,1,31,84,67,22,74,18,16,15,27167,59,12,27,20,741,844,63,0,0
1907,312,0,10,43,40,2,49,14,11,1,13848,47,11,27,7,710,801,73,0,0
1908,51,1,3,9,4,1,6,1,3,0,3399,50,1,23,24,761,859,82,0,0
1913,406,0,15,51,52,30,69,11,24,6,16329,42,4,31,6,716,824,98,1,0
1915,1259,7,67,103,175,61,242,43,46,13,37476,85,22,54,8,725,829,121,2,0
1921,143,2,5,34,15,3,37,8,7,2,8105,28,13,13,1,701,772,29,4,0
1922,63,2,1,9,1,2,17,4,3,2,2646,16,0,11,4,684,859,92,0,0
1923,1104,2,52,89,143,62,196,30,40,11,26361,47,12,27,6,711,807,78,0,1
1929,144,1,8,27,6,14,13,3,8,1,3580,37,0,21,15,725,858,72,14,0
1930,915,24,39,95,87,51,121,28,49,25,28998,97,23,57,16,746,845,73,1,1
1937,5,0,0,0,0,0,0,0,1,0,112,616,0,553,62,1000,1000,0,0,0
1938,379,4,12,52,24,38,53,11,18,0,13379,58,5,36,15,744,830,83,0,0
1940,382,0,7,47,28,2,112,15,20,12,12703,18,3,12,2,716,806,48,0,0
1944,181,0,9,15,18,1,45,9,12,2,5227,65,8,51,5,737,779,30,0,0
1945,549,1,34,58,45,13,117,16,21,6,20047,48,8,28,12,705,780,57,0,0
1949,301,1,12,56,15,19,46,12,15,1,7615,47,5,31,9,710,787,58,0,0
1950,771,0,46,51,90,62,152,21,45,12,17350,74,18,45,9,743,811,106,0,0
1951,79,2,7,12,4,3,9,4,5,2,4131,69,24,22,22,734,810,71,0,0
1952,277,0,19,37,16,15,12,8,14,7,8441,82,11,61,10,713,854,76,2,0
1960,1444,2,30,153,155,56,163,40,65,46,51149,77,17,41,18,733,831,75,1,0
1966,186,2,6,25,10,4,20,4,4,3,7009,54,7,31,14,784,849,74,0,0
1969,197,4,5,27,12,19,24,3,15,6,5906,89,45,31,12,705,788,24,0,1
1970,1136,0,47,83,133,44,216,42,39,23,40432,144,43,88,13,712,835,146,5,0
1982,156,4,10,17,16,1,35,9,7,0,7844,32,9,20,2,665,758,36,1,0
1983,256,0,12,32,20,14,62,9,26,1,6168,52,33,19,0,692,787,39,0,0
1984,83,1,7,12,6,1,14,5,5,0,3573,37,12,22,2,680,793,50,1,1
1985,74,2,1,20,4,1,19,2,2,0,4370,84,50,31,2,653,760,33,0,0
2019,383,0,15,62,15,20,31,7,20,12,16527,29,6,15,7,707,815,68,0,0
2021,901,1,30,117,65,55,159,32,90,20,21699,62,16,33,12,718,794,78,1,0
2025,265,0,21,27,23,1,50,8,9,2,8041,40,20,17,3,663,756,43,0,0
2026,907,0,37,83,97,10,176,33,34,14,24076,43,8,24,10,718,814,73,0,0
2030,119,1,7,17,13,1,36,5,6,1,5727,2,0,2,0,646,739,34,0,0
2032,128,0,2,18,8,6,16,3,7,2,4103,67,18,46,2,763,866,57,3,0
2035,615,0,36,56,47,21,105,21,45,17,17098,42,11,23,7,695,791,75,0,0
2038,812,2,28,93,61,55,138,29,61,28,31365,37,9,22,6,650,758,55,0,1
2043,851,0,33,66,84,18,220,30,56,12,22284,39,12,22,4,688,765,37,0,0
2045,157,0,10,12,10,2,24,4,5,8,10324,58,7,44,6,788,861,98,0,1
