zcta,JobsTotal,JobsAgriculture,JobsEntertainment,JobsConstruction,JobsHealthcare,JobsManufacturing,JobsProfessional,JobsRealestate,JobsTrade,JobsTransport,Population,Poverty,Poverty_Under18,Poverty_18to65,Poverty_Over65,Education,Work_Experience,Working_Fulltime,Working_Fulltime_Poverty
1089,1009.0,0.0,25.0,86.0,112.0,58.0,130.0,39.0,58.0,24.0,28714.0,138.0,42.0,85.0,8.0,697.0,817.0,110.0,0.0
1092,17.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,1191.0,157.0,84.0,68.0,0.0,757.0,874.0,140.0,0.0
1093,31.0,0.0,0.0,5.0,2.0,5.0,1.0,0.0,3.0,2.0,291.0,59.0,23.0,28.0,0.0,840.0,932.0,123.0,0.0
1094,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,353.0,62.0,0.0,25.0,45.0,801.0,839.0,71.0,0.0
1095,297.0,1.0,4.0,28.0,41.0,7.0,54.0,10.0,13.0,5.0,14431.0,39.0,7.0,19.0,12.0,715.0,828.0,59.0,0.0
1096,53.0,0.0,1.0,7.0,4.0,6.0,8.0,1.0,1.0,3.0,2596.0,91.0,30.0,57.0,3.0,734.0,803.0,82.0,4.0
1097,,,,,,,,,,,,,,,,,,,
1098,20.0,0.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,1111.0,62.0,14.0,30.0,12.0,785.0,894.0,146.0,0.0
1103,559.0,0.0,20.0,10.0,75.0,6.0,242.0,25.0,8.0,5.0,2444.0,576.0,159.0,394.0,17.0,718.0,835.0,205.0,7.0
1104,580.0,0.0,11.0,34.0,108.0,28.0,44.0,23.0,54.0,29.0,23094.0,330.0,120.0,184.0,25.0,636.0,779.0,68.0,0.0
1105,276.0,0.0,22.0,10.0,42.0,5.0,33.0,14.0,14.0,9.0,11394.0,584.0,201.0,361.0,20.0,608.0,748.0,76.0,0.0
1106,281.0,0.0,12.0,13.0,55.0,1.0,63.0,19.0,7.0,4.0,15383.0,45.0,11.0,16.0,15.0,728.0,806.0,49.0,1.0
1107,155.0,0.0,2.0,6.0,73.0,6.0,7.0,6.0,5.0,1.0,11459.0,483.0,198.0,255.0,24.0,574.0,736.0,47.0,1.0
1108,280.0,0.0,4.0,16.0,34.0,9.0,21.0,21.0,8.0,13.0,28572.0,313.0,128.0,172.0,8.0,596.0,750.0,64.0,2.0
1109,321.0,0.0,7.0,17.0,46.0,10.0,25.0,8.0,8.0,11.0,27377.0,317.0,116.0,176.0,23.0,597.0,766.0,62.0,0.0
1118,134.0,0.0,3.0,15.0,29.0,1.0,13.0,3.0,2.0,2.0,14335.0,149.0,56.0,78.0,11.0,708.0,803.0,109.0,0.0
1119,151.0,0.0,6.0,8.0,18.0,0.0,12.0,9.0,0.0,2.0,12379.0,166.0,51.0,100.0,16.0,679.0,810.0,74.0,2.0
1128,52.0,0.0,0.0,8.0,7.0,1.0,9.0,0.0,0.0,0.0,2710.0,20.0,3.0,18.0,0.0,750.0,900.0,72.0,0.0
1129,161.0,0.0,4.0,7.0,13.0,4.0,11.0,2.0,4.0,1.0,7184.0,150.0,50.0,80.0,15.0,727.0,822.0,78.0,0.0
1151,149.0,0.0,2.0,12.0,10.0,22.0,14.0,6.0,7.0,8.0,9405.0,297.0,133.0,139.0,17.0,593.0,723.0,76.0,0.0
1201,1348.0,1.0,60.0,133.0,230.0,50.0,194.0,39.0,54.0,26.0,44657.0,170.0,48.0,104.0,16.0,734.0,832.0,96.0,2.0
1220,164.0,1.0,2.0,34.0,10.0,8.0,16.0,4.0,4.0,3.0,8345.0,108.0,27.0,61.0,22.0,740.0,852.0,93.0,0.0
1222,17.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,849.0,53.0,0.0,48.0,7.0,801.0,874.0,135.0,0.0
1223,42.0,0.0,4.0,12.0,0.0,1.0,2.0,0.0,0.0,1.0,2250.0,61.0,12.0,39.0,8.0,813.0,885.0,90.0,0.0
1224,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,186.0,110.0,51.0,52.0,0.0,805.0,974.0,351.0,0.0
1225,53.0,0.0,0.0,14.0,2.0,1.0,2.0,2.0,0.0,2.0,3206.0,52.0,7.0,42.0,2.0,775.0,872.0,114.0,10.0
1226,131.0,0.0,4.0,26.0,9.0,7.0,17.0,10.0,4.0,0.0,6841.0,113.0,25.0,62.0,27.0,750.0,855.0,81.0,2.0
1229,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,103.0,53.0,0.0,53.0,0.0,784.0,787.0,0.0,0.0
1230,430.0,1.0,26.0,39.0,45.0,12.0,60.0,13.0,11.0,4.0,7328.0,64.0,18.0,42.0,3.0,790.0,872.0,133.0,1.0
1235,49.0,0.0,1.0,18.0,2.0,2.0,2.0,1.0,0.0,1.0,2695.0,73.0,14.0,49.0,10.0,766.0,829.0,83.0,0.0
1236,43.0,0.0,1.0,10.0,2.0,4.0,5.0,0.0,0.0,0.0,1353.0,15.0,0.0,6.0,8.0,674.0,815.0,20.0,4.0
1237,126.0,1.0,5.0,18.0,6.0,3.0,5.0,3.0,2.0,1.0,2808.0,45.0,0.0,42.0,2.0,702.0,797.0,51.0,0.0
1238,287.0,0.0,9.0,26.0,12.0,6.0,25.0,5.0,6.0,3.0,5873.0,108.0,15.0,80.0,12.0,758.0,855.0,76.0,0.0
1240,253.0,0.0,13.0,13.0,20.0,5.0,35.0,8.0,7.0,2.0,4357.0,86.0,9.0,46.0,34.0,807.0,886.0,66.0,0.0
1242,17.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,421.0,6.0,0.0,6.0,0.0,719.0,710.0,184.0,0.0
1243,6.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,386.0,71.0,7.0,42.0,24.0,890.0,922.0,103.0,0.0
1244,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,82.0,113.0,0.0,0.0,118.0,895.0,895.0,120.0,0.0
1245,24.0,0.0,4.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,866.0,130.0,23.0,104.0,3.0,844.0,910.0,107.0,6.0
1247,338.0,0.0,15.0,31.0,42.0,15.0,32.0,11.0,7.0,10.0,14873.0,183.0,47.0,112.0,27.0,748.0,853.0,81.0,0.0
1253,34.0,0.0,2.0,13.0,3.0,0.0,1.0,2.0,0.0,0.0,740.0,28.0,0.0,8.0,23.0,818.0,855.0,36.0,0.0
1254,31.0,1.0,1.0,9.0,2.0,0.0,5.0,0.0,2.0,0.0,994.0,73.0,7.0,59.0,6.0,841.0,896.0,80.0,0.0
1255,20.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,824.0,47.0,0.0,38.0,9.0,715.0,845.0,67.0,0.0
1256,5.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,761.0,78.0,30.0,29.0,15.0,761.0,858.0,59.0,0.0
1257,114.0,0.0,4.0,22.0,2.0,13.0,8.0,1.0,2.0,4.0,2179.0,165.0,64.0,79.0,21.0,769.0,879.0,139.0,5.0
1258,34.0,0.0,1.0,7.0,2.0,0.0,5.0,1.0,1.0,0.0,360.0,86.0,0.0,55.0,35.0,945.0,957.0,183.0,0.0
1259,25.0,0.0,2.0,7.0,0.0,0.0,2.0,1.0,2.0,0.0,564.0,73.0,10.0,63.0,0.0,925.0,970.0,125.0,0.0
1260,13.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,536.0,51.0,0.0,20.0,32.0,603.0,764.0,174.0,0.0
1262,78.0,2.0,10.0,7.0,5.0,2.0,9.0,1.0,1.0,0.0,1154.0,151.0,5.0,109.0,40.0,843.0,914.0,73.0,0.0
1264,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,177.0,0.0,68.0,116.0,919.0,936.0,67.0,0.0
1266,44.0,0.0,0.0,11.0,0.0,1.0,5.0,2.0,0.0,0.0,1395.0,50.0,0.0,38.0,11.0,827.0,881.0,92.0,0.0
1267,218.0,1.0,17.0,13.0,24.0,4.0,36.0,4.0,1.0,3.0,5332.0,115.0,19.0,80.0,13.0,732.0,822.0,92.0,5.0
1270,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,90.0,20.0,61.0,8.0,772.0,873.0,104.0,3.0
1301,593.0,0.0,24.0,32.0,107.0,32.0,82.0,19.0,21.0,5.0,17307.0,137.0,36.0,83.0,13.0,740.0,840.0,116.0,1.0
1330,35.0,0.0,2.0,4.0,0.0,6.0,4.0,3.0,1.0,0.0,1485.0,59.0,9.0,40.0,8.0,785.0,878.0,116.0,2.0
1331,214.0,0.0,6.0,20.0,34.0,8.0,20.0,12.0,6.0,7.0,13195.0,162.0,46.0,106.0,9.0,717.0,831.0,82.0,0.0
1337,46.0,0.0,2.0,13.0,2.0,3.0,0.0,1.0,2.0,2.0,2618.0,76.0,15.0,42.0,20.0,782.0,844.0,95.0,3.0
1338,13.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,2.0,139.0,36.0,0.0,0.0,40.0,869.0,928.0,33.0,0.0
1339,31.0,0.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,1478.0,109.0,22.0,75.0,11.0,753.0,858.0,100.0,10.0
1340,18.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0,1715.0,133.0,42.0,72.0,16.0,771.0,859.0,74.0,0.0
1341,27.0,0.0,3.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0,1693.0,29.0,1.0,24.0,3.0,749.0,835.0,73.0,5.0
1342,27.0,0.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,1691.0,99.0,19.0,70.0,7.0,795.0,837.0,227.0,8.0
1343,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,989.0,1001.0,0.0,0.0
1344,21.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,1568.0,137.0,47.0,78.0,7.0,752.0,842.0,115.0,7.0
1346,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,110.0,30.0,58.0,25.0,758.0,847.0,84.0,0.0
1347,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,175.0,0.0,129.0,50.0,732.0,806.0,227.0,50.0
1349,7.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1112.0,46.0,15.0,23.0,4.0,719.0,848.0,92.0,0.0
1350,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,95.0,71.0,21.0,48.0,0.0,764.0,883.0,72.0,0.0
1351,29.0,0.0,0.0,5.0,1.0,1.0,6.0,1.0,3.0,1.0,2332.0,86.0,26.0,43.0,16.0,775.0,870.0,130.0,0.0
1354,21.0,0.0,1.0,6.0,2.0,0.0,1.0,0.0,0.0,3.0,1673.0,82.0,0.0,79.0,3.0,783.0,903.0,151.0,0.0
1355,20.0,1.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,930.0,64.0,2.0,45.0,17.0,771.0,842.0,121.0,5.0
1360,48.0,2.0,1.0,12.0,2.0,4.0,4.0,0.0,2.0,1.0,2999.0,45.0,3.0,33.0,9.0,771.0,836.0,103.0,3.0
1364,138.0,1.0,4.0,8.0,14.0,20.0,10.0,3.0,6.0,7.0,7866.0,142.0,31.0,86.0,24.0,728.0,831.0,55.0,1.0
1366,30.0,0.0,2.0,5.0,2.0,1.0,5.0,2.0,0.0,0.0,1183.0,51.0,5.0,33.0,12.0,769.0,896.0,73.0,0.0
1367,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,667.0,238.0,123.0,105.0,3.0,683.0,762.0,84.0,1.0
1368,9.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1336.0,107.0,20.0,82.0,5.0,754.0,866.0,83.0,3.0
1370,117.0,0.0,11.0,8.0,8.0,8.0,20.0,4.0,3.0,2.0,3904.0,102.0,19.0,78.0,4.0,783.0,878.0,92.0,1.0
1373,147.0,0.0,3.0,20.0,15.0,8.0,20.0,1.0,9.0,6.0,4223.0,59.0,5.0,45.0,9.0,765.0,834.0,102.0,0.0
1375,54.0,0.0,3.0,4.0,3.0,0.0,9.0,5.0,1.0,0.0,3671.0,186.0,8.0,179.0,1.0,630.0,878.0,172.0,9.0
1376,101.0,0.0,3.0,2.0,21.0,10.0,9.0,2.0,4.0,0.0,5019.0,221.0,86.0,121.0,9.0,759.0,843.0,133.0,0.0
1378,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,91.0,16.0,57.0,20.0,814.0,909.0,99.0,0.0
1379,12.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,781.0,170.0,20.0,136.0,14.0,829.0,864.0,80.0,5.0
1420,782.0,0.0,15.0,63.0,120.0,52.0,83.0,30.0,33.0,21.0,38857.0,200.0,63.0,119.0,16.0,663.0,799.0,103.0,5.0
1430,92.0,0.0,2.0,19.0,7.0,7.0,14.0,1.0,3.0,2.0,6084.0,66.0,0.0,57.0,8.0,700.0,800.0,60.0,0.0
1431,60.0,1.0,1.0,20.0,2.0,4.0,5.0,1.0,0.0,3.0,3220.0,80.0,19.0,55.0,6.0,725.0,853.0,38.0,0.0
1432,237.0,0.0,5.0,26.0,19.0,25.0,28.0,9.0,13.0,18.0,7651.0,125.0,50.0,55.0,15.0,740.0,813.0,171.0,0.0
1434,78.0,0.0,3.0,1.0,9.0,14.0,12.0,5.0,8.0,3.0,664.0,241.0,0.0,229.0,16.0,779.0,906.0,68.0,0.0
1436,33.0,0.0,1.0,9.0,6.0,1.0,1.0,0.0,1.0,0.0,3674.0,94.0,27.0,54.0,12.0,675.0,765.0,36.0,0.0
1438,19.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,650.0,265.0,132.0,130.0,0.0,827.0,853.0,1.0,0.0
1440,409.0,0.0,15.0,20.0,71.0,34.0,42.0,9.0,6.0,9.0,19407.0,197.0,66.0,119.0,11.0,693.0,809.0,99.0,0.0
1450,227.0,1.0,9.0,37.0,29.0,8.0,39.0,5.0,10.0,3.0,11225.0,40.0,3.0,29.0,6.0,695.0,801.0,43.0,0.0
1451,136.0,3.0,8.0,16.0,20.0,5.0,37.0,8.0,5.0,2.0,4663.0,47.0,14.0,27.0,2.0,724.0,783.0,67.0,0.0
1452,50.0,2.0,1.0,14.0,5.0,2.0,8.0,2.0,2.0,0.0,4586.0,53.0,14.0,30.0,5.0,697.0,803.0,67.0,2.0
1453,1153.0,0.0,30.0,118.0,128.0,92.0,149.0,40.0,40.0,31.0,41397.0,143.0,41.0,83.0,15.0,715.0,817.0,101.0,0.0
1460,325.0,1.0,20.0,54.0,22.0,19.0,58.0,9.0,22.0,3.0,9492.0,28.0,5.0,20.0,2.0,733.0,824.0,73.0,0.0
1462,216.0,0.0,8.0,53.0,13.0,4.0,28.0,16.0,6.0,2.0,11021.0,78.0,22.0,41.0,15.0,730.0,827.0,84.0,1.0
1463,211.0,0.0,3.0,59.0,16.0,6.0,29.0,8.0,5.0,7.0,12153.0,52.0,9.0,37.0,6.0,685.0,790.0,63.0,0.0
1464,124.0,1.0,1.0,22.0,3.0,19.0,18.0,5.0,13.0,3.0,5951.0,110.0,37.0,65.0,6.0,735.0,842.0,90.0,0.0
1467,9.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,566.0,157.0,0.0,136.0,24.0,798.0,899.0,1.0,0.0
1468,61.0,0.0,2.0,13.0,3.0,5.0,10.0,2.0,2.0,3.0,3739.0,57.0,0.0,41.0,16.0,797.0,909.0,107.0,0.0
1469,132.0,0.0,7.0,27.0,4.0,3.0,15.0,3.0,3.0,0.0,7444.0,54.0,3.0,39.0,11.0,690.0,782.0,60.0,6.0
1473,181.0,5.0,3.0,31.0,16.0,10.0,13.0,7.0,12.0,5.0,7554.0,28.0,4.0,23.0,0.0,730.0,817.0,96.0,0.0
1474,27.0,0.0,0.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,1952.0,27.0,0.0,27.0,0.0,710.0,844.0,100.0,0.0
1475,146.0,0.0,3.0,22.0,11.0,14.0,9.0,2.0,9.0,2.0,10495.0,126.0,42.0,71.0,9.0,716.0,802.0,50.0,2.0
1501,608.0,1.0,14.0,59.0,65.0,20.0,71.0,23.0,47.0,9.0,16311.0,48.0,5.0,24.0,14.0,732.0,846.0,75.0,1.0
1503,82.0,2.0,1.0,18.0,2.0,3.0,6.0,6.0,5.0,2.0,3071.0,34.0,7.0,16.0,9.0,759.0,856.0,71.0,0.0
1504,136.0,0.0,1.0,41.0,9.0,2.0,8.0,2.0,7.0,3.0,9170.0,58.0,14.0,35.0,8.0,688.0,827.0,71.0,3.0
1505,127.0,0.0,10.0,26.0,2.0,5.0,23.0,10.0,3.0,8.0,4533.0,33.0,1.0,24.0,7.0,722.0,820.0,60.0,0.0
1506,42.0,0.0,0.0,8.0,4.0,5.0,2.0,1.0,2.0,1.0,3379.0,112.0,40.0,51.0,22.0,755.0,837.0,149.0,0.0
1507,267.0,0.0,12.0,59.0,21.0,13.0,31.0,3.0,11.0,12.0,13246.0,50.0,8.0,36.0,5.0,692.0,811.0,67.0,2.0
1510,249.0,0.0,3.0,34.0,14.0,20.0,31.0,9.0,14.0,4.0,13869.0,102.0,23.0,61.0,21.0,708.0,841.0,117.0,4.0
1515,43.0,0.0,3.0,3.0,0.0,0.0,6.0,1.0,2.0,3.0,2259.0,50.0,12.0,25.0,9.0,717.0,838.0,67.0,0.0
1516,131.0,0.0,4.0,39.0,8.0,9.0,13.0,4.0,2.0,4.0,8724.0,31.0,5.0,17.0,8.0,677.0,792.0,87.0,0.0
1518,63.0,0.0,2.0,4.0,2.0,1.0,11.0,1.0,2.0,0.0,3013.0,62.0,0.0,16.0,47.0,718.0,797.0,21.0,0.0
1519,104.0,2.0,5.0,17.0,9.0,1.0,17.0,2.0,6.0,2.0,6628.0,45.0,4.0,22.0,15.0,724.0,820.0,71.0,0.0
1520,286.0,0.0,4.0,41.0,40.0,7.0,50.0,11.0,8.0,2.0,14903.0,33.0,4.0,21.0,6.0,703.0,807.0,52.0,0.0
1521,19.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,2387.0,54.0,2.0,48.0,3.0,739.0,869.0,70.0,0.0
1522,33.0,0.0,2.0,4.0,3.0,2.0,5.0,1.0,0.0,1.0,3407.0,77.0,28.0,28.0,21.0,672.0,785.0,61.0,0.0
1523,127.0,0.0,7.0,20.0,19.0,4.0,21.0,3.0,11.0,2.0,6457.0,86.0,32.0,49.0,2.0,713.0,829.0,76.0,0.0
1524,111.0,0.0,6.0,28.0,11.0,3.0,13.0,0.0,3.0,1.0,6331.0,88.0,14.0,54.0,22.0,766.0,872.0,103.0,7.0
