	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS2012_TTL	NAICS_Sector	estab	emp	payann
132	5001	5	1	Arkansas County, Arkansas	532210	Consumer electronics and appliances rental	53	2.2	6.0	234.4
136	5001	5	1	Arkansas County, Arkansas	541110	Offices of lawyers	54	8.4	38.4	1027.2
139	5001	5	1	Arkansas County, Arkansas	541213	Tax preparation services	54	2.6	2.4	28.2
140	5001	5	1	Arkansas County, Arkansas	541219	Other accounting services	54	3.0	9.0	251.8
155	5001	5	1	Arkansas County, Arkansas	561730	Landscaping services	56	2.4	1.8	14.4
161	5001	5	1	Arkansas County, Arkansas	621111	Offices of physicians (except mental health specialists)	62	9.0	18.8	4264.6
162	5001	5	1	Arkansas County, Arkansas	621210	Offices of dentists	62	5.0	44.4	1694.6
165	5001	5	1	Arkansas County, Arkansas	621340	Offices of physical, occupational and speech therapists, and audiologists	62	5.2	5.0	228.8
172	5001	5	1	Arkansas County, Arkansas	623110	Nursing care facilities (skilled nursing facilities)	62	2.4	91.4	1969.8
173	5001	5	1	Arkansas County, Arkansas	623312	Assisted living facilities for the elderly	62	3.0	13.4	251.0
179	5001	5	1	Arkansas County, Arkansas	624410	Child day care services	62	3.4	20.0	256.6
184	5001	5	1	Arkansas County, Arkansas	713950	Bowling centers	71	2.2	3.2	40.4
185	5001	5	1	Arkansas County, Arkansas	713990	All other amusement and recreation industries	71	3.6	1.6	79.4
186	5001	5	1	Arkansas County, Arkansas	721110	Hotels (except casino hotels) and motels	72	6.2	33.0	448.6
190	5001	5	1	Arkansas County, Arkansas	722511	Full-service restaurants	72	13.4	111.2	1433.2
191	5001	5	1	Arkansas County, Arkansas	722513	Limited-service restaurants	72	10.4	231.4	2787.6
193	5001	5	1	Arkansas County, Arkansas	722515	Snack and nonalcoholic beverage bars	72	1.75	1.0	13.75
194	5001	5	1	Arkansas County, Arkansas	811111	General automotive repair	81	4.4	5.2	162.8
196	5001	5	1	Arkansas County, Arkansas	811121	Automotive body, paint, and interior repair and maintenance	81	7.2	10.4	500.8
200	5001	5	1	Arkansas County, Arkansas	811310	Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance	81	3.8	18.2	683.8
207	5001	5	1	Arkansas County, Arkansas	813110	Religious organizations	81	25.0	154.2	2431.6
212	5003	5	3	Ashley County, Arkansas	113310	Logging	11	18.6	229.0	8503.6
