zcta,HouseCount,HouseMedianIncome,House0to10K,House10to15K,House15to25K,JobCount
1960,21251,65060,5.1,5.7,7.8,5776
1966,3201,72015,4,3.3,9.8,382
1969,2186,89338,7.8,1.5,2.7,428
1970,18277,65476,6.8,6.7,10.2,4580
1982,2677,112250,5.5,2.2,6.6,568
1983,2237,131387,0.4,2,6.1,482
1984,1381,96979,2,1.6,9,174
1985,1596,135882,3.2,1.3,3.4,142
2019,6347,95533,4,2.6,4.3,814
2021,9026,96583,4,4.1,4.3,1892
2025,3046,140000,2,2.8,8.5,562
2026,9865,89451,3.1,2.9,6.9,3684
2030,2011,204018,0,0.3,1.2,240
2032,1644,120250,0,1.2,4.2,270
2035,6626,98199,1.4,2.6,5,1220
2038,11288,111935,2.7,2.1,3.9,1680
2043,8712,125144,4.3,2.7,5.4,5136
2045,4892,80584,3.3,2.3,12.5,310
2047,50,26953,0,0,0,12
2048,8471,111141,2.4,0.7,3.8,1190
2050,9495,92610,4.9,3.9,4.7,6276
2052,4189,153847,2.5,2.1,3.2,606
2053,4642,115432,1.6,2.5,4.6,618
2054,3100,100230,3.2,0.5,7,390
2056,3183,139137,2.2,1.2,3.3,478
2061,3632,128563,2.4,1.8,3.8,1222
2062,11757,87516,3.8,3.7,7.9,2504
2066,6650,114766,2.3,3.1,4.3,2896
2067,6220,133229,2.5,1.6,2.1,760
2071,300,115333,0,0,0,32
2072,10724,78343,4.3,4.7,6.7,1800
2081,7027,105420,1.6,2.1,6.3,1200
2090,5528,146042,1.9,1,5.1,972
2093,4076,107444,3.7,2.3,5.9,1664
2108,1888,126224,7.5,1.3,0,4632
2109,1943,129716,3.9,2.3,3.1,8256
2110,1347,108438,2.3,5,5.9,11100
2111,3202,39329,18.3,8.5,13.1,18054
2113,4370,91212,4.5,2.4,6.3,370
2114,7196,89452,7.6,5.9,5.9,2764
2115,9258,38759,21.6,8.2,11,2412
2116,11987,103422,8.6,5.3,5.1,12414
2118,12514,70575,14,7.5,7.8,1618
2119,11261,30663,19.6,10.7,14.1,906
2120,4991,32243,20.3,10,12.3,352
2121,10471,27964,20.7,12.6,11.7,378
2122,8384,56024,9.2,6.2,10.6,1086
2124,19130,50227,11.3,8.8,10.2,1140
2125,12586,53382,11.3,9.2,8.2,912
2126,10027,50039,9.2,7.3,12.1,412
2127,17056,91597,7.8,6.1,7.1,1352
2128,16286,52154,9.3,5.8,10.8,1550
2129,8931,103834,6.5,8.3,6.6,984
2130,16336,84847,7.8,5.2,6.6,1328
2131,12480,72127,6.4,4.7,8.3,850
2132,11333,93343,3.3,3.1,9.3,1042
2134,7855,49938,13.6,7,7.4,1074
2135,19063,61566,11.3,7.5,6.5,1376
2136,11762,64877,7.5,5.6,7.7,1816
2138,13542,87671,8.4,2.4,5.3,4708
2139,14094,91250,5.7,5,6,2248
2140,8891,91596,8,5.4,6.1,1032
2141,6437,77261,11.6,5.8,7.3,934
2142,1326,120729,9.5,2.9,0.7,1078
2143,11238,90285,5.5,3.6,4.3,1306
2144,10792,102033,4.4,3.9,5.1,882
2145,10409,68553,6,4.4,7.9,824
2148,23081,62283,9.3,6.8,7.1,1944
2149,15521,57143,7.4,3.6,11.1,1532
2150,12714,51875,8.8,6.7,10.6,4212
2151,19986,53771,7.6,5.7,10.1,1618
2152,7747,69928,4.9,5.2,8.1,536
2155,22474,86459,5.1,3.6,7.7,6990
2163,528,64000,8.5,4.4,14.8,58
2169,24770,67028,7,4.4,9.7,6200
2170,7766,82159,4.4,4.8,7.9,524
2171,7631,78839,4.8,4.3,6.3,814
2176,11481,93434,2.1,2.6,8,1040
2180,9062,90320,3.2,3.4,5.4,1220
2184,14017,88993,4.2,3,6,6000
2186,8970,126000,2.3,2.3,5.7,1784
2188,6296,81040,3.8,2.9,6,590
2189,6179,58674,4.4,6,10.5,814
2190,7038,85053,2.8,2.1,5.1,742
2191,3501,73948,2.1,3.2,6.2,288
2199,743,82238,19.5,2.7,1.5,504
2203,27,-,48.1,51.9,0,56
2210,1543,170152,0.6,0.6,2.5,1982
2215,7463,43403,24.5,7.3,7.2,1150
2301,21042,47724,8.7,7.1,12.7,8238
2302,11158,63718,5.5,5.6,8.9,1536
2322,1574,69709,3.6,3.3,6.7,476
2324,7897,88640,5.2,2,4.7,2032
2330,4460,73904,4.6,4.1,5.7,772
2332,5427,123613,2.6,1.8,3.1,1280
2333,4854,86568,2.2,1.9,3.5,1008
2338,2850,77993,1.1,3.3,8.8,226
2339,4980,111311,2.6,2.1,7.4,2580
2341,3720,96389,3.7,1.9,3.4,728
2343,4257,67589,2.4,3.9,6,520
2346,9078,79811,4,3.1,4.4,2180
2347,3956,97990,2,2.2,4,1728
2351,6236,91643,2.2,3,6.1,696
2356,4395,113783,2.4,1.5,4,1132
2357,24,-,0,0,0,6
2359,6464,101447,1.4,1.2,3.3,3120
2360,22468,83746,4.2,3.1,4.8,15170
2364,4758,89796,2.3,2.8,7.6,786
2366,0,-,-,-,-,22
2367,1005,87438,4.6,2.6,3.4,134
2368,12226,70163,5.3,4.8,7.3,1236
2370,6853,77573,2.5,2,5.9,940
2375,3656,94457,1.7,1.7,3.4,810
2379,2469,85368,3.4,1,5.4,736
2382,5380,79705,4.1,2.6,6.6,482
2420,5058,168065,2.7,1.5,2.6,1000
2421,6697,158554,3.1,2.4,3.8,1106
2445,8473,111642,4.6,2.8,6,1932
2446,13301,102342,8.6,3.3,3.4,1512
2451,7346,94886,4.4,2.2,4.8,5136
2452,5112,87055,5.2,1.9,4.2,898
2453,11244,73042,7.1,3.6,6.9,3340
2457,0,-,-,-,-,36
2458,4942,103978,2.2,1.7,4.3,2036
2459,6680,169963,3.2,2.9,4.3,1444
2460,3722,118148,2.7,2.7,3.2,536
2461,2683,159517,1.3,1,1.6,524
2462,612,104375,5.4,1.6,15,228
2464,1247,102946,1.9,2.3,5.9,528
2465,4296,137438,2.4,1.3,4.3,640
2466,2820,115345,3.3,3.3,6.3,556
2467,6181,119964,3.8,1.6,4.4,1036
2468,1924,212394,1.6,0.9,0,198
2472,15233,92959,4.1,2.2,5.9,8048
2474,11400,104583,4.2,2.7,4.3,970
2476,7232,101713,3.3,2.7,6.3,1656
2478,9708,118342,3.6,1.5,4.4,2400
2481,4736,187819,2.8,1.4,3.4,1450
2482,3922,160644,2.4,0.4,4.3,876
2492,7063,147375,3.4,1.6,3.1,1082
2493,3764,196651,4.2,2.5,3.1,658
2494,3589,126866,3.3,2.4,2.2,1392
2532,5685,75502,2.7,4,8.6,624
2534,277,88844,0,0,5.1,140
2535,468,79792,4.9,2.6,10.5,196
2536,8094,67880,3,3.2,9.4,744
2537,2430,95966,1.8,3,4.3,234
2538,1440,67993,4.5,6,5.9,226
2539,1597,75404,4.9,1.8,3.2,668
2540,3974,70758,4.9,6.9,13.2,3042
2542,278,48750,0,0,15.1,22
2543,432,92188,2.8,5.6,0,92
2553,35,-,0,0,40,46
2554,3651,92327,1.3,3.8,4.1,1874
2556,1383,83659,1.2,1.1,2,212
2557,1684,66091,8.8,3.8,2.4,466
2558,464,33679,19.8,0,9.5,64
2559,1818,71741,1.5,1.6,14.9,224
2561,170,-,21.2,0,21.2,80
2562,1244,86310,1.5,2,3.5,180
2563,3854,84087,2.1,3.8,3.3,752
2564,100,-,0,0,5,38
2568,1442,48869,4.3,2.5,13.7,740
2571,4578,59449,5.8,3.8,10.3,676
2575,930,92188,0,6,4.5,180
2576,1899,84497,3.3,3.4,11.2,180
2584,10,-,0,0,0,112
2601,6319,46821,6.4,8.9,12.4,2456
2630,839,106299,1.7,0,6.3,190
2631,4267,69606,4.1,5.5,7.6,598
2632,4336,80072,2.6,2.7,6.8,1124
2633,1921,76793,5.5,1.9,11.5,492
2635,1556,62021,5.7,0,11.4,178
2637,56,142692,0,0,0,20
2638,1514,70850,3.6,0.7,10.9,186
2639,1553,44787,3.8,5.7,15.5,248
2641,101,-,16.8,0,0,82
2642,2446,62143,3.6,6.2,7.5,208
2643,0,-,-,-,-,50
2644,1512,92286,1.9,2.1,9.9,158
2645,4260,78077,4.6,3.2,8.6,1024
2646,887,62933,2.9,4.3,14,226
2647,74,-,0,0,0,30
2648,2696,82406,4.3,3.1,6.8,376
2649,6279,73841,3.4,2.8,7.6,876
2650,375,77991,1.6,1.9,5.1,64
2651,0,-,-,-,-,130
2652,439,60250,1.1,4.8,3.2,130
2653,2895,61506,5.1,8.5,8.5,1596
2655,1468,75000,3,2.5,10.8,394
2657,1772,47500,5.2,8.6,14.7,764
2659,481,57540,5,6.7,7.9,104
2660,3202,54924,5.3,4.9,10.5,464
2663,47,61875,0,0,0,42
2664,4176,56242,3.5,5.7,10,682
2666,357,63306,10.4,9.8,8.7,86
2667,1456,57667,4.6,5.7,16.1,290
2668,1209,94250,6.2,0,4.1,188
2669,48,89737,0,0,0,64
2670,661,63675,3.2,3.6,6.2,118
2671,456,60000,1.8,9.4,8.3,96
2672,135,-,0,0,0,20
2673,3723,70736,2.1,4.1,7.8,490
2675,3031,68638,3.6,3.2,9.6,318
2702,1516,94773,2,0,7.7,200
2703,17094,70136,3.9,5.2,8.2,1846
2713,12,-,8.3,0,0,16
2715,1303,98112,3.7,1.6,4.6,132
2717,1689,81123,4.4,3.1,3,192
2718,2287,93034,3.5,5.1,4.2,232
2719,6506,62090,4.7,5.9,10.4,782
2720,13223,47992,6.9,7.4,13.6,2964
2721,10897,33383,12.1,12,17.2,1152
2723,6672,37617,6.8,13.6,16.6,486
2724,7621,37932,8.8,14.5,13.9,440
2725,933,70183,1.8,5.7,10.5,126
2726,6062,75154,3.9,2.3,7.6,556
2738,1897,76576,4.5,4.3,6.2,298
2739,2429,85870,1.1,2.7,4.2,394
2740,18406,37784,9.5,12.6,14,5694
2743,4033,69402,2.7,1.4,10.3,328
2744,4654,33125,13.1,9.8,14.6,350
2745,10119,56277,6.6,5.5,11.1,1006
2746,6218,32554,13,14.9,12.9,590
2747,6970,75891,5.9,5.9,5.4,1326
2748,4733,70828,3.1,4.8,10.8,884
2760,10049,85864,3.8,3,5.9,2768
2762,3474,93889,3.2,3.2,6.8,656
2763,693,106118,1.2,0,3.9,256
2764,1438,82130,1.2,3.3,5.1,148
2766,6532,102869,2,1.6,5.2,1528
2767,4838,93125,1.3,2.1,9.3,2084
2769,4048,96098,1.4,0.8,4.5,532
2770,1798,102227,1.1,1.1,3.2,180
2771,5886,86014,1.8,5.1,4.4,1100
2777,6223,81469,3.2,2,9.8,896
2779,2388,89597,5.7,0,2.5,176
2780,19934,53201,6.7,6.5,10.7,2130
2790,6239,80569,2.8,4,8.9,780
2791,153,74009,18.3,0,5.9,16
2802,324,51582,0,0,0,22
2804,911,92961,3.2,0,1.6,152
2806,6075,117408,2.9,1.5,3.3,696
2807,443,76174,4.5,3.2,9.5,378
2808,860,76848,6.6,1.4,4.7,46
2809,8489,65890,5.5,5.6,7.2,1090
2812,418,123047,0,0,0,42
2813,3271,72648,2.9,4.2,7.5,380
2814,2750,93468,3.3,4.5,4.9,560
2815,87,214205,0,0,18.4,6
2816,13152,67115,3,3.5,8.2,1116
2817,2178,102616,2.5,0,0,310
2818,7567,97800,4,2,6.4,1374
2822,2442,80893,4.1,6.8,4.5,604
2825,2081,79870,1.3,3,2.9,190
2826,357,70760,3.6,3.4,4.5,24
2827,808,87500,1.6,0.6,8.7,48
2828,3002,79103,4.7,1.8,7,444
2830,2203,67589,4.6,3.4,12.5,228
2831,1170,91346,1.5,2.1,5.5,268
2832,1923,85324,0.7,6.4,5.9,152
2833,385,84770,3.4,9.4,7.8,30
2835,2303,105201,4.3,0.6,4.2,304
2836,60,-,0,0,0,8
2837,1653,69620,6.2,3,4.2,428
2838,1414,60278,5,5.1,11.2,88
2839,714,49958,5.7,5.5,10.1,34
2840,10531,65317,7.8,7.3,8.4,2150
2841,0,-,-,-,-,64
2842,6824,65851,5.2,4.9,6.4,1232
2852,8928,83320,4.8,5.1,7.1,1596
2857,3454,82621,1.7,2.7,7,334
2858,217,-,0,0,0,20
2859,2473,76146,3.9,0.8,8.4,184
2860,17926,40455,10,9.8,14.5,3908
2861,9831,55683,5.9,4.4,9.9,890
2863,6310,30794,13.4,9,17.9,452
2864,13495,81810,4.9,5.4,6.9,1502
2865,6199,77817,2.8,4.8,5.4,1198
2871,7121,91892,3.5,3.2,5.8,864
2872,148,-,0,0,0,10
2873,137,73991,0,0,0,12
2874,2223,133655,2.5,0.4,1.9,190
2875,207,100673,0,0,6.3,12
2876,90,21667,30,0,30,80
2878,6841,75716,4.4,3,6.6,642
2879,8337,79537,4.2,3.2,8.3,3954
2881,1062,80208,12.2,6.5,6.2,210
2882,6025,65385,9.2,5.9,6,802
2885,4957,55689,6.8,4.4,12.2,720
2886,12509,70196,6.5,5.8,10.2,6704
2888,8327,67579,4.4,3.3,9.4,1320
2889,11312,70955,4,3.9,9.5,800
2891,9253,62743,5,3.8,13.3,1454
2892,1853,94176,0.7,1.4,1.3,226
2893,13135,51740,8.4,5,11.5,1058
2894,271,81417,5.5,15.1,0,28
2895,17054,38340,13.2,8.2,12.9,1792
2896,4446,81987,3.3,5.6,6.1,1244
2898,599,82996,0,0,0,166
2903,4802,30711,29.7,10.1,6.1,9846
2904,12755,41054,14.5,6.5,8.8,3112
2905,8796,41050,13.1,7.3,13,1054
2906,10941,77411,7.5,4.3,8.6,1476
2907,8865,35512,11.3,10.5,16.3,1082
2908,12204,45042,9.8,5.5,11.9,2136
2909,14790,33661,17.9,8.3,14.5,1324
2910,8128,62941,3.7,4,8,1122
2911,6655,57019,5.8,7.2,8.4,478
2912,0,-,-,-,-,24
2914,8807,47985,8.2,8.7,9.8,1544
2915,7329,59301,9.1,5.8,9.2,668
2916,3749,70184,3.1,3,10.1,396
2917,4527,83010,3.4,4.1,5.3,1188
2919,11992,60574,5.5,3.9,9.7,1938
2920,14064,53159,6.9,5,10.2,2410
2921,4489,103838,2.6,2,7.7,568
3031,4081,125445,1.5,0.3,4.4,858
3032,1984,114041,1.1,1,3.7,282
3033,1750,127222,0.6,0.6,0.4,166
3034,1534,95430,3.2,0.5,5,344
3036,1694,122083,0.5,0.7,1.4,124
3037,1611,92598,3.1,1.6,0.4,162
3038,13154,68322,2.5,2.9,6,2612
3042,2668,74268,0.7,2.4,10.2,392
3043,639,93281,3.1,3.8,5.6,50
3044,1700,91486,2.2,1.4,1,116
3045,5197,83556,4.6,3.4,2.4,528
3046,977,102375,1,0.5,2.1,68
3047,642,71429,4.5,5.3,5.9,64
3048,1411,70529,2.8,1.7,11.5,116
3049,3010,126379,0.5,2.6,3.2,310
3051,8955,93181,2.8,1.1,4.4,1208
3052,3101,93351,0,2,5.7,168
3053,8883,97604,1.2,1.7,4.4,1422
3054,9745,97400,2.6,1.9,3.9,1524
3055,5989,73557,2.4,2.3,8.9,812
3057,880,104327,1.1,0,4.8,44
