FMID,Name,Website ,Address,City,State,ZIP,EBT/Snaps,Fresh Produce,Type,Day of Week ,Month ,Time of Day ,Tags,Comments,Lat,Long
,Kroger_GlenwoodPlace,https://www.kroger.com/stores/details/011/00672,800 Glenwood Ave SE,Atlanta,GA,30316,,,Traditional Grocery Stores,DAILY,,6AM-1AM,,,33.74155,-84.36049
,Kroger_HeadlandDR,https://www.kroger.com/stores/details/011/00462,3030 Headland Dr SW,Atlanta,GA,30311,,,Traditional Grocery Stores,DAILY,,6AM-1PM,,,33.68833,-84.48732
,Kroger_HowellMill,https://www.kroger.com/stores/details/011/00346,1715 Howell Mill Rd NW,Atlanta,GA,30318,,,Traditional Grocery Stores,DAILY,,6AM-1PM,,,33.80116,-84.4147
,Kroger_MetropolitanPKWY,https://www.kroger.com/stores/details/011/00364,2685 Metropolitan Pkwy SW,Atlanta,GA,30315,,,Traditional Grocery Stores,DAILY,,6AM-1AM,,,33.68243,-84.40895
,Kroger_Monroe,https://www.kroger.com/stores/details/011/00298,1700 Monroe Dr NE ,Atlanta,GA,30324,,,Traditional Grocery Stores,DAILY,,24 HOURS,,,33.80056,-84.37272
,Kroger_Piedmont,https://www.kroger.com/stores/details/011/00259,3330 Piedmont Rd NE,Atlanta,GA,30305,,,Traditional Grocery Stores,DAILY,,6AM-1AM,,,33.84605,-84.37397
,Piggly Wiggly,http://www.pigglywiggly.com/store/1257-moreland-ave-atlanta-ga,1257 Moreland Ave SE,Atlanta,GA,30316,,,Traditional Grocery Stores,,,,,,33.7201,-84.3503
,Publix Super Market at Ansley Mall,https://www.publix.com/locations/599-ansley-mall,1544 Piedmont Ave NE,Atlanta,GA,30324,,,Traditional Grocery Stores,,,,,,33.79788,-84.37101
,Publix Super Market at Howell Mill Village,https://www.publix.com/locations/599-ansley-mall,2020 Howell Mill Rd NW A,Atlanta,GA,30318,,,Traditional Grocery Stores,,,,,,33.81,-84.41327
,Publix Super Market at Ponce,https://www.publix.com/locations/599-ansley-mall,1001 Ponce De Leon Ave NE,Atlanta,GA,30306,,,Traditional Grocery Stores,,,,,,33.7737702,-84.354536
,Publix Super Market at The Peach,https://www.publix.com/locations/282-the-peach,2900 Peachtree Rd,Atlanta,GA,30305,,,Traditional Grocery Stores,,,,,,33.83443,-84.38367
,Publix Super Market In Atlantic Station,https://www.publix.com/locations/282-the-peach,1380 Atlantic Dr NW,Atlanta,GA,30363,,,Traditional Grocery Stores,,,,,,33.7925379,-84.3975514
,Publix_Carnia_ Princeton Lakes,https://www.publix.com/locations/1056-publix-at-princeton-lakes,3730 Carmia Dr SW Ste 200,Atlanta,GA,30331,,,Traditional Grocery Stores,,,,,,33.6563338,-84.5097805
,Publix_CheshireSq,https://www.publix.com/locations/1044-cheshire-square,2325 Cheshire Bridge Rd NE,Atlanta,GA,30324,,,Traditional Grocery Stores,,,,,,33.81882,-84.3507
,Publix_Lenox3535_Peachtree,http://www.publix.com/locations/664-lenox-marketplace,3535 Peachtree Rd,Atlanta,GA,30326,,,Traditional Grocery Stores,,,,,,33.85101,-84.35977
,Publix_Peachtree_Midtown ,https://www.publix.com/locations/1061-the-plaza-midtown,950_w_PeachtreeNE,Atlanta,GA,30309,,,Traditional Grocery Stores,,,,,,33.797305,-84.38771
,Publix_PEachtreeBattle,http://www.publix.com/locations/719-peachtree-battle-sc,2365 Peachtree Rd NE,Atlanta,GA,30305,,,Traditional Grocery Stores,,,,,,33.820029,-84.387762
,Publix_Piedmont,https://www.publix.com/locations/776-publix-at-piedmont,595 Piedmont Ave NE,Atlanta,GA,30308,,,Traditional Grocery Stores,,,,,,33.77044,-84.38131
,Publix_Roswell_ChastainSq,https://www.publix.com/locations/718-chastain-square,4279 Roswell Rd NE #300,Atlanta,GA,30342,,,Traditional Grocery Stores,,,,,,33.87107,-84.37966
,Publix_WestPacesFerry,https://www.publix.com/locations/720-west-paces-ferry,1250WestPacesFerryRdNW,Atlanta,GA,30327,,,Traditional Grocery Stores,,,,,,33.8493961,-84.4287391
,Sprouts Farmers Market,https://www.sprouts.com/store/ga/atlanta/atlanta-morningside/,1845 Piedmont Ave NE #500,Atlanta,GA,30324,,,Traditional Grocery Stores,,,,nat and organic ,,33.80603,-84.36627
,The Fresh Market_Roswell,https://www.thefreshmarket.com/my-market/store/4405roswell-atlanta,4405 Roswell Rd NE,Atlanta,GA,30342,,,Traditional Grocery Stores,,,,,,33.8754651,-84.380536
,Trader Joe's_Monroe,https://locations.traderjoes.com/ga/atlanta/730/,931 Monroe Cir NE,Atlanta,GA,30308,,,Traditional Grocery Stores,,,,,,33.7790338,-84.368936
,Trader Joe's_Peachtree,https://locations.traderjoes.com/ga/atlanta/735/,3183 Peachtree Rd,Atlanta,GA,30305,,,Traditional Grocery Stores,,,,,,33.84072,-84.37488
,Wayfield Foods,http://wayfieldfoods.com/stores,3050-H M.L.K. Jr Dr SW,Atlanta,GA,30311,,,Traditional Grocery Stores,,,,,,33.750828,-84.48647
,Wayfield Foods,http://wayfieldfoods.com/stores,3435 Roosevelt hwy,Atlanta,GA,30349,,,Traditional Grocery Stores,,,,,,,
,Whole Foods Market_WestPacesFerry,https://www.wholefoodsmarket.com/stores/buckhead,77 West Paces Ferry Rd NW,Atlanta,GA,30305,,,Traditional Grocery Stores,DAILY,7AM-10PM,,,,33.84064,-84.38192
,whole foods_Peachtree,https://www.wholefoodsmarket.com/stores/chamblee,3434 Peachtree Rd,,GA,30326,,,Traditional Grocery Stores,DAILY,7AM-10PM,,,,33.85039,-84.36314
,Whole Foods_Ponce,https://www.wholefoodsmarket.com/stores/poncedeleon,650 Ponce De Leon Ave NE,Atlanta,GA,30308,,,Traditional Grocery Stores,DAILY,7AM-10PM,,,,33.77367,-84.36523
,Whole Foods Briarcliff,https://www.wholefoodsmarket.com/stores/briarcliff,,,,,,,Traditional Grocery Stores,DAILY,7AM-10PM,,,,,
,L & M Market,,785 Argonne Ave NE,Atlanta,GA,30308,,,Healthy Corner Stores,,,,"some veggies, ham, turkey, cheese",,33.77603,-84.37739
,Atlanta Food Mart,,1190 Metropolitan Prkwy,Atlanta,GA,30310,,,Healthy Corner Stores,,,,,,33.72245,-84.40752
,Lakewood Food Mart,,"2808 Lakewood Avenue, Suite B, ",Atlanta,GA,30315,,,Healthy Corner Stores,,,,,,33.69694,-84.41029
,Texaco/EZ Market,,2100 Metropolitan Parkway,Atlanta,GA,30315,,,Healthy Corner Stores,,,,,,33.69699,-84.40775
,Quality Meat Market,,2034 Sylvan Road SW,Atlanta,GA,30310,,,Healthy Corner Stores,,8AM-5PM,,,,33.6989808,-84.4182385
,East Atlanta Village Farmers Market,cfmatl.org/EAV/,561 Flat Shoals Ave,Atlanta,GA,30316,,,Farmers Markets,THURS,APRIL-NOV,4PM-8PM,"ARTISAN GOODS, SOAPS, CHEESE, EGGS, PRODUCE",,33.7391785,-84.344236
,Freedom Farmers Market,freedomfarmersmkt.org,453 Freedom Pwky NE ,Atlanta,GA,30307,,,Farmers Markets,SAT,"JAN-FEB, MAR-DEC","9AM-NOON, 9AM-1PM","POP-UP CHEF, EGGS, BAKED GOODS, PRODUCE",,33.7661673,-84.3583537
,Good Samaritan Urban Farm & Market,https://goodsamatlanta.org/farm/,1015 Donald Lee Hollowell Pkwy NW ,Atlanta,GA,30318,,,Farmers Markets,MON-THURS,,9AM-1PM,"PRODUCE, BAKED GOODS, POPUP CHEFS",,33.774,-84.42053
,Grant Park Farmers Market,cfmatl.org/grantpark/,600 Cherokee Ave SE,Atlanta,GA,30312,,,Farmers Markets,SUN,APRIL-DEC,9AM-1PM,"PRODUCE, BAKED GOODS, POPUP CHEFS",,33.738107,-84.3735625
,Westside Growers Market,http://www.historicwestsidegardens.org/westside-growers-market/,North ave Joseph Lowery,Atlanta,GA,30318,,,Farmers Markets,,,,"PRODUCE, BAKED GOODS, POPUP CHEFS",,33.77004,-84.41731
,Peachtree Rd Farmers Market,peachtreeroadfarmersmarket.com,2744 Peachtree Rd NW,Atlanta,GA,30305,,,Farmers Markets,SAT,APRIL-DEC,9AM-12PM,"PRODUCE, BAKED GOODS, POPUP CHEFS",,33.83145,-84.38676
,Ponce City Market,cfmatl.org/poncecity/,675 Ponce de Leon Ave,Atlanta,GA,30308,,,Farmers Markets,TUES,APRIL-NOV,4PM-8PM,"PRODUCE, BAKED GOODS, POPUP CHEFS",,33.77237,-84.36609
,West End Beltline Farmers Market,facebook.com/WEFMATL,1354 Ralph D. Abernathy Blvd,Atlanta,GA,30310,,,Farmers Markets,SAT,MARCH-OCT,10AM-2PM,"PRODUCE, BAKED GOODS, POPUP CHEFS",,33.7389451,-84.4319243
,Green Market at Piedmont Park,piedmontpark.org/green-market/,12th and Piedmont Ave. ,Atlanta,GA,30309,,,Farmers Markets,SAT,MARCH-NOV,9AM-1PM,"PRODUCE, BAKED GOODS, FOOD TRUCKS, ARTISINAL",,33.78317,-84.379715
,GA Tech Farmer's Market,https://studentcenter.gatech.edu/events/georgia-tech-farmers-market-0,349 Ferst Drive ,Atlanta,GA,30318,,,Farmers Markets,WED,FEB-APRIL,10AM-2PM,"PRODUCE, BAKED GOODS, POPUP CHEFS",,33.7772494,-84.3953723
,Five Points Marta Station Farmer's Market,https://www.facebook.com/MARTAFresh/,30 Alabama St SW,Atlanta,GA,30303,YES,,Farmers Markets,FRI,MAY-NOV,3PM-7PM,"PRODUCE, BAKED GOODS, POPUP CHEFS",,33.7523199,-84.3897947
,West End Marta Station Farmer's Market,https://www.facebook.com/MARTAFresh/,680 Lee St ,Atlanta,GA,30310,YES,,Farmers Markets,TUES,MAY-NOV,3PM-7PM,"PRODUCE, BAKED GOODS, POPUP CHEFS",,33.73535,-84.41356
,HE Holmes Marta Station Farmer's Market,https://www.facebook.com/MARTAFresh/,70 Hamilton E Holmes Dr NW,Atlanta,GA,30311,YES,,Farmers Markets,WE,MAY-NOV,3PM-7PM,"PRODUCE, BAKED GOODS, POPUP CHEFS",,33.75403,-84.46875
,College Park Marta Station Farmer's Market,https://www.facebook.com/MARTAFresh/,,Atlanta ,GA,,,,Farmers Markets ,THURS,MAY-NOV,3PM-7PM,,,,
,Dunwoody Farmer's Market,https://www.dunwoodyfarmersmkt.com/,4770 North Peachtree Rd,Dunwoody,GA,30338,,,Farmers Markets,SAT,MAY-OCT,8:30AM-1PM,"PEACHES, PRODUCE, BAKED GOODS, MEAT",,33.7181012,-84.3867675
,East Point Farmer's Market,http://www.downtowneastpoint.com/eastpointfarmersmarket,2757 East Point St,East Point,GA,30344,YES,,Farmers Markets,WED,YEAR ROUND ,4PM-7PM,"HONEY, JAM, PRODUCE, BAKED GOODS",,,
,Avondale Estates Market,avondaleestatesfarmersmarket.org,678 Joseph E. Boone Blvd NW,Atlanta,GA,30314,,,Farmers Markets,SUN,APRIL-OCT,10AM-1PM,"ARTISAN GOODS, SOAPS, CHEESE, EGGS, PRODUCE, LIVE MUSIC",,33.76315,-84.40974
,Atlanta State Farmer's Market,http://agr.georgia.gov/atlanta-farmers-market.aspx,16 Forest Parkway,Forest Park,GA,30297,,,Farmers Markets,24/7,YEAR ROUND ,24/7,"ARTISAN GOODS, SOAPS, CHEESE, EGGS, PRODUCE",,33.7029572,-84.4526661
,Truly Living Well Center For Natural,https://www.trulylivingwell.com/ctown-market,324 Lawton St,Atlanta,GA,30310,,,Farmers Markets,FRIDAY ,JUNE-NOV,3PM-7:30PM,"ARTISAN GOODS, SOAPS, CHEESE, EGGS, PRODUCE, LIVE MUSIC",,33.7457547,-84.423251
,Morningside Farmers Market,morningsidemarket.com,1393 North Highland Avenue Northeast,Atlanta,GA,30306,,,Farmers Markets,SAT,YEAR ROUND ,9AM-12PM,"ARTISAN GOODS, SOAPS, CHEESE, EGGS, PRODUCE, LIVE MUSIC",,33.79217,-84.35231
,Peachtree Center Farmers Market,https://peachtreecenter.com/green-market-is-back/,"
225 Peachtree St. NE,",Atlanta,GA,30303,,,Farmers Markets,THURS,APRIL -OCT,11AM-2PM,"ARTISAN GOODS, SOAPS, CHEESE, EGGS, PRODUCE, LIVE MUSIC",,33.76016,-84.38702
,Adamsville Elementary School,http://adamsvilleel.jefcoed.com/school/what_s_new/garden_club,286 WILSON MILL RD SW,Atlanta,GA,30331,,,Garden,,,,,,33.7551371,-84.5143198
,BEECHER HILLS ELEMENTARY SCHOOL,,2257 BOLLING BROOK DR SW,Atlanta,GA,30311,,,Garden,,,,,,33.7353119,-84.4625812
,BOLTON ACADEMY,,2268 ADAMS DR NW,Atlanta,GA,30318,,,Garden,,,,,,33.8174855,-84.4548453
,BURGESS-PETERSON ELEMENTARY SCHOOL,,2025 Jonesboro Road,Atlanta,GA,30315,,,Garden,,,,,,33.69798,-84.37244
,CASCADE ELEMENTARY SCHOOL,,2326 VENETIAN DR SW,Atlanta,GA,30311,,,Garden,,,,,,33.7179665,-84.4652464
,CENTENNIAL CHARTER ACADEMY,,531 Luckie Street,Atlanta,GA,30313,,,Garden,,,,,,33.76996,-84.39508
,CHARLES DREW CHARTER SCHOOL,,301 E LAKE BLVD SE,Atlanta,GA,30317,,,Garden,,,,,,33.7448394,-84.3141449
,CLEVELAND ELEMENTARY SCHOOL,,2672 OLD HAPEVILLE RD SW,Atlanta,GA,30315,,,Garden,,,,,,33.68248,-84.39361
,CONNALLY ELEMENTARY SCHOOL,,1654 S ALVARADO TER SW,Atlanta,GA,30311,,,Garden,,,,,,33.73088,-84.44115
,CORETTA SCOTT KING YOUNG WOMEN'S ACADEMY MIDDLE SC,,1190 Northwest Dr.,Atlanta,GA,30318,,,Garden,,,,,,33.790338,-84.482835
,Crawford W. Long Middle School,,3200 Latona Drive,Atlanta,GA,30354,,,Garden,,,,,,33.666473,-84.395134
,D. H. STANTON ELEMENTARY SCHOOL,,970 MARTIN ST SE,Atlanta,GA,30315,,,Garden,,,,,,33.7279651,-84.3832014
,DEERWOOD ACADEMY SCHOOL,,3070 FAIRBURN RD SW,Atlanta,GA,30331,,,Garden,,,,,,33.67115,-84.51313
,DOBBS ELEMENTARY SCHOOL,,2025 JONESBORO RD SE,Atlanta,GA,30315,,,Garden,,,,,,33.69798,-84.37244
,DUNBAR ELEMENTARY SCHOOL,,500 Whitehall Terrace SW,Atlanta,GA,30312,,,Garden,,,,,,33.74128,-84.40087
,FICKETT ELEMENTARY SCHOOL,,3935 RUX RD SW,Atlanta,GA,30331,,,Garden,,,,,,33.6965542,-84.5141304
,GARDEN HILLS ELEMENTARY SCHOOL,,"285 Sheridan Drive, NE",Atlanta,GA,30305,,,Garden,,,,,,33.83175,-84.37917
,George Alexander Towns Elementary,,760 Bolton Road,Atlanta,GA,30331,,,Garden,,,,,,33.77649,-84.504
,GIDEONS ELEMENTARY SCHOOL,,897 WELCH ST SW,Atlanta,GA,30310,,,Garden,,,,,,33.73089,-84.4055
,GROVE PARK ELEMENTARY SCHOOL,,20 EVELYN WAY NW,Atlanta,GA,30318,,,Garden,,,,,,33.77161,-84.44326
,HERITAGE ACADEMY ELEMENTARY,,3500 VILLA CIR SE,Atlanta,GA,30354,,,Garden,,,,,,33.6596771,-84.3791437
,HOPE HILL ELEMENTARY SCHOOL,,112 BOULEVARD NE,Atlanta,GA,30312,,,Garden,,,,,,33.7574246,-84.3721578
,HUMPHRIES ELEMENTARY SCHOOL,,3029 HUMPHRIES DR SE,Atlanta,GA,30354,,,Garden,,,,,,33.67187,-84.37688
,HUTCHINSON ELEMENTARY SCHOOL,,650 CLEVELAND AVE SW,Atlanta,GA,30315,,,Garden,,,,,,33.68051,-84.40972
,INTOWN CHARTER ACADEMY,,386 PINE ST NE,Atlanta,GA,30308,,,Garden,,,,,,33.7682,-84.37456
,KIMBERLY ELEMENTARY SCHOOL,,3090 McMurray Dr. SW,Atlanta,GA,30311,,,Garden,,,,,,33.7029592,-84.4898697
,KINDEZI,,98 ANDERSON AVE NW,Atlanta,GA,30314,,,Garden,,,,,,33.757166,-84.4497483
,KING MIDDLE SCHOOL,,545 HILL ST SE,Atlanta,GA,30312,,,Garden,,,,,,33.7387971,-84.3789343
,KIPP STRIVE PRIMARY SCHOOL,,1448 LUCILE AVE SW,Atlanta,GA,30310,,,Garden,,,,,,33.7425319,-84.4352422
,M Agnes Jones Elementary,,1040 FAIR ST SW,Atlanta,GA,30314,,,Garden,,,,,,33.7490115,-84.422043
,MILES ELEMENTARY SCHOOL,,4215 Bakers Ferry RD SW,Atlanta,GA,30331,,,Garden,,,,,,33.7536654,-84.5248714
,MORNINGSIDE ELEMENTARY SCHOOL,,1053 E ROCK SPRINGS RD NE,Atlanta,GA,30306,,,Garden,,,,,,33.79676,-84.35287
,PARKSIDE ELEMENTARY SCHOOL,,685 Mercer St. SE,Atlanta,GA,30312,,,Garden,,,,,,33.735583,-84.3646574
,PEYTON FOREST ELEMENTARY SCHOOL,,301 Peyton Road,Atlanta,GA,30311,,,Garden,,,,,,33.7477711,-84.476482
,Sarah Smith Intermediate,,4141 Wieuca Rd,Atlanta,GA,30342,,,Garden,,,,,,33.86545,-84.37141
,Sarah Smith Primary School,,370 Old Ivy Road,Atlanta,GA,30342,,,Garden,,,,,,33.85886,-84.37497
,SLATER ELEMENTARY SCHOOL,,1320 PRYOR RD SW,Atlanta,GA,30315,,,Garden,,,,,,33.7187031,-84.3933559
,SPRINGDALE PARK ELEMENTARY SCHOOL,,1246 PONCE DE LEON AVE NE,Atlanta,GA,30306,,,Garden,,,,,,33.77512,-84.34629
,The Howard School,,1192 Foster St NW,Atlanta,GA,30318,,,Garden,,,,,,33.78689,-84.41766
,TOOMER ELEMENTARY SCHOOL,,65 ROGERS ST NE,Atlanta,GA,30317,,,Garden,,,,,,33.7547,-84.32766
,Usher-Collier Heights Elementary,,631 Harwell Road,Atlanta,GA,30318,,,Garden,,,,,,33.77234,-84.4935
,Warren T Jackson Elementary School,,1325 MOUNT PARAN RD NW,Atlanta,GA,30327,,,Garden,,,,,,33.87363,-84.4226
,Wesley International Academy,,211 Memorial Drive,Atlanta,GA,30312,,,Garden,,,,,,33.7468171,-84.3808657
,WEST MANOR ELEMENTARY SCHOOL,,570 LYNHURST DR SW,Atlanta,GA,30311,,,Garden,,,,,,33.73953,-84.48911
,William J Scott ELEMENTARY SCHOOL,,1752 Hollywood Road,Atlanta,GA,30318,,,Garden,,,,,,33.8033,-84.47173
,WOODSON ELEMENTARY SCHOOL,,1605 DONALD LEE HOLLOWELL PKWY,Atlanta,GA,30318,,,Garden,,,,,,33.774251,-84.439566
,Greenleaf Community Gardens,,,,,,,,,,,,,,,
,AD Williams Park,,James Jackson Parkway,Atlanta,GA,30318,,,Garden,,,,,,33.7759951,-84.473702
,Welch Street Community Garden,https://www.facebook.com/gardeningonthego/,Welch Street,Atlanta,GA,30315,,,Garden,,,,,,33.707945,-84.355525
,Redoubt Garden at ACFB,https://communitygarden.org/find-a-garden/gardens/acfb-redoubt/,732 Joseph E. Lowery Blvd,Atlanta,GA,30318,,,Garden,,,,,,33.778125,-84.417325
,Peachtree Hills Park Community Garden,https://communitygarden.org/find-a-garden/gardens/peachtree-hills-community-garden/,Peachtree Hills Avenue NE,Atlanta,GA,30305,,,Garden,,,,,,33.818055,-84.38874
,Atwood Street Garden,https://communitygarden.org/find-a-garden/gardens/atwood-community-gardens/,Atwood Street SW,Atlanta,GA,30310,,,Garden,,,,,,33.746895,-84.428705
,,,,,,,,,,,,,,,,
,Veranda at Carver Senior Residences Community Garden,https://communitygarden.org/find-a-garden/gardens/the-veranda-at-carver/,Thirkeld Avenue,Atlanta,GA,30315,,,Garden,,,,,,33.713664,-84.3917061
,Blue Heron Nature Preserve Community Garden,https://bhnp.org/community-garden/,Roswell Road,Atlanta,GA,30342,,,Garden,,,,,,33.85503,-84.38266
,Patchwork City Farms at Brown Middle School,http://patchworkcityfarms.weebly.com,765 Peeples Street SW,Atlanta,GA,30310,,,Garden,,,,,,33.73422,-84.42201
,Brownwood Park Community Garden,https://www.facebook.com/BrownwoodParkCommunityGarden/,Pendleton Street,Atlanta,GA,30316,,,Garden,,,,,,33.73688,-84.34868
,East Lake Senior Tower,,380 E Lake Blvd SE,Atlanta,GA,30317,,,Garden,,,,,,33.74173,-84.31418
,Cabbagetown Community Garden,http://www.cabbagetown.com/living-in-cabbagetown/community-garden/,Berean Avenue SE,Atlanta,GA,30312,,,Garden,,,,,,33.742685,-84.366675
,Canterbury Court Retirement Community,https://www.canterburycourt.org/,Peachtree Road NE,Atlanta,GA,30319,,,Garden,,,,,,33.87173,-84.332365
,Capitol Avenue High Rise Community Garden,,Hank Aaron Drive,Atlanta,GA,30315,,,Garden,,,,,,33.7211926,-84.3880338
,Capitol View Community Garden,,Athens Avenue SW,Atlanta,GA,30310,,,Garden,,,,,,33.718865,-84.40923
,Anderson Park Community Garden,,Calloway Drive,Atlanta,GA,30314,,,Garden,,,,,,33.75801,-84.44479
,Little Nancy Creek Community Garden,http://www.littlenancycreekpark.org/portal/index.html,Peachtree-Dunwoody Road NE,Atlanta,GA,30342,,,Garden,,,,,,33.9090025,-84.3519095
,City of Refuge,https://cityofrefugeatl.org/,Andrews Street NW,Atlanta,GA,30314,,,Garden,,,,,,33.760845,-84.432895
